,benchmark,alignment,threading,modeller,secondary_structure,access_score,sum scores
mofe,.,1.0,0.9146843320285092,0.8694767404985387,0.6567505720823799,0.4581673306772908,1.0
DNA_topoisoIV,.,0.8238286158817545,0.7951252969319957,1.0,0.6221719457013575,0.5760517799352751,0.9621637406709023
lyase_1,.,0.853020057555992,0.841931814379878,0.9909545038158559,0.6049107142857143,0.5135135135135135,0.9562287490963922
p450,.,0.8405514059873463,0.8310749774164489,0.919484348372266,0.6576354679802956,0.5347826086956522,0.9466188679359999
ATP-sulfurylase,.,0.9466165454436654,0.8251697949078355,0.8282779697089024,0.6291390728476821,0.5224913494809689,0.9319123636963058
Amidase,.,0.7714298148742527,0.893840543343713,0.7198010565695444,0.655940594059406,0.6630434782608695,0.9099042877804452
PGI,.,0.9028348230071647,0.8224597678075591,0.9145052075580072,0.5553097345132744,0.4897959183673469,0.9010574758633485
thymid_phosphorylase,.,0.87804440189097,0.8648499447957532,0.7927302254086522,0.6507177033492823,0.49528301886792453,0.89954212979642
pgk,.,0.7562302457281812,0.8940245575295315,0.9065939787864411,0.5984848484848485,0.5190476190476191,0.8961955720257073
DNA_photolyase,.,0.7296935605833937,0.905015222991745,0.9289210276900408,0.6261061946902655,0.46886446886446886,0.8889052699479522
Peptidase_M16,.,0.8744321921869646,0.8777142092408647,0.7918491333866687,0.5494252873563218,0.5625,0.8876673410391038
Trypan_glycop,.,0.9154829970460393,0.7130549700558889,0.6219708270243726,0.6143250688705234,0.7841409691629956,0.8844584766968928
serpin,.,0.7839256668171755,0.8104821171668632,0.8682592220539082,0.5793650793650794,0.6057692307692307,0.8839163432354942
ku,.,0.9153469951746536,0.653317273913494,0.8494685936664752,0.5626373626373626,0.6567567567567567,0.8791698716690495
annexin,.,0.6924344878985534,0.6415905517080007,0.8380875303248434,0.6253968253968254,0.8358974358974359,0.8772664705180729
Fe-ADH,.,0.861800338372656,0.7968817959784638,0.7849370657951447,0.6085790884718498,0.5469613259668509,0.8614451589232882
ldh,.,0.8956648043477078,0.7036702465790223,0.6797869204388663,0.5692771084337349,0.7098445595854922,0.8425430566112212
PK,.,0.7140968659728757,0.9127438187962091,0.8959934217694423,0.5526315789473685,0.47410358565737054,0.8385357270732491
CODH,.,0.8250798330985034,0.8402589581451478,0.8798388528705611,0.5597345132743363,0.4305555555555556,0.8320211787938474
Sec1,.,0.7777185414071297,0.9108367626886187,0.7585039331471144,0.5765765765765766,0.48484848484848486,0.8195555524735079
Glyco_transf_28,.,0.9716408897786434,0.7651644417678855,0.6316426030903926,0.6021798365122616,0.5365853658536586,0.8189683092822839
chorismate_bind,.,0.6171329717496913,0.9279835390946589,0.8585659450511024,0.5482456140350878,0.5345454545454545,0.8093871548315468
Arginosuc_synth,.,0.8017799924926966,0.7717387667703973,0.6789210799464368,0.6423173803526449,0.5899581589958159,0.8085749377486326
Beta_elim_lyase,.,0.8789474543169713,0.8407608150155685,0.6214885067019442,0.6034063260340633,0.5395348837209303,0.8083081975052117
WD40,.,0.7987825112473548,0.8170062564823298,0.528884232357836,0.5207100591715976,0.8,0.799643915683794
fbpase,.,0.7939245244014558,0.7365251430292202,0.6516189077046558,0.6757575757575758,0.6075268817204301,0.7996300441647151
voltage_CLC,.,0.5896388334303481,0.8396901870253373,0.8567631398601285,0.5717592592592593,0.5957446808510638,0.7941986513165317
GATase_2,.,0.7403669874497473,0.9336377931680575,0.6999597093924067,0.616822429906542,0.45045045045045046,0.7884892437103708
cytochr_c552,.,0.6955734110901366,0.7677071832446838,0.8040979715610638,0.5866666666666667,0.5639097744360902,0.7777334053781153
ghf33,.,0.8119964530711943,0.8251363377831442,0.5241929362647673,0.7023121387283237,0.5519125683060109,0.776622556089678
tRNA-synt_2b,.,0.7461933076199129,0.5567767406069242,0.6295079097367852,0.7747440273037542,0.7049180327868853,0.7750470337241945
DNA_ligase_N,.,0.7441423993994156,0.633778313091787,0.725636663765385,0.6793650793650794,0.6288659793814433,0.7748846116195872
6PGD,.,0.5546700322596438,0.8282645789420983,0.8797689190277286,0.6190476190476191,0.5255474452554745,0.7728104236398561
NTP_transf_2,.,0.6464223347713264,0.6192746495366347,0.7850268638252497,0.6909620991253644,0.6617647058823529,0.7710327761190584
NiFeSe_Hases,.,0.7758852361808498,0.9095821205125681,0.7555154517293102,0.5263157894736842,0.43548387096774194,0.7707240925913872
ATP-synt,.,0.7828050113969568,0.8704372846197662,0.7747853501332608,0.5166666666666667,0.453125,0.7684312452880594
icd,.,0.7950995805702287,0.7024490615276627,0.6423444153840882,0.6513513513513514,0.5960591133004927,0.7635732271079528
actin,.,0.7128891693549703,0.7577536886480069,0.8128157458540622,0.5614973262032086,0.5406698564593302,0.762798157466378
AMP-binding,.,0.8489400014144195,0.8621901033825224,0.6410719914330636,0.5622222222222222,0.47035573122529645,0.762407449332467
Pept_C1-like,.,0.7858296930165759,0.7807889190003107,0.740956192821765,0.5291375291375291,0.5421245421245421,0.7596618597563277
alk_phosphatase,.,0.7472378019921554,0.9116062765565949,0.5990898872059989,0.5869565217391305,0.5308056872037915,0.7582109384728503
Fe_hyd_lg_C,.,0.7924067435167909,0.7609655726187008,0.7453100209243146,0.5157068062827225,0.5410628019323671,0.7488586379617058
Extradiol_dioxy,.,0.772017342958639,0.6391147244805899,0.5143686449032084,0.5853658536585366,0.8364779874213837,0.7451132365743238
Haloperoxidase,.,0.7553326333770353,0.5930777209006809,0.5426340070345959,0.7246376811594203,0.7266187050359713,0.7427831311576827
RNA_dep_RNA_pol,.,0.6832407613928767,0.8375823881695714,0.7993525883363577,0.5055432372505543,0.4981132075471698,0.7342511409042367
DAO,.,0.8188237470147589,0.7196794807454384,0.6741424409475326,0.5350877192982456,0.5694444444444444,0.731177006448024
AFOR,.,0.8071656665995723,0.8650841446686122,0.681356712017339,0.5739514348785872,0.3661417322834646,0.7203307235459495
ADP_PFK_GK,.,0.7249334950848925,0.8055304627120436,0.6831074388147143,0.5654205607476636,0.5057471264367817,0.7161911594056359
ghf15,.,0.7326692815293139,0.9033758238817021,0.6899980798671578,0.5566502463054187,0.39732142857142855,0.714008692577658
NO_synthase,.,0.6550829339411711,0.7775101207802275,0.7651773329005465,0.5362694300518135,0.5308641975308642,0.7070278804162211
Sec23_NC,.,0.7202006299606682,0.7858911305162525,0.7407201289033529,0.5523385300668151,0.4551971326164875,0.7021510726322301
aldedh,.,0.7481027738941688,0.8467496403359157,0.6586596089283685,0.5601851851851852,0.4351464435146444,0.6996084157778598
Fapy_DNA_glyco,.,0.7907366405361737,0.5338586101910525,0.537675474384661,0.696969696969697,0.688622754491018,0.6991554620336626
sugbp,.,0.7880383634078805,0.5642376794138472,0.4935419373203323,0.6483516483516484,0.743421052631579,0.694409839840972
ATP-gua_Ptrans,.,0.7834959009035964,0.7452574525745386,0.5906589904640237,0.5909090909090909,0.5231481481481481,0.6925060011072597
CoA_trans,.,0.826390891138662,0.6532169025394078,0.5924932658842721,0.5857988165680473,0.5754189944134078,0.6924363759243932
ghf6,.,0.7603755827680189,0.7012111479139599,0.6554050069192754,0.6092896174863388,0.5024630541871922,0.6903230953657243
galpha,.,0.6402043292115699,0.633895413028217,0.7811093038656461,0.540453074433657,0.6021505376344086,0.6760334414799751
PAP2,.,0.5384694893401734,0.8251865234701893,0.6923128900649113,0.6477272727272727,0.4807692307692308,0.6698673628784763
PEPCK_ATP,.,0.6772566790519038,0.7974672956606184,0.6629487110274456,0.5825892857142857,0.4581818181818182,0.6670855346300816
AP_endonucleas1,.,0.6384635052578324,0.5782562146609256,0.5860293700685167,0.6329588014981273,0.7345679012345679,0.6633121353004167
NMT,.,0.5894810712595405,0.7274415336746073,0.5723040722367483,0.5739348370927319,0.6830357142857143,0.6521884731793365
tyrosinase,.,0.7932118745953944,0.5935293920840579,0.5343100941926132,0.5972696245733788,0.6120218579234973,0.6448641650256396
citrate_synt,.,0.6259513330903432,0.6362875974438892,0.7154127079318093,0.6271676300578035,0.5245098039215687,0.6443958295741737
Gly_radical,.,0.6384635052578324,0.9190504868011672,0.6718399807688326,0.5682819383259912,0.3281853281853282,0.6427753031185806
HMG-CoA_red,.,0.6468303403854838,0.7440195389608303,0.5678384615822244,0.6024390243902439,0.559322033898305,0.6402936545425748
Isochorismatase,.,0.6488159677077157,0.4394258757402553,0.5195587776092467,0.6610169491525424,0.8493150684931506,0.6392233722370128
S_T_dehydratase,.,0.7243894875993493,0.6746461909063587,0.48204113087227624,0.654434250764526,0.5642458100558659,0.6307342514318371
proteasome,.,0.6680847128456487,0.41229214761284805,0.4479578310000191,0.7058823529411765,0.8646616541353384,0.6303285592652221
OTCace,.,0.815788185245429,0.6777744320653216,0.5291742346124751,0.6666666666666666,0.4079601990049751,0.6296286779941117
SRP54,.,0.707204291131046,0.6449195356151247,0.6172605223176403,0.6563467492260062,0.4708994708994709,0.6292899827508869
tubulin,.,0.5355644893673737,0.8545786075144778,0.6108083813392972,0.6405867970660146,0.451063829787234,0.6274289384891363
Peptidase_M24,.,0.7514647401548245,0.5813175415704923,0.44597609932818144,0.6541353383458647,0.636986301369863,0.6169319343195209
arginase,.,0.7436799930367043,0.6703971360701357,0.42010600851265734,0.6470588235294118,0.5850340136054422,0.615266960035581
ricin,.,0.6905467819237192,0.484074408645334,0.5636805598361633,0.6125,0.7152777777777778,0.6151762068964348
cat3,.,0.6167358462852449,0.39509518551976935,0.5345895691719749,0.5967078189300411,0.9212121212121213,0.614372840699263
peroxidase,.,0.7149183172760457,0.6706647930676936,0.44076699520733215,0.6448863636363636,0.588957055214724,0.6124570282594759
Cu_nir,.,0.5464446390782337,0.6968115360166068,0.3989879967153021,0.6160990712074303,0.7894736842105263,0.6067393665169666
subt,.,0.884648652765462,0.6546221017765858,0.25980862001897786,0.7098976109215017,0.5208333333333334,0.5984207879462109
Mur_ligase,.,0.806186453125595,0.49936431463081393,0.5050637611200907,0.6215277777777778,0.5941176470588235,0.5967806128290521
hormone_rec,.,0.5874084027396217,0.4432065308307531,0.6198549934890184,0.688034188034188,0.6805555555555556,0.5934542717975808
CASc,.,0.6137383650399029,0.47191274381881115,0.46879766977785264,0.6566523605150214,0.8,0.58977763997139
glnasn,.,0.8657226323434211,0.5968081903041399,0.5014609406520857,0.5,0.546583850931677,0.5895348613070227
bv,.,0.6863144036861947,0.3684800428251306,0.3806426013942847,0.7091836734693877,0.859504132231405,0.5865547798907427
Bacterial_PQQ,.,0.5530597701024366,1.0,0.5691513950836982,0.5034802784222738,0.37668161434977576,0.5857454964651252
cat,.,0.4490781793157474,0.7072836160460518,0.6206188719265524,0.6281179138321995,0.5836065573770491,0.5794312778555647
biopterin_H,.,0.5345907159682518,0.6286259158887982,0.7345181874073986,0.596875,0.46596858638743455,0.5664374684851827
Transpeptidase,.,0.6185691515115247,0.6021947873799837,0.4983269745218785,0.6634920634920635,0.5773195876288659,0.5661252476988403
ATP-synt_g,.,0.5462487963834383,0.4580949513198966,0.568009092718965,0.6307692307692307,0.7348066298342542,0.5559739018199271
cah,.,0.6969443099537049,0.5441968617217173,0.4876032149051664,0.5813953488372093,0.6142857142857143,0.549735755550881
Dala_Dala_ligas_C,.,0.6027167733828017,0.37326441165647384,0.46467960800289443,0.6333333333333333,0.8394160583941606,0.5446469934291022
ech,.,0.5997736928860141,0.4909163906454032,0.5054471324946817,0.5952380952380952,0.7125,0.5402421331355026
