,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
ptpase,.,0.7124848677741845,0.9073185558281396,0.9765214410928416,0.5543071161048689,0.6825396825396826,0.7755238700769802,1.0
mofe,Superfamily,0.8611813650546465,0.944269555589327,0.8759497203448325,0.6209386281588448,0.3333333333333333,0.9053145831190337,0.9728243061459311
Hydrolase,.,0.9325372693223605,0.8404724170122225,0.6932645019453053,0.6712328767123288,0.6666666666666666,0.733951626354678,0.9716756715556552
subt,.,0.8678537530761755,1.0,0.43879578201357766,0.7509293680297398,0.6213592233009708,0.812711509291959,0.9530219893786493
SRP54,.,0.7498593342388988,0.9838692169080152,0.8178168637440252,0.5954198473282443,0.46875,0.7755238700769802,0.9127208272832268
Zn_dep_PLPC,.,0.6959744016732121,0.9985671175180733,0.8020591465175517,0.6907630522088354,0.6074766355140186,0.568060967173733,0.9013470496053717
dNK,.,0.793735684772292,0.7873037927965147,0.9531201504962222,0.6711111111111111,0.559322033898305,0.568060967173733,0.8892067595211938
annexin,.,0.6749739981471903,0.9632443933045295,1.0,0.5543478260869565,0.44666666666666666,0.6868209035996631,0.8865577761560602
Peptidase_S11,.,0.8528891894810428,0.8823733744382444,0.6242698900070491,0.6904761904761905,0.5833333333333334,0.6868209035996631,0.8841933783247757
hormone_rec,.,0.7372306747978107,0.7973339701699984,0.7980846847733514,0.7004608294930875,0.6,0.6868209035996631,0.8841003347218424
actin,.,0.6427032833377854,0.8956601029070191,0.9159970439475387,0.6036363636363636,0.38235294117647056,0.8770630192749422,0.8830895763073379
sugbp,.,1.0,0.9359110744447621,0.6213793969014112,0.5542168674698795,0.29914529914529914,0.9053145831190337,0.8825093913086102
Haloperoxidase,.,0.9605226514501359,0.8661557499837227,0.7912905771942798,0.6218487394957983,0.3113207547169811,0.733951626354678,0.8701164259137416
TyrKc,.,0.735303980130606,0.9075790799157634,0.800236974138426,0.6452830188679245,0.5413533834586466,0.568060967173733,0.8350883070555758
rasgap,.,0.6606459826426976,0.9762923080263193,0.9252892597480017,0.5234657039711191,0.474025974025974,0.6324124771567161,0.832806272472212
ENTH,.,0.7215329442054231,0.9734916740843665,0.9329520422791475,0.5916030534351145,0.5384615384615384,0.3877619350384901,0.8142116727767146
CoA_trans,.,0.8281263320621316,0.7519376479016988,0.67452931080552,0.6264591439688716,0.44537815126050423,0.812711509291959,0.8115381501083566
OTCace,.,0.7982767733831964,0.8533683593495581,0.6571015296967154,0.5927272727272728,0.42105263157894735,0.812711509291959,0.8099712172896751
Isochorismatase,.,0.9429266435160188,0.6330084019018339,0.45017534834410555,0.6059113300492611,0.4519230769230769,1.0,0.7893839427350112
GTP_cyclohydroI,.,0.870297643067025,0.6110809578602375,0.5362536761801655,0.6146341463414634,0.6859504132231405,0.733951626354678,0.7766300644734573
Glyco_transf_28,.,0.9124575871417284,0.8980916610581635,0.5191257414412396,0.555956678700361,0.38461538461538464,0.7755238700769802,0.7740623221806509
ldh,.,0.8315705119097012,0.9254466902585727,0.8126474411023382,0.5776173285198556,0.40601503759398494,0.4893010842364521,0.7727888626508002
Spermine_synth,.,0.7053293852195807,0.9279216690909878,0.7260809253894603,0.5708955223880597,0.4789915966386555,0.6324124771567161,0.772400937217906
Endonuclease_3,.,0.7287225275505971,0.7497014828162667,0.6252366072218676,0.6105769230769231,0.6371681415929203,0.6868209035996631,0.7710342967742179
aminotran_4,.,0.9409942653837191,0.870975445604741,0.6460368371274664,0.5970695970695971,0.41044776119402987,0.568060967173733,0.7691712805195671
RNA_dep_RNA_pol,.,0.5276642663499083,0.8165259112915463,0.934232419193103,0.6102941176470589,0.4049079754601227,0.733951626354678,0.7667596618967137
pgk,.,0.7326611688614314,0.8766635548511797,0.6375399669257098,0.6245487364620939,0.3795620437956204,0.7755238700769802,0.766327402764407
OMPdecase,.,0.8356114555922455,0.77573218123793,0.6915452280774911,0.6303317535545023,0.45871559633027525,0.6324124771567161,0.7654642096524131
Fe_hyd_lg_C,.,0.8045456353829802,0.7770348016760432,0.7449085471269786,0.5888888888888889,0.37267080745341613,0.733951626354678,0.7645216524099497
ATP-gua_Ptrans,.,0.7646420269509915,0.8501118082542762,0.7232696970521061,0.6137184115523465,0.3237410071942446,0.733951626354678,0.7594782208447439
Plectin,.,0.8759356404412642,0.6461865786674255,0.5940910030764874,0.583732057416268,0.5333333333333333,0.7755238700769802,0.759224520924251
DNA_topoisoIV,.,0.6119557371738401,0.8340027355029238,0.8141680944037455,0.6714801444043321,0.3804347826086957,0.6868209035996631,0.7552349284410338
MIP,.,0.6815952349828645,0.6525911291548232,0.6417159090271402,0.6901408450704225,0.6984126984126984,0.6324124771567161,0.7544345669119834
gluts,.,0.7820732143973538,0.8081240094657102,0.755721686020436,0.5555555555555556,0.5213675213675214,0.568060967173733,0.7520402942110591
Mur_ligase,.,0.8845972412460429,0.8469638088621614,0.5689513913260063,0.6228813559322034,0.4262295081967213,0.6324124771567161,0.7484813308144295
