,benchmark,alignment,threading,modeller,secondary_structure,access_score,sum_scores
RNA_pol_K,.,0.904086940255728,0.7743312821800841,0.7085065985430774,0.9866666666666667,0.7288135593220338,1.0
IF3,.,0.9211455259680311,0.7876428481727995,0.8993461856580296,0.7066666666666667,0.7241379310344828,0.9709555826964845
protg,.,0.9286821986085215,0.6983548913725991,0.6082900203510192,0.8035714285714286,0.9772727272727273,0.960536125216655
Colicin_Pyocin,.,0.9700826077249386,0.7214617606429753,0.7755828566966327,0.8051948051948052,0.71875,0.9490497553243132
dsrm,.,0.9694610886841296,0.7642848172799196,0.5545781187498705,0.7941176470588235,0.8723404255319149,0.9324420946502888
BIR,.,0.9590642216228285,0.7870149441165406,0.5778701710154951,0.7671232876712328,0.8367346938775511,0.9200974045411926
myb_DNA-binding,.,0.98059412392969,0.640085394951652,0.5003740316532455,0.8545454545454545,0.8837209302325582,0.88875495983105
Propep_M14,.,0.9515154806514485,0.7312570639206337,0.8123428214449064,0.7272727272727273,0.6129032258064516,0.8777585464431533
L15,.,0.8856887698146908,0.8947632801707918,0.5293032365610761,0.6233766233766234,0.8823529411764706,0.8686943494922331
urease_gamma,.,0.9047869034473187,0.7219640838879842,0.6479194310001641,0.7313432835820896,0.8,0.8643599895471297
RNA_pol_H,.,0.9430676490288012,0.718196659550421,0.6946709652948986,0.746031746031746,0.7,0.862508073155062
lacI,.,0.9905685994098586,0.4896395830717074,0.5437961901999563,0.8070175438596491,0.9565217391304348,0.8559073902802959
B,.,0.9667638167303272,0.4058771819665956,0.6020748477657705,0.8235294117647058,0.975,0.8493638969861036
PBD,.,0.9481303138369449,0.45485369835489164,0.7185687034153696,0.8,0.8461538461538461,0.846829177740291
SRP54,.,0.7435177977709793,1.0,0.732694510005785,0.72,0.5454545454545454,0.8349124116263287
Elicitin,.,0.9063135473048402,0.6105739043074223,0.8196287731857393,0.7402597402597403,0.6428571428571429,0.8248289274256302
SNAP-25,.,0.9261961224452853,0.1812131106366948,0.7592700406542287,0.8245614035087719,1.0,0.8118354657164225
Bac_DNA_binding,.,0.9904841210936322,0.4595001883712169,0.6105952155184091,0.746268656716418,0.8813559322033898,0.8104458182441977
mdm2,.,0.9161733736415585,0.7640336556574163,0.6064168660067858,0.6103896103896104,0.75,0.7915954212229599
S-AdoMet_syntD2,.,0.8508474985367149,0.6945874670350383,0.6850276101337558,0.6142857142857143,0.7894736842105263,0.7857415273948181
Band_41_M,.,0.9202222986549846,0.6196157227175698,0.7347927208053713,0.7402597402597403,0.6,0.7768946977260662
