,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
Fimbrial,.,0.8973353804782324,0.7821534354011059,0.7199758400286553,0.6375838926174496,0.9078947368421053,0.6711877414712397,1.0
Desulfoferrodox,.,0.939285195144996,0.5644320220266116,0.754377468928245,0.72,0.7215189873417721,0.9163138199826526,0.9999277926319395
DAP_epimerase,.,0.8585335053419578,0.7917066455300111,0.7896286924960905,0.7,0.6056338028169014,0.8671944789536636,0.9987817577544109
Jacalin,.,0.9356830074860091,0.6487839472696172,0.710903785692637,0.6791044776119403,0.8,0.811507562957249,0.9893043337005817
hemopexin,.,0.919625336143615,0.7051437153226797,0.7816332337928603,0.6551724137931034,0.5365853658536586,0.9602525677891276,0.9795232967530433
PTS_EIIA_2,.,0.7467657533250962,0.9424304367777693,0.9224399058682322,0.5434782608695652,0.43478260869565216,0.9602525677891276,0.9765918043544491
Amidase_2,.,0.8549903699396758,0.7634641858912818,0.5907724941827676,0.6643835616438356,0.7534246575342466,0.9163138199826526,0.9741792168441245
GAF,.,0.8260365942292317,0.7013891785907925,0.7823031651996769,0.6416666666666667,0.7205882352941176,0.8671944789536636,0.972699556403306
Hint,.,0.9607075368849479,0.939009636644278,0.7060561068174206,0.7697841726618705,0.5606060606060606,0.5781296526357758,0.9638710729653875
EF_TS,.,0.7032306126898756,0.7597096491593971,0.8548898906928434,0.6766917293233082,0.6404494382022472,0.8671944789536636,0.959568657702464
Ribosomal_L5_NC,.,0.717248709935315,0.8381794668557825,0.7794383115386503,0.5228758169934641,0.6206896551724138,1.0,0.9511486249622629
HSP20,.,0.8953911984882621,0.5333110842267689,0.7338130693720555,0.7913043478260869,0.9444444444444444,0.5781296526357758,0.9504255475131568
aminotran_4,.,0.7082591394723453,0.9021317425222125,0.9274416984200101,0.5686274509803921,0.49382716049382713,0.8671944789536636,0.9472638004618124
Cys-protease-3C,.,0.8958363616541899,0.8178632514288071,0.8311693012369512,0.6928104575163399,0.46153846153846156,0.7472217363092142,0.9397987129882817
C2,.,0.9030770768224434,0.7014726127403933,0.7892995996486506,0.6893939393939394,0.5915492957746479,0.7472217363092142,0.9311333678861017
laminin_G,.,1.0,0.6986358516540787,0.6317231736544604,0.6993464052287581,0.3563218390804598,1.0,0.9183662951382452
DUF28,.,0.7048795333963224,0.8791456343081195,0.8819915773664319,0.4897959183673469,0.550561797752809,0.8671944789536636,0.9139464646949828
Levi_coat,.,0.8298023112144777,0.6276333903466655,0.7149943097171069,0.6796875,0.8383838383838383,0.6711877414712397,0.9097318612495274
Frataxin_Cyay,.,0.7972781452140416,0.7046848274998928,0.8715495329979454,0.49572649572649574,0.6666666666666666,0.811507562957249,0.9046672270959557
DHHA2,.,0.7201195581074205,0.8295857494472483,0.7682289279710006,0.5867768595041323,0.864406779661017,0.5781296526357758,0.9046084405293316
Plectin,.,0.6725734064975651,0.8426014767844444,0.9751051942057658,0.45751633986928103,0.4838709677419355,0.8671944789536636,0.8874427018949521
PH,.,0.8641162148411948,0.5113679028826464,0.7267503479445376,0.85,0.7666666666666667,0.5781296526357758,0.8867930916010991
hexapep,.,0.9359782687695326,0.709774310625337,0.6668109685929244,0.6928104575163399,0.48,0.811507562957249,0.8867401541930399
transketolase_C,.,0.6918153572207282,0.8176963831296109,0.7771102475587993,0.5362318840579711,0.8695652173913043,0.5781296526357758,0.8773980808172723
WD40,.,0.8387146594956028,0.8313378665887933,0.5661319777291366,0.6470588235294118,0.5070422535211268,0.8671944789536636,0.8727617160894249
eIF6,.,0.7200059960752961,0.8332985691043318,0.7847756198196221,0.5266666666666666,0.525,0.8671944789536636,0.8725705916119556
sh2,.,0.8827040482593211,0.5508739727170296,0.6843611736159231,0.6571428571428571,0.7966101694915254,0.6711877414712397,0.8675820526470369
