,benchmark,alignment,threading,modeller,secondary_structure,access_score,sum_scores
SNAP-25,.,0.9275544823791912,0.4097255657197886,0.9877877420393012,0.9411764705882353,1.0,1.0
fusion_gly,.,0.9397316379863679,0.4195955705344249,0.9132545789048881,0.9615384615384616,1.0,0.9866914189575972
utg,.,0.8970260109423236,0.7571015888300436,0.8553675742747753,0.8846153846153846,0.8235294117647058,0.979863843244693
lh2,.,0.8961273955436011,0.578719306692345,0.8387262700418461,0.9019607843137255,1.0,0.9789912648839141
B,.,0.9194363786410734,0.7631198844487239,0.6519685227268139,0.8823529411764706,0.926829268292683,0.9492343254044382
NusB,.,0.8769141424947274,0.8512277323062105,0.760021790688083,0.9433962264150944,0.65,0.9234875485689864
myb_DNA-binding,.,0.9979827001253171,1.0,0.5211587935148567,0.8113207547169812,0.6904761904761905,0.8983728298013408
gag_p17,.,0.9242840113702356,0.6444390948483392,0.8040023512820245,0.9230769230769231,0.6938775510204082,0.8854228165874147
Ribosomal_S15,.,0.8746889996026529,0.6131439576311986,0.7625275474229422,0.9245283018867925,0.7959183673469388,0.8776040663235753
tetR,.,0.9776201974508665,0.5943668753009148,0.7397050771550141,0.8823529411764706,0.7727272727272727,0.8759324943749218
UcrQ,.,0.872433291560962,0.4913336543090999,0.7526926121573729,0.8301886792452831,1.0,0.8675953174707016
Bacteriofer,.,0.8485985878900876,0.756379393355802,0.818556409559503,0.9245283018867925,0.5869565217391305,0.8627775570342536
Syntaxin,.,0.8697985756640279,0.4169475204622051,0.956092162742578,0.9411764705882353,0.74,0.8582185349172993
PAH,.,0.9172479139285387,0.6868078960038516,0.5775296776314676,0.8867924528301887,0.8541666666666666,0.8576094813782027
PABP,.,0.9815447626616132,0.9227250842561401,0.45252676847117174,0.8113207547169812,0.7435897435897436,0.8531196418210405
Arch_histone,.,0.9488706177216737,0.4742416947520467,0.7007102615622053,0.9,0.8695652173913043,0.8455301730194905
HLH,.,0.9440413240822813,0.7501203659123736,0.4577784322726841,0.7659574468085106,0.9523809523809523,0.8359562880854665
Ribosomal_L30,.,0.9410214873001803,0.908281174771305,0.6430313100957095,0.7058823529411765,0.6486486486486487,0.826256344648835
HMG_box,.,0.9168077757740624,0.689455946076071,0.6039816457731114,0.8490566037735849,0.7872340425531915,0.8261200606665128
urease_gamma,.,0.9227129626799523,0.7645642753972065,0.6011293757230085,0.8301886792452831,0.7272727272727273,0.8258433191607831
PBD,.,0.9085001681083228,0.7339913336543097,0.6042072559743038,0.7446808510638298,0.8478260869565217,0.8230832004369678
SRP54M,.,0.9228596753981111,0.6049590755897933,0.7294747682913368,0.723404255319149,0.8571428571428571,0.822517671286377
RhoGEF,.,0.794290430051655,0.7445835339431875,0.8330414192292569,0.8846153846153846,0.5714285714285714,0.8184239739407301
phc,.,0.8604089617018675,0.7956186807896003,0.4428633205493602,0.9056603773584906,0.8163265306122449,0.8154902091641554
ATP-synt_g,.,0.6975945227251887,0.4357246027924896,1.0,0.9215686274509803,0.7450980392156863,0.8068348791178012
ptpase,.,0.7257633646116697,0.753009147809341,0.8091587216534937,0.7547169811320755,0.75,0.8037950116633309
mdm2,.,0.8929486199834948,0.827876745305729,0.5569109558318921,0.8679245283018868,0.6458333333333334,0.8033169102822445
Rop,.,0.9329278356817556,0.5652383245065,0.6243190466682844,0.9019607843137255,0.7619047619047619,0.8011860509345409
Elicitin,.,0.8898737659320841,0.6519017814155038,0.6837003502742414,0.8269230769230769,0.723404255319149,0.7968163424283865
RNA_pol_K,.,0.9076198917993702,0.6913818006740489,0.624431692984303,0.75,0.7954545454545454,0.7939514195410119
BAG,.,0.8478161200599076,0.5296100144439101,0.7807502553142589,0.9215686274509803,0.6875,0.7932707807239154
annexin,.,0.6545404529755173,0.8570052961001445,0.8139609570499967,0.7924528301886793,0.6444444444444445,0.791265199129599
