,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
Syntaxin,.,1.0,1.0,1.0,0.9313725490196079,0.5333333333333333,0.758654412959299,1.0
BAG,Fold,0.8728656891226216,0.9069847685710045,0.925616041002866,0.8613861386138614,0.8285714285714286,0.6985554954587144,0.9654998093174681
phc,.,0.8869432419708574,0.9042736727953873,0.7168022695104863,0.801980198019802,0.6521739130434783,1.0,0.9303528351848093
COX3,.,0.6779099541847995,0.8722827426430714,0.83405083746841,0.8333333333333334,0.6901408450704225,0.8977117175026231,0.8885560925821843
SNAP-25,.,0.9506998587651713,0.594912998471927,0.7362770658824912,0.8787878787878788,1.0,0.6274735630753034,0.8839487872561721
fusion_gly,.,0.9354051602383768,0.617883373588997,0.7092878865804193,0.890625,1.0,0.6274735630753034,0.881955162862215
NusB,.,0.9937822227835892,0.7592054024744906,0.751533203717217,0.8936170212765957,0.5344827586206896,0.8107144632819592,0.8719982394366194
zf-TAZ,.,0.9323048835099725,0.6546063981860285,0.668942987219388,0.8505747126436781,0.896551724137931,0.6985554954587144,0.8608523062245766
tetR,.,0.9491612029073707,0.5568590723123176,0.6642128766514458,0.8507462686567164,0.9361702127659575,0.6985554954587144,0.8486311610157364
SRP54M,.,0.9993512383883154,0.6438606003844813,0.6155438515252012,0.8842105263157894,0.7714285714285715,0.6985554954587144,0.837230311225386
Band_41_M,.,0.9170101849831782,0.7098634593582102,0.6779433827144099,0.8351648351648352,0.7037037037037037,0.758654412959299,0.8344010064188351
PAH,.,0.9053152522132532,0.5789914723714682,0.7304024054479872,0.8235294117647058,0.9206349206349206,0.6274735630753034,0.8301363842907113
utg,.,0.9250479394642263,0.5784985458668103,0.5879125352719432,0.8428571428571429,0.92,0.6985554954587144,0.8212099661523392
Dehydratase_SU,.,0.8518527024078816,0.8433479568196367,0.6256642878428464,0.7450980392156863,0.6285714285714286,0.8566346820627894,0.8207559672315086
ATP-synt_g,.,0.797270608228364,0.7776408537487047,0.9521772339358339,0.7575757575757576,0.5483870967741935,0.6985554954587144,0.8155396226044637
Bacteriofer,.,0.9273961120233324,0.7325873712229506,0.7291824846499746,0.8809523809523809,0.5538461538461539,0.6985554954587144,0.8131165039204423
Rop,.,0.8739393034711617,0.6092571597574794,0.47080526532512856,0.8983050847457628,0.9512195121951219,0.6985554954587144,0.8076665347560832
RhoGEF,.,0.8564227399556774,0.7676344457041443,0.8037150718860377,0.8712871287128713,0.4864864864864865,0.6985554954587144,0.8028719333546926
capsid_n,.,0.7704646970340686,0.7916399664809951,0.645554478781565,0.7446808510638298,0.7321428571428571,0.758654412959299,0.7919485958427622
Bcl-2,.,0.9034837924422142,0.7873022132400049,0.6767881298158164,0.7722772277227723,0.43283582089552236,0.8566346820627894,0.7882646328136177
urease_gamma,.,0.8261835593473343,0.5637107507270658,0.6512011376513577,0.8235294117647058,0.847457627118644,0.6985554954587144,0.7832824569923637
