,benchmark,alignment,threading,modeller,secondary_structure,access_score,sum_scores
laminin_G,.,0.985677874947388,0.9140138408304478,0.5658368730247203,0.6810810810810811,0.9320388349514563,1.0
DNA_polymeraseX,.,0.9982579619323761,0.6879757785467087,0.7652981390092133,0.6312849162011173,0.7033898305084746,0.8841860470486018
RuvA,.,0.7989524388532947,0.7480968858131438,0.7490243938749466,0.5578947368421052,0.8692307692307693,0.8592336145290137
cyclo,.,0.9413786652948605,0.9074394463667836,0.642266481175304,0.6342857142857142,0.5825242718446602,0.8531726101367834
blmb,.,0.9827433007529346,0.9208910034602054,0.7519596766428505,0.5699481865284974,0.4807692307692308,0.8525456328067417
OMPdecase,.,0.8982018425852312,0.800562283737021,0.8347363979358836,0.5606060606060606,0.5966386554621849,0.8463810633591293
Peptidase_S21,.,0.857708226160969,0.8451989619377094,0.6900692545573235,0.634020618556701,0.6557377049180327,0.8432087246847364
lipocalin,.,0.9693272693261002,0.7939446366781937,0.579131422503255,0.639751552795031,0.6923076923076923,0.8399327393168599
cryst,.,0.9786395734929617,0.8023788927335621,0.47575777865613217,0.632183908045977,0.7383177570093458,0.8212464880725575
Flavin_Reduct,.,0.9249520647243138,0.7170415224913409,0.5922742869713694,0.6455696202531646,0.7452830188679245,0.8203921075954758
Plectin,.,0.8621334705139596,0.9211505190311394,0.6538920316706821,0.6345177664974619,0.5447761194029851,0.8169662613959615
UPP_synthetase,.,0.8434620960576159,0.7961505190311381,0.8258299674718472,0.576530612244898,0.5703125,0.8153092136094008
tRNA-synt_1_edit,.,0.9526434550811392,0.9199826989619346,0.4259772631262703,0.6414141414141414,0.6607142857142857,0.8107336134752986
Binary_toxA,.,0.8760463919936398,0.7673442906574327,0.8137217617674714,0.5497076023391813,0.5739130434782609,0.8028136302882413
Cytidylyl_trans,.,0.8984005986063696,0.7915224913494782,0.8021324703291204,0.5685279187817259,0.4863013698630137,0.7894089201133485
eIF6,.,0.9302424823457888,0.7808391003460164,0.6834848726600423,0.5751295336787565,0.5742574257425742,0.7882480023300729
hexapep,.,0.974576766590282,0.7779844290657391,0.46142416366279176,0.6125,0.717391304347826,0.7882176070628727
int,.,1.0,0.8083910034602012,0.678404313892318,0.5947368421052631,0.46078431372549017,0.7875997344514744
SIS,.,0.8875976242809708,0.6114619377162589,0.7228699397336686,0.5561497326203209,0.7641509433962265,0.7875655594024308
WD40,.,0.8448416966749287,1.0,0.5457545352970106,0.4925373134328358,0.6260869565217392,0.7744929411430981
IF4E,.,0.8589007622877987,0.7885380622837302,0.7291155429787267,0.6432748538011696,0.4818181818181818,0.7714938135652838
MutS_D2,.,0.8319751671888884,0.5939878892733514,0.5897462807757867,0.6319444444444444,0.8444444444444444,0.7677121118955347
hemopexin,.,0.9667200579899919,0.8014273356401328,0.5555580101932115,0.6378378378378379,0.5284552845528455,0.7668805806933097
Histidine_kinase,.,0.958705513725857,0.5471453287197149,0.4865550145737104,0.6708074534161491,0.8264462809917356,0.7667463544407596
LysR_substrate,.,0.8652200346069306,0.7030276816608921,0.7311115692779271,0.5459183673469388,0.6363636363636364,0.763570915701645
LMWPc,.,0.8487817425057289,0.6386678200691956,0.5979455436606618,0.6363636363636364,0.7586206896551724,0.7630711902583059
Amidase_2,.,0.9141081700416218,0.46487889273355787,0.508235263431834,0.6575342465753424,0.9176470588235294,0.7559523448307232
DMRL_synthase,.,0.7963919936398073,0.6210207612456669,0.5405794633156069,0.577922077922078,0.9157894736842105,0.7517149445763732
Mur_ligase,.,0.8502607211336107,0.7436418685121052,0.8200027736439118,0.533678756476684,0.4962962962962963,0.7486167100596887
DHHA2,.,0.8813309638497873,0.5438581314878821,0.5146615821263607,0.6446280991735537,0.84,0.7409331984982774
Astacin,Superfamily,0.9587990459710986,0.6705449826989577,0.68296951471944,0.6102564102564103,0.5,0.7401772591055309
PH,.,0.9150025721367442,0.40051903114186316,0.39028045341738204,0.87,0.8405797101449275,0.7377265896637012
Phage_integrase,.,0.8628758827105645,0.5302768166089894,0.6688757584135762,0.6707317073170732,0.6666666666666666,0.7310120313114535
GEL,.,0.8752572136744142,0.47863321799307496,0.5087090278272752,0.6,0.9367088607594937,0.7309650979480821
MoCF_biosynth,.,0.9035273347986718,0.6357698961937672,0.6354374086266569,0.5416666666666666,0.6808510638297872,0.7301508926990103
