,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
subt,.,0.8459158027675439,0.9356058815186091,0.6178704388802532,0.7280334728033473,0.6138613861386139,0.8671944789536636,1.0
Peptidase_M24,.,0.8510385607768192,0.9155595480119165,0.7502539721592935,0.5894308943089431,0.4727272727272727,0.9163138199826526,0.9637213462006685
phosfruc,.,0.6940772553726232,0.8636234693395155,0.8233301215207565,0.6504065040650406,0.3870967741935484,1.0,0.939102223239143
tRNA-synt_2d,.,0.8152503460475309,0.7589712070351341,0.8334983681788279,0.6049382716049383,0.5343511450381679,0.811507562957249,0.9198604925974155
Extradiol_dioxy,.,1.0,0.8239799536664961,0.7647175204492674,0.5330578512396694,0.41379310344827586,0.7472217363092142,0.8955758256613853
tRNA-synt_2b,.,0.8509381965382701,0.7056876743416455,0.7587018314768137,0.6244343891402715,0.415929203539823,0.9163138199826526,0.8921245131594769
PA_phosphatase,.,0.9073721715057563,0.8296534442815955,1.0,0.6024096385542169,0.3333333333333333,0.5781296526357758,0.8853575757159584
proteasome,.,0.8405588615349874,0.7691362110538565,0.7639424710323789,0.6583333333333333,0.5309734513274337,0.6711877414712397,0.879982283120778
WD40,.,0.924634820536196,0.8578081414590336,0.37448343865466005,0.6255144032921811,0.45045045045045046,0.9602525677891276,0.8668413083879953
bv,.,0.9307194024982332,0.6453359179235072,0.5813030981040018,0.6887755102040817,0.85,0.4581569099913263,0.854384906755894
CPS,.,0.8751510690882326,0.7917592548815733,0.8091727195437192,0.6077586206896551,0.4778761061946903,0.5781296526357758,0.8497542974507972
DNA_ligase_N,.,0.7932036683129189,0.7528249255354436,0.781786970661143,0.5748987854251012,0.4236111111111111,0.811507562957249,0.8491084741152749
Hydrolase,.,0.6844882887479143,0.72601768237909,0.8166088183776471,0.5,0.4369747899159664,0.9602525677891276,0.8447832520927132
Fapy_DNA_glyco,.,0.7654613200406475,0.7015743936456982,0.8492834097966445,0.5537190082644629,0.5037593984962406,0.7472217363092142,0.8437179249968112
AP_endonucleas1,.,0.7728757281634598,0.8167935322207046,0.8121238609698767,0.48936170212765956,0.41284403669724773,0.811507562957249,0.8419504882231784
adeno_fiber,.,0.8615558966081069,0.5693584227696167,0.6678344783419079,0.5714285714285714,0.6129032258064516,0.811507562957249,0.8352440196363952
Isochorismatase,.,0.815618348255544,0.731903928892261,0.8737504394961391,0.6161137440758294,0.5826086956521739,0.4581569099913263,0.8299745515194907
ATP-gua_Ptrans,.,0.7382207929611213,0.7653066048886628,0.7952965016216752,0.5983263598326359,0.43283582089552236,0.7472217363092142,0.8296718217319585
GTP_cyclohydroI,.,0.7205357777601211,0.6902037728712672,0.8802323058087463,0.49528301886792453,0.7063492063492064,0.5781296526357758,0.8275962084560534
Topoisomerase_I,.,0.6975481852891117,0.6801806061179201,0.8861869520182412,0.6121495327102804,0.6102941176470589,0.5781296526357758,0.8255941398037737
sugbp,.,0.8083670320203739,0.8826533024443338,0.8937149377844259,0.569620253164557,0.4444444444444444,0.4581569099913263,0.8231793010041273
cah,.,0.9821853476575404,0.7283579972578222,0.546868739230629,0.5349794238683128,0.4818181818181818,0.7472217363092142,0.8117897169842435
glnasn,.,0.7853543484897273,0.7589239279466786,0.7775563700541395,0.5753424657534246,0.3669724770642202,0.7472217363092142,0.8085644137660917
Plectin,.,0.7255498078443016,0.7066568956550603,0.7928943864090175,0.6076555023923444,0.504424778761062,0.6711877414712397,0.8076018938092344
leukocidin,.,0.8094459475847764,0.7273414968559487,0.7432872785437014,0.5789473684210527,0.3305785123966942,0.811507562957249,0.8052740093399023
Dala_Dala_ligas_C,.,0.8661099239322709,0.6885962838636566,0.8431269136048152,0.6057692307692307,0.5225225225225225,0.4581569099913263,0.7998794127225802
TyrKc,.,0.6630103416984139,0.7477897026145421,0.8021931144153978,0.5092592592592593,0.4434782608695652,0.811507562957249,0.7976212283804872
aakinase,.,0.8654784655980663,0.797290908231293,0.7012395027282515,0.5531914893617021,0.384,0.6711877414712397,0.7960662584149273
gluts,.,0.5820707651518636,0.8612831544607837,0.8662343610139157,0.5648535564853556,0.5106382978723404,0.5781296526357758,0.7931236571733605
