,benchmark,alignment,threading,modeller,secondary_structure,access_score,sum scores
blmb,.,0.9845411265406647,0.8108046587503303,0.6931602826593788,0.7681159420289855,0.5789473684210527,1.0
bv,.,0.9664379720948642,0.7145566979020419,0.5854233781356848,0.6907216494845361,0.8448275862068966,0.9860265907864196
Peptidase_C15,.,0.9770480808347352,0.8049622519822429,0.8123828610530425,0.57847533632287,0.5793650793650794,0.965344874632248
SRP54,.,0.9754703081879252,0.7898630448803022,0.8214154935907193,0.602803738317757,0.5333333333333333,0.9531406562806531
pgk,.,0.7841090257391342,0.9037899768580019,1.0,0.5126050420168067,0.4666666666666667,0.9299715236103161
OMPdecase,Superfamily,0.9916823344438214,0.7616373914033151,0.7077933041415904,0.6367713004484304,0.5522388059701493,0.9228823006673152
Flavin_Reduct,.,0.9050092907169793,0.5659547023786864,0.638363079951209,0.6729559748427673,0.8627450980392157,0.9207635521847523
Peptidase_S21,.,0.9329858935030949,0.7987025304450055,0.6809653617414104,0.6318181818181818,0.5942028985507246,0.9181215448754682
Plectin,.,0.8637673032731911,0.8416100762547869,0.7279560250202995,0.5023474178403756,0.6821705426356589,0.9094621054900008
fbpase,.,0.8242515200492572,0.8906255927766606,0.7470680939874549,0.4672489082969432,0.6549295774647887,0.8954364747995396
tRNA-synt_1_edit,.,0.9071587997932953,0.6615577222201098,0.6186302446371431,0.5652173913043478,0.8148148148148148,0.8884731939399013
gluts,.,0.8303482094754318,0.7240790621798969,0.8247476886703087,0.5181818181818182,0.6691176470588235,0.8880970385726276
int,.,0.9940902244065485,0.738267764330966,0.7337265344430072,0.5867346938775511,0.5128205128205128,0.8877499309128225
MIP,.,0.6977108552957086,0.7098144846162551,0.7525378402860874,0.6481481481481481,0.753731343283582,0.8862125116403561
Recep_L_domain,.,0.9988125474156413,0.5586327250654366,0.5659370773710405,0.6578947368421053,0.7741935483870968,0.8835211194436197
Binary_toxA,.,0.7970830447163858,0.6508213513410915,0.8250932978517408,0.6387434554973822,0.6416666666666667,0.8826632974983967
aakinase,.,0.921094875262504,0.7956675139421036,0.8184035392660487,0.47863247863247865,0.5384615384615384,0.8821859562926476
RNA_pol_A_bac,.,0.8418763949819134,0.7266588262073641,0.7945737505764904,0.5,0.673469387755102,0.8756647789175321
Fapy_DNA_glyco,.,0.8200569537443239,0.8720740544026693,0.8559208767328204,0.4327731092436975,0.5483870967741935,0.8726015208931058
tms,.,0.8416949786148584,0.7220683637467215,0.8219937892011074,0.6592920353982301,0.44805194805194803,0.8575847950162863
Topoisom_bac,.,0.7874679772624821,0.7947570089912366,0.7777535811762095,0.49137931034482757,0.6410256410256411,0.8572863830972272
PH,.,0.8605347934602149,0.34151523198906936,0.5404715714951619,0.85,0.8985507246376812,0.8567411225852989
DUF28,.,0.8540752712999307,0.7183504685306669,0.7183164980093861,0.518348623853211,0.673202614379085,0.8530904453796551
formyl_transf,.,0.9074446680080482,0.6616335976326806,0.7105499589829598,0.6271186440677966,0.5754716981132075,0.8530592944093635
aminotran_4,.,0.88456971336214,0.667400128988196,0.7839828125584922,0.5648148148148148,0.5723684210526315,0.8492822694798329
fibrinogen_C,.,0.9190663104308913,0.8626275655373832,0.6447144978372229,0.5147679324894515,0.5306122448979592,0.8487219791888443
cryst,.,0.9118756253367197,0.6670586896316184,0.5975396521808201,0.5738636363636364,0.7181818181818181,0.8473625138094458
ribonuclease_T2,.,0.7618992644390935,0.7036306384915896,0.7443140044925868,0.5957446808510638,0.6611570247933884,0.8466248766435909
TyrKc,.,0.786209057624435,0.7743465230092181,0.8291560941136319,0.5818965517241379,0.49375,0.8460479328282742
Glyco_transf_28,.,0.8676814988290398,0.8625516901248151,0.7291212624089136,0.47478991596638653,0.527027027027027,0.8443068414114338
GAF,.,0.877554947169355,0.5513486854584707,0.6584696719985969,0.6397058823529411,0.7294117647058823,0.8423604823654814
hemopexin,.,0.9004518916779365,0.7347774953526262,0.6181440639687202,0.68,0.5206611570247934,0.8413390134487543
RRF,.,0.7760497410693671,0.5577601578208513,0.7490321042663233,0.6275510204081632,0.7286821705426356,0.8351181508838125
Rhodanese,.,0.918725467559455,0.38719223035774775,0.5262244921421536,0.7058823529411765,0.898876404494382,0.8342139918416553
SIS,.,0.8911446823014589,0.615653097613711,0.663824072717502,0.5970149253731343,0.6666666666666666,0.8331338219793598
hexapep,.,0.8529427933722554,0.6011988315186394,0.5221463275544628,0.6506024096385542,0.8,0.830051096397818
Extradiol_dioxy,.,0.9447779573616562,0.7369399446109399,0.6222085942148206,0.5178571428571429,0.6,0.8279274689374203
MoCF_biosynth,.,0.935404778397159,0.5655753253158252,0.6266339119424861,0.6052631578947368,0.6888888888888889,0.8279201597174497
sugbp,.,0.8857516684808303,0.7821237527979013,0.6652547997157976,0.5067873303167421,0.5671641791044776,0.8218136897792782
WD40,.,0.7447361766225769,1.0,0.5490325365747152,0.43037974683544306,0.6796875,0.820463938272804
Ribosomal_L1,.,0.8589955030730834,0.5851511817595457,0.6518632396677819,0.5952380952380952,0.708029197080292,0.818568187867032
Flavoprotein,.,0.857879517542413,0.585871998178984,0.7158814141026029,0.572289156626506,0.6632653061224489,0.8168674371096982
Peptidase_S11,.,0.9280271794702641,0.8159641868052622,0.5990489785455322,0.5373831775700935,0.5042016806722689,0.8124751574596131
Ribosomal_L4,.,0.9556684368506119,0.45506278690389684,0.5097345873507134,0.8387096774193549,0.625,0.8122881439606102
Aldolase_II,.,0.8948334817649063,0.6300314882962139,0.658731076056443,0.5631067961165048,0.6311475409836066,0.8096578530252814
annexin,.,0.5684984222273531,0.7526840927197523,0.9287867412251373,0.5294117647058824,0.5949367088607594,0.808188801369686
cyclo,.,0.8563897043462962,0.6975606054857891,0.5887100383148752,0.6123595505617978,0.6161616161616161,0.8068846084527894
Dwarfin,.,0.8481215159811326,0.6281725406881842,0.6421905531780178,0.5112359550561798,0.7407407407407407,0.8065851099137002
CoA_trans,.,1.0,0.7770401001555404,0.5208651270027043,0.5663716814159292,0.5,0.8040133324072993
Nitroreductase,.,0.8621950280920495,0.604423536552973,0.7440995130212238,0.4777777777777778,0.6754385964912281,0.8038709220363425
hormone_rec,.,0.6985354751459577,0.5819644144314972,0.8210119265809233,0.6575342465753424,0.6029411764705882,0.8030611748863988
ech,.,0.7646754846015986,0.8291285708866013,0.591550304449622,0.5504201680672269,0.625,0.8025568697215338
eIF6,.,0.9458114809073017,0.7402784627641379,0.5552179907940166,0.5687203791469194,0.5454545454545454,0.800356332629206
IF4E,.,0.8651141823619312,0.5203535794225803,0.5433494864651368,0.6871165644171779,0.7358490566037735,0.7988176942746078
laminin_G,.,0.9259216501192951,0.6824993360901378,0.500764413874382,0.6111111111111112,0.6306306306306306,0.798461840572164
Spermine_synth,.,0.8654385328363624,0.8448727189954081,0.618839914207212,0.459915611814346,0.5390625,0.7889813636407245
DMRL_synthase,.,0.848379896867544,0.5873515687241478,0.6259868032875201,0.5935483870967742,0.6701030927835051,0.7878338152586644
MutS_D2,.,0.9030906751987333,0.48359194203117917,0.578340242666577,0.6490066225165563,0.7070707070707071,0.7860583218058409
Pro_CA,.,0.7902112126309772,0.49444212602905346,0.7146489076279533,0.5625,0.7583333333333333,0.7856571894208156
RhoGEF,.,0.6512407780013414,0.6607989680943825,0.8823951101075223,0.5406698564593302,0.5833333333333334,0.7849512711648063
Ald_Xan_dh_1,.,0.8324702312234059,0.5933077886110938,0.6442253242645484,0.5988372093023255,0.6481481481481481,0.7843485622177558
LMWPc,.,0.866675462611736,0.5824196669069305,0.6130162926106429,0.6103896103896104,0.6413043478260869,0.7830247801616158
dhfr,.,0.9037668634759375,0.553435259304217,0.7173483172372093,0.5819209039548022,0.5545454545454546,0.7818651502191716
DSBA,.,0.8659827819375268,0.5059751887400813,0.7688054625538271,0.6168831168831169,0.5514018691588785,0.7810466009884367
lipocalin,.,0.9080713790942375,0.561402177624334,0.5622302704426286,0.6797385620915033,0.594059405940594,0.7795717396673433
cah,.,0.863514419852448,0.9217724496376907,0.5774511125717751,0.4425531914893617,0.5,0.7794841527942533
EF_TS,.,0.8364448989016063,0.41659395272961236,0.667483373229222,0.7443609022556391,0.6363636363636364,0.7778022874918108
DNA_ligase_N,.,0.8024100889489945,0.6583709548920615,0.747927437558991,0.48878923766816146,0.6,0.7762432498073357
Peptidase_M24,.,0.7843784015568822,0.8225653476990793,0.7020848380990821,0.4818181818181818,0.5038759689922481,0.7750892758005773
