,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
DHHA2,.,0.7664216630837022,1.0,0.9396658939315894,0.5740740740740741,0.8135593220338984,0.6985554954587144,1.0
tcl1_mtcp1,.,0.9005855012977606,0.7866992603735726,0.7116356904132375,0.6846846846846847,0.8923076923076924,0.6985554954587144,0.9670552379982164
PH,.,0.909941449870224,0.7084116835903191,0.7180377232559662,0.9,0.8421052631578947,0.5404763088546395,0.9515359425826806
transketolase_C,.,0.7202873181626125,0.9922276545067048,0.953577412631851,0.5365853658536586,0.647887323943662,0.758654412959299,0.9488085558949365
GEL,.,0.9003858458195394,0.9824495424344976,0.9008848310983997,0.6209677419354839,0.625,0.5404763088546395,0.9378868569920739
Ribosomal_L14,.,0.8493251180521054,0.8772721574526716,0.5842949833571451,0.6229508196721312,0.859375,0.758654412959299,0.9327716045503107
Levi_coat,.,0.851196307766598,0.7594333709414535,0.6368050408365071,0.6,0.8387096774193549,0.758654412959299,0.9028287038841718
CUB,.,0.958513448885876,0.6521248589695341,0.694875795976712,0.6697247706422018,0.7704918032786885,0.6985554954587144,0.902685346245724
Rhodanese,.,0.8974281588514703,0.8004262253980154,0.6528242746460439,0.6218487394957983,0.6527777777777778,0.758654412959299,0.8858151603303257
intb,.,0.9533781242599979,0.9445280180518947,0.5659491437993595,0.6721311475409836,0.390625,0.8107144632819592,0.8727741591002353
EFTU_C,.,0.8606033309962808,0.7218879277923981,0.4578084467481917,0.6774193548387096,0.8301886792452831,0.6985554954587144,0.8473646315835079
Cys-protease-3C,.,0.9049779218186293,0.8745769086122549,0.5261293788978119,0.5645161290322581,0.5189873417721519,0.8566346820627894,0.8471854130041675
Hint,.,0.9239637648522783,0.9343111445405503,0.6014879528076916,0.7166666666666667,0.4246575342465753,0.6274735630753034,0.8423582095401769
Peptidase_S24,.,0.9017787910164321,0.659897204462827,0.6386150436137789,0.6601941747572816,0.7258064516129032,0.6274735630753034,0.8382207117380126
ghf33,.,0.7763672917895167,0.7668923154067931,0.5388718023991168,0.68,0.4507042253521127,1.0,0.8379607530988151
cryst,.,0.8930218088786327,0.5867494045380446,0.6746098336479688,0.628099173553719,0.5256410256410257,0.8566346820627894,0.8245153773684851
C2,.,0.9446722167794178,0.8920020057665767,0.6211560550631234,0.639344262295082,0.4264705882352941,0.6274735630753034,0.8207017564106643
lipocalin,.,0.9669964851349532,0.9332455810455034,0.8682795713301148,0.688,0.41333333333333333,0.27023815442731974,0.8176184830890112
HSP20,.,0.9483170900446208,0.674313651748775,0.5274212977119618,0.7181818181818181,0.7123287671232876,0.5404763088546395,0.812290023675183
avi,.,0.9070673396139685,0.7867619405791618,0.5397530914579706,0.6470588235294118,0.6666666666666666,0.5404763088546395,0.8029904082189482
RNA_pol_K,.,0.7706701459342251,0.5681960636830871,0.617553130284648,0.7738095238095238,0.9259259259259259,0.4283173410313947,0.802064204092439
Desulfoferrodox,Fold,0.9286765627684321,0.7409427102920878,0.5425586829767235,0.7166666666666667,0.5833333333333334,0.5404763088546395,0.7931664135205998
sh2,.,0.9022616786846883,0.5805440641845296,0.6102991320275288,0.6020408163265306,0.7090909090909091,0.6274735630753034,0.7873094452943146
MBD,.,0.8427364872708025,0.41569512348000404,0.4630746902597492,0.7368421052631579,0.8113207547169812,0.758654412959299,0.7863623936033964
ISP,.,0.8891122760260202,0.7186912373072574,0.635506967677223,0.6216216216216216,0.5333333333333333,0.6274735630753034,0.7856396233704448
GTP_cyclohydroI,.,0.6466469487535463,0.9537420082737852,0.7571754089975785,0.496,0.6285714285714286,0.5404763088546395,0.7847651944476208
RuBisCO_small,.,0.801003849171894,0.6049266641594545,0.6018939750318711,0.49056603773584906,0.7654320987654321,0.758654412959299,0.7847274236658685
DAP_epimerase,.,0.8821011185349931,0.7594333709414529,0.6555498925889878,0.6101694915254238,0.4782608695652174,0.6274735630753034,0.7820739224193141
MoCF_biosynth,.,0.6973315813178191,0.8375329071079323,0.7629562150020472,0.45081967213114754,0.6351351351351351,0.6274735630753034,0.7815875501933747
ATP-synt_DE_N,.,0.9224454545876651,0.5618653629183891,0.5578762556190796,0.7555555555555555,0.5833333333333334,0.6274735630753034,0.7808326278185663
protg,.,0.8016306745104959,0.3540178011783867,0.48712830645380584,0.7272727272727273,0.825,0.8107144632819592,0.7800536547100544
STAS,.,0.7788281616373607,0.8447411307509054,0.576524875793097,0.52,0.6428571428571429,0.6274735630753034,0.77576411223369
fkbp,.,0.8986214485701417,0.6815845555973387,0.5540542098250747,0.7281553398058253,0.5862068965517241,0.5404763088546395,0.7753932673499451
WD40,.,0.7741710815290823,0.7882662655133481,0.36088137791838243,0.5932203389830508,0.6515151515151515,0.8107144632819592,0.7725044848903893
Sm,.,0.854706529662768,0.6063683088880513,0.665337572207109,0.7023809523809523,0.7115384615384616,0.4283173410313947,0.7696745871127969
TNF,.,0.9620422433846711,0.5691989469725449,0.5672022606193204,0.7355371900826446,0.5925925925925926,0.5404763088546395,0.7692272562846414
hexapep,.,0.9402983688611745,0.7010780995361633,0.555522827457545,0.6271186440677966,0.3770491803278688,0.758654412959299,0.7671779958946932
int,.,0.7110010168499937,0.8819104926664136,0.700141348358602,0.52,0.4305555555555556,0.6985554954587144,0.7622680479667349
Orbi_VP7,.,0.8917124403935535,0.7971041745016901,0.3908471312091984,0.5887096774193549,0.6451612903225806,0.6274735630753034,0.7619448782325391
il8,.,0.7992673108264343,0.40015043249341736,0.41067034270857583,0.703125,0.8666666666666667,0.758654412959299,0.7612529988946193
BIR,.,0.7388645639385062,0.648426726839662,0.46648742273591987,0.7415730337078652,0.8,0.5404763088546395,0.7604962417803449
