,benchmark,alignment,threading,modeller,secondary_structure,access_score,sum scores
mofe,.,1.0,0.8877449056065084,0.8619189737412875,0.676954732510288,0.48739495798319327,1.0
ADP_PFK_GK,.,0.9768245088755454,0.911298668855507,0.9288583148656492,0.5720430107526882,0.4469026548672566,0.9614274294292721
AMP-binding,.,0.9635946642728512,0.8953820349024005,0.8664464077376862,0.5896907216494846,0.4696969696969697,0.9361773332762047
PEPCK_ATP,.,0.7893296404350467,0.9147603583026982,0.9892983522994057,0.5714285714285714,0.3875968992248062,0.870776815877571
PGI,.,0.7472535893548193,0.8042361086328182,0.9818802042265518,0.561122244488978,0.5138888888888888,0.8490258131887326
ATP-sulfurylase,.,0.9328983595430587,0.7019021448199726,0.7679143406795186,0.6145610278372591,0.5769230769230769,0.8420202472578435
DNA_topoisoIV,.,0.8066756799658444,0.7683166196781134,0.7928257034538296,0.597979797979798,0.5852842809364549,0.8207216833851838
ku,.,0.8648114596618371,0.6070268727026292,0.8773860866591348,0.5107758620689655,0.6854838709677419,0.8179564577371122
Beta_elim_lyase,.,0.9529264941732855,0.7976874486991979,0.7432893414902582,0.5419501133786848,0.4931506849315068,0.8098157502026084
cat,.,0.6654332678318272,0.6796688198137231,0.8653855161254523,0.6544276457883369,0.6583629893238434,0.8069873385870403
ghf33,.,0.8393260825537925,0.7650868991113914,0.5249868017285212,0.7450980392156863,0.6216216216216216,0.7935716302513495
PK,.,0.9857082646844707,0.7490810463580913,0.6757572670763433,0.5432372505543237,0.5315985130111525,0.7882677926554311
ldh,.,0.9685647507019973,0.6119874379929463,0.6950855610484561,0.5939226519337016,0.5769230769230769,0.7690528087649017
AFOR,.,0.9421543244678231,0.8664216123621625,0.5121299768460368,0.5887265135699373,0.5127118644067796,0.7570299102012276
pgk,.,0.7725473882414763,0.778451875379187,0.7241714332317792,0.6346153846153846,0.5069767441860465,0.7543716118789401
Sec1,.,0.8280558094727221,0.7692623389600752,0.7686816075064473,0.5397489539748954,0.5098039215686274,0.7537738087644408
urease,.,0.6866382401077218,1.0,0.7067967803157332,0.5825242718446602,0.4346153846153846,0.7513148341351398
6PGD,.,0.6827793073626248,0.7673887441561782,0.8628425832862033,0.5571428571428572,0.5379310344827586,0.7500847673145887
p450,.,0.8249248739688987,0.643570893258639,0.828901691082484,0.5883905013192612,0.5,0.7390708677316
ATP-gua_Ptrans,.,0.7822850355514444,0.650993897434076,0.701209324538381,0.6470588235294118,0.5909090909090909,0.7324853260231826
Sec23_NC,.,0.6967316755431243,0.8057706719960113,0.8344146061009702,0.5843373493975904,0.42946708463949845,0.7217489317743226
ATP-synt,.,0.8755836293672994,0.6879126369508732,0.6292566541005671,0.5883838383838383,0.5611814345991561,0.7175979815966161
DNA_photolyase,.,0.7670627774463171,0.7152492773277266,0.7891812616634211,0.5227765726681128,0.5451388888888888,0.7161608092540598
Bacterial_PQQ,.,0.8347063105866126,0.9977873737553953,0.54441898381053,0.5788423153692615,0.3744292237442922,0.7116041213745425
ghf15,.,0.7617040609109272,0.6465329574248027,0.8132904887220797,0.628498727735369,0.4719626168224299,0.7075558378434712
WD40,.,0.8079510435539403,0.7203704364583812,0.5234898220947318,0.6413373860182371,0.603448275862069,0.6950129336801597
alk_phosphatase,.,0.9195152523632543,0.7118768066807128,0.45858255811668974,0.589622641509434,0.5888324873096447,0.6810990915432846
GATase_2,.,0.9160230550705283,0.673209378680285,0.542676522661875,0.6077481840193705,0.5258620689655172,0.6796613653707246
Peptidase_M16,.,0.7783604188447287,0.727900503194042,0.7292759057359303,0.4942263279445728,0.5294117647058824,0.6765274585997728
lipoxygenase,.,0.4447351567930901,0.7506691410013991,1.0,0.57421875,0.4852941176470588,0.6744242430573868
lyase_1,.,0.5957097425736071,0.5731951036722636,0.8630151124297585,0.5594059405940595,0.6544715447154471,0.669919347875958
actin,.,0.7209800047073508,0.6979229863316877,0.5791475649668947,0.6276041666666666,0.6116504854368932,0.6657244135615074
Fe_hyd_lg_C,.,0.791913209592048,0.5924485207523089,0.651644711967568,0.6085790884718498,0.5824742268041238,0.6606634387382199
Amidase,.,0.9670649669117044,0.7935298526105502,0.146947277956609,0.7050359712230215,0.6054054054054054,0.6561800007393191
Gly_radical,.,0.6782197456935953,0.8916170015345655,0.7436929432044233,0.5534979423868313,0.34615384615384615,0.6538079453159246
CODH,.,0.755059033460505,0.8674208629242411,0.559237996786881,0.6067864271457086,0.4149377593360996,0.6489969460682398
fbpase,.,0.704619224600833,0.6374504835659086,0.6581926127536288,0.608955223880597,0.5742574257425742,0.6391337354377253
Spermine_synth,.,0.7624977421138194,0.4693444202562547,0.5869547545346526,0.590443686006826,0.7564102564102564,0.6303291076714274
Glyco_transf_28,.,0.8650194588736297,0.6113450626316126,0.5101115144501951,0.6565934065934066,0.5130890052356021,0.6256401136929175
