,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
Syntaxin,.,0.9587162033867097,1.0,1.0,0.6756756756756757,0.810126582278481,0.33333333333333337,1.0
phc,.,0.8811141734322226,0.8897936522624239,0.7217794743926877,0.6936936936936937,0.5217391304347826,1.0,0.979568159407002
Clp_N,.,0.9132953963532165,0.8216433792912009,0.7953007975308273,0.7264957264957265,0.5507246376811594,0.8616541669070521,0.9681391376055424
NusB,.,0.9591189721341564,0.8583788285370595,0.7871029137589157,0.7037037037037037,0.5522388059701493,0.6666666666666667,0.9265602646140713
Colicin_Pyocin,.,0.8994689206372952,0.6288979365226246,0.674127231721383,0.7586206896551724,0.8947368421052632,0.6666666666666667,0.9251855937731747
Egg_lysin,.,0.8523910079000212,0.9054316646617954,0.7569755070602769,0.7652173913043478,0.6901408450704225,0.5283208335737187,0.9181414107280751
SRP54M,.,1.0,0.6801147404460076,0.7310627044285304,0.7628865979381443,0.7910447761194029,0.5283208335737187,0.9166624314073835
Bcl-2,.,0.952559595390024,0.8597668178032762,0.8406092752342397,0.6410256410256411,0.4189189189189189,0.7739760316291209,0.9147363897925881
RuvA,.,0.8838012163616172,0.6763671694272245,0.7583614598197402,0.5932203389830508,0.5662650602409639,1.0,0.9121459080207482
EF_TS,.,0.8640252708619827,0.7984176922365152,0.584805883222616,0.7818181818181819,0.5,0.8616541669070521,0.8865681741413596
Band_41_M,.,0.929958514819013,0.7525677801425011,0.6697618814263304,0.7169811320754716,0.6349206349206349,0.6666666666666667,0.8807477193693634
UCR_14kD,.,0.8829554019919791,0.6545757379476278,0.653882451830035,0.6666666666666666,0.8378378378378378,0.6666666666666667,0.8783240134629051
Heme_oxygenase,.,0.8373274567455133,0.8306653095216068,0.784997959521559,0.6016949152542372,0.4431818181818182,0.8616541669070521,0.8774264941207591
BAG,.,0.8456705236569101,0.8134079763116517,0.7774866067646429,0.7450980392156863,0.6417910447761194,0.5283208335737187,0.8751566885539337
RRF,.,0.9376916747699903,0.7152308688812808,0.7524519241684012,0.54,0.5432098765432098,0.8616541669070521,0.8747064800752468
gag_p17,.,0.9035138696295103,0.8408438974738613,0.7663499467592939,0.6379310344827587,0.7887323943661971,0.33333333333333337,0.85140248178075
zf-TAZ,.,0.9221850779932911,0.6559174609049695,0.5514511871597703,0.6896551724137931,0.9137931034482759,0.5283208335737187,0.8486535990567087
STAS,.,0.8942962191522292,0.7321180716202461,0.7080552773084954,0.7211538461538461,0.532258064516129,0.6666666666666667,0.846668570062077
BIR,.,0.9055737440807379,0.6009068196539289,0.5558460842471188,0.7865168539325843,0.8076923076923077,0.5283208335737187,0.8262484990235223
Endonuclease_3,.,0.7792597110421929,0.7619135745350255,0.6172358798615022,0.6637168141592921,0.4935064935064935,0.8616541669070521,0.8240304380331939
Ribosomal_S15,.,0.9691881908203248,0.5978995095771259,0.740600869681259,0.6352941176470588,0.8955223880597015,0.33333333333333337,0.822434070351438
Phage_integrase,.,0.9174208990949211,0.49208846118256694,0.5807873201291952,0.717948717948718,0.4574468085106383,1.0,0.8206331924453836
Ribosomal_L22,.,0.7609625022296127,0.4845933191449992,0.4676142681770083,0.8108108108108109,0.8636363636363636,0.7739760316291209,0.8194321843457401
Skp1,.,0.968445945557173,0.7984176922365153,0.5544305846953597,0.6071428571428571,0.704225352112676,0.5283208335737187,0.819253441430777
RGS,.,0.9621972761324993,0.8213657814379576,0.6353829260959196,0.717948717948718,0.6666666666666666,0.33333333333333337,0.8121953329635224
Ribosomal_S7,.,0.845935200262375,0.8480151753493126,0.7553617737820946,0.6371681415929203,0.4852941176470588,0.5283208335737187,0.8014128479953249
UcrQ,.,0.942404069115117,0.32867585824002993,0.46542977680986564,0.7333333333333333,0.96,0.6666666666666667,0.8003622616370424
fusion_gly,.,0.9387158581563547,0.5267881928379754,0.5816446643842101,0.703125,1.0,0.33333333333333337,0.7965816982615782
Ribosomal_L4,.,0.8342318912294229,0.7338299250485806,0.5912508271274549,0.7913043478260869,0.4533333333333333,0.6666666666666667,0.7927755255141417
TyrKc,.,0.7198570746330488,0.7134264828351992,0.6358833610472943,0.6216216216216216,0.5,0.8616541669070521,0.7874503400572844
DSBA,.,0.8757515952519317,0.8631905246599442,0.845345975993785,0.6271186440677966,0.5,0.33333333333333337,0.7851934174332492
Zn_dep_PLPC,.,0.8166308969660004,0.9008975663921529,0.7073743278464675,0.7033898305084746,0.379746835443038,0.5283208335737187,0.7827380857211232
ENTH,.,0.7918606189980264,0.8682798186360716,0.877821223079943,0.6923076923076923,0.4583333333333333,0.33333333333333337,0.7785116789155527
Elicitin,.,0.8178909877615839,0.6886277412788013,0.5891126715095498,0.6808510638297872,0.9090909090909091,0.33333333333333337,0.7776240702069956
tetR,.,0.9553617151044034,0.46446747478486206,0.5069880710917086,0.6417910447761194,0.9215686274509803,0.5283208335737187,0.7775042480761014
Dehydratase_SU,.,0.8920924987197707,0.8572684371240865,0.6201958305577843,0.6581196581196581,0.6455696202531646,0.33333333333333337,0.7740120813760685
formyl_transf,.,0.7084241960448109,0.659017303599519,0.6989668257520008,0.6581196581196581,0.4157303370786517,0.8616541669070521,0.7726446515654518
RNA_pol_K,.,0.8097377975454122,0.4837142592763958,0.5751399402751683,0.8690476190476191,0.9259259259259259,0.33333333333333337,0.771175630064823
ribonuclease_T2,.,0.7557150008343066,0.657166651244564,0.652393860513226,0.6545454545454545,0.41333333333333333,0.8616541669070521,0.7705631266889662
hpr,.,0.8314182638365449,0.5397427593226605,0.34425893532984597,0.6477272727272727,0.8541666666666666,0.7739760316291209,0.7695321718255249
