,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
Peptidase_M24,.,0.9323519526080289,1.0,0.9310491187564918,0.732,0.28703703703703703,0.787609656965256,1.0
Haloperoxidase,.,0.8479455076360733,0.9691629955947164,0.9434237902994665,0.692,0.37272727272727274,0.756304195516401,0.9632308951330492
Endonuclease_3,.,0.7887580614667143,0.9126675414753019,0.9390380644148588,0.6790123456790124,0.4649122807017544,0.683010746090859,0.9157902904715386
tRNA-synt_2b,.,0.8307091990000631,0.812986221763995,0.8703428235880957,0.7016129032258065,0.475,0.756304195516401,0.9072950099850876
blmb,.,0.931658718988299,0.7100243696691428,0.7500117251724769,0.6666666666666666,0.5978260869565217,0.787609656965256,0.9059826688605341
SRP54,.,0.758555133079848,0.9562283250539013,0.9951592935908673,0.6024096385542169,0.44360902255639095,0.683010746090859,0.9039776359520798
Plectin,.,0.8927378526563452,0.8111584965788801,0.8613151469698623,0.6899563318777293,0.5575221238938053,0.5885190554114832,0.8882853387839379
sugbp,.,0.8386446232380311,0.922837191864287,0.8865231232820431,0.6092436974789915,0.34513274336283184,0.787609656965256,0.8836237644589063
Mur_ligase,.,0.9142596054870492,0.8707001593401469,0.8118066715573907,0.6033755274261603,0.3761467889908257,0.756304195516401,0.8597722633232635
ech,.,0.6886908388126798,0.9080279313900168,0.852155778279448,0.5910931174089069,0.578125,0.683010746090859,0.8466869369734339
PA_phosphatase,.,0.9046751255172992,0.686474833630152,0.88482354552949,0.5925925925925926,0.36363636363636365,0.8668214419824227,0.8458228069066506
subt,.,0.9486692015209125,0.8695519730059071,0.5695743000193788,0.768595041322314,0.4368932038834951,0.683010746090859,0.8363776979563785
Cytidylyl_trans,.,0.9317742579249206,0.7002062048926875,0.7489633023774169,0.6577777777777778,0.51,0.7216976134290604,0.8339362411936848
START,.,0.8262977123290548,0.5593776361421009,0.8373831324176936,0.6825396825396826,0.7252747252747253,0.6391511932854698,0.8337720699091926
tms,.,0.7801871730773271,0.7362217639891351,0.7960108308936938,0.6965811965811965,0.4434782608695652,0.8161893041084362,0.8332087765581333
GTP_cyclohydroI,.,0.749711152658446,0.708126347361523,0.7993229546928133,0.6606334841628959,0.7058823529411765,0.6391511932854698,0.8307815584624144
dNK,.,0.8063199798332038,0.8021838972724781,0.924163532526846,0.5954545454545455,0.4095238095238095,0.7216976134290604,0.829333754421655
DNA_ligase_N,.,0.745446715543138,0.7786577936076554,0.9465487009604706,0.66,0.4881889763779528,0.6391511932854698,0.8287727690935742
E2_N,.,0.8201373862991829,0.6352282313244055,0.835036442030869,0.6119402985074627,0.7592592592592593,0.5885190554114832,0.8255013033440145
DUF28,.,0.8779698758481609,0.8145796232074287,0.8191684726841469,0.6228813559322034,0.43089430894308944,0.683010746090859,0.8248296617053719
Trypan_glycop,.,0.8056057391340881,0.6677992314181311,0.7606890592866118,0.6762295081967213,0.44242424242424244,0.8894827535339783,0.8222225938530116
Pro_CA,.,0.8349788878852173,0.6046958477833045,0.7648074074063251,0.6607142857142857,0.6730769230769231,0.683010746090859,0.8135184024516852
cat3,.,0.8860418461021365,0.6642609429187456,0.7354622350336271,0.5720524017467249,0.7203389830508474,0.6391511932854698,0.8118659886158704
lipocalin,.,0.9382706972249648,0.5167775799044002,0.6938728169202104,0.6772151898734177,0.8513513513513513,0.5286339468194481,0.8072176914397484
Binary_toxA,.,0.9006575215847741,0.7071890523947962,0.7691191539057097,0.6778846153846154,0.559322033898305,0.5885190554114832,0.805792309200334
ldh,.,0.8488855744385858,0.780508951166938,0.8518240155591456,0.5458715596330275,0.375,0.787609656965256,0.8003936808117321
ENTH,.,0.6968100749952735,0.8399100196831992,1.0,0.5850622406639004,0.3821138211382114,0.683010746090859,0.7992331231827251
biopterin_H,.,0.8476671638342121,0.7444465273221559,0.9732218976837342,0.5611814345991561,0.3383458646616541,0.7216976134290604,0.7990891778852399
Flavoprotein,.,0.7785171102661597,0.6106945355703515,0.8614590634170869,0.6296296296296297,0.7066666666666667,0.5885190554114832,0.7944872470268328
