,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
protg,Fold,0.9749325467198098,0.6250507511165247,0.812052071932014,0.8571428571428571,0.925,0.5943161289177871,1.0
Ribosomal_L30,.,0.9418467859463066,0.842570036540806,0.6868263597063161,0.5666666666666667,0.918918918918919,0.7185650207899777,0.964812643972879
UcrQ,.,0.8088014093492295,0.7215793747462456,0.9233271224571383,0.5217391304347826,0.9558823529411765,0.7185650207899777,0.9568793885646112
fkbp,.,1.0,0.6985383678440922,0.7835619482016892,0.5205479452054794,0.5660377358490566,1.0,0.9316141805147391
Propep_M14,.,0.9364739346478674,0.8831709297604547,0.8197959170453465,0.47058823529411764,0.7317073170731707,0.6616418958920284,0.9112959122861485
Ribosomal_L12,.,0.9551735641669448,0.8742387332521333,0.6693975204110073,0.6833333333333333,0.7222222222222222,0.5943161289177871,0.9098346869048247
Arch_histone,.,0.8560099263135099,0.8239951278928139,0.8215371281205686,0.6666666666666666,0.7647058823529411,0.5119160496196309,0.8930808849574238
RNA_pol_K,.,0.9312005805956959,0.7684734064149419,0.6996079098599517,0.7714285714285715,0.8627450980392157,0.4056838710822129,0.8913102189345982
IF3,.,0.9404655300569476,0.7833942346731632,0.7540206172496718,0.578125,0.6,0.7185650207899777,0.8712217820184223
RuBisCO_small,.,0.905582966071439,0.5908444985789687,0.7694684142011127,0.7272727272727273,0.7758620689655172,0.5943161289177871,0.8677299448409524
SUI1,.,0.971707665384908,0.8519082419813253,0.6851171631231724,0.6388888888888888,0.5510204081632653,0.6616418958920284,0.8667771405523952
STAS,.,0.8856074306884624,0.8656110434429563,0.9673377831720317,0.4857142857142857,0.5964912280701754,0.5119160496196309,0.8519660313778923
Colicin_Pyocin,.,0.8601068717480495,0.8832724319935055,0.8372746090635884,0.6388888888888888,0.5789473684210527,0.5119160496196309,0.8512593007741575
Sm,.,0.9913203284579682,0.7719244823386122,0.7721313874200052,0.5277777777777778,0.6326530612244898,0.5943161289177871,0.8449489254545361
TPK_B1_binding,.,0.9477346818136592,0.8246041412911097,0.6701031708620516,0.6027397260273972,0.6444444444444445,0.5943161289177871,0.8430259592277184
SRP54M,.,0.8242410408582516,0.6605765326837192,0.7978742571455327,0.5606060606060606,0.7777777777777778,0.6616418958920284,0.8426449270627362
tetR,.,0.8952586635763992,0.6635200974421438,0.6079148535466682,0.625,0.8823529411764706,0.5943161289177871,0.8381788992061391
tcl1_mtcp1,.,0.9267056461760868,0.6504263093788071,0.5979402585996952,0.5342465753424658,0.6491228070175439,0.8854692840710253,0.8305715603899343
HSP20,.,0.9106807367478448,0.5344092570036537,0.8017650443942381,0.6027397260273972,0.7121212121212122,0.6616418958920284,0.8241771979080003
ATP-synt_g,.,0.5957543939739786,0.9236703207470559,0.9231909082837373,0.7049180327868853,0.6481481481481481,0.4056838710822129,0.8173350812839355
PAN,.,0.9510824715115973,0.8147584246853442,0.8174964775389278,0.5616438356164384,0.5319148936170213,0.5119160496196309,0.8134294840447012
Ribosomal_S7,.,0.847470721472091,0.8600284206252542,0.8112939332495899,0.5147058823529411,0.5535714285714286,0.5943161289177871,0.8111192520693232
HIT,.,0.8928004963156755,0.7410678034916781,0.9639423605425214,0.4583333333333333,0.5208333333333334,0.5943161289177871,0.8079791434208515
Endonuclease_3,.,0.7094036603281068,1.0,0.8061862623955764,0.49295774647887325,0.5681818181818182,0.5943161289177871,0.8079020366336269
ATP-synt_DE_N,.,0.8955513025360092,0.589626471782379,0.8060673593513409,0.4925373134328358,0.5555555555555556,0.8113677421644258,0.8015739843820956
formyl_transf,.,0.9124599816222734,0.6453511977263496,0.8396752520943588,0.5735294117647058,0.4339622641509434,0.7185650207899777,0.7931232693530823
EF_TS,.,0.8371464189770511,0.7118351603735278,0.7614126913408609,0.6438356164383562,0.5396825396825397,0.5943161289177871,0.782136353347805
msb,.,0.8925254156936422,0.8099878197320344,0.7063949821805645,0.5833333333333334,0.58,0.5119160496196309,0.7808698155006498
RNA_pol_H,.,0.9701859427949362,0.8048112058465298,0.5190739444743591,0.5797101449275363,0.8043478260869565,0.4056838710822129,0.780762584718723
Heme_oxygenase,.,0.6998226607904763,0.8696711327649213,1.0,0.4852941176470588,0.4307692307692308,0.5943161289177871,0.7795368935084918
CASc,.,0.7794965439338869,0.9640682095006086,0.8363282673358786,0.589041095890411,0.5,0.4056838710822129,0.7779018926983433
SCP2,.,0.9204724363363944,0.8627689809175796,0.6379052473958021,0.3972602739726027,0.4827586206896552,0.7678740744294463,0.7761663794904783
gln-synt_N,.,0.888030481274033,0.6138855054811208,0.6094238069722543,0.5217391304347826,0.5111111111111111,0.9175999207018438,0.7739108913101275
YgbB,.,0.8712271522132284,0.7871498172959813,0.6682604233561478,0.625,0.44642857142857145,0.6616418958920284,0.7732631187339891
pot,.,0.9653808110781406,0.5447624847746656,0.45676103696493403,0.6029411764705882,0.8913043478260869,0.5943161289177871,0.7719434053171033
P53,.,0.9488759737561381,0.41910272025984546,0.5044303105054793,0.7741935483870968,1.0,0.4056838710822129,0.7709541938191192
