,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
PAN,.,0.9505893255034256,0.8207749499571053,0.9677477943725089,0.5555555555555556,0.5740740740740741,0.7324867603589637,1.0
PH,.,0.954014910143479,0.6986702888189881,0.6587166182638919,0.8414634146341463,0.509090909090909,0.8856218745807111,0.9835385566449643
PDZ,.,0.941150746548385,0.9146411209608232,0.86288966236763,0.6263736263736264,0.4339622641509434,0.7324867603589637,0.9724701042666438
tcl1_mtcp1,.,0.9006528393827701,0.7374892765227339,0.8396511838124722,0.5652173913043478,0.65625,0.7324867603589637,0.9479985290496334
SUI1,.,0.9787124383082402,0.7311981698598781,0.750786432383454,0.4883720930232558,0.7037037037037037,0.7324867603589637,0.9337347670019018
PTS_EIIA_2,.,0.8572968076466546,0.9255075779239343,0.9114970375384711,0.4731182795698925,0.4838709677419355,0.7324867603589637,0.9332799971282704
sh2,.,0.9832989733658192,0.7194023448670291,0.7744529050647171,0.5882352941176471,0.41379310344827586,0.8856218745807111,0.9274585746882017
Rhodanese,.,0.8796099623081568,0.725693451529883,0.8131681066239927,0.41935483870967744,0.5245901639344263,1.0,0.9267258785866688
dsrm,.,0.901199475229587,0.7434944237918218,0.3178406438907859,0.7647058823529411,0.8913043478260869,0.7324867603589637,0.9232326481987199
S-AdoMet_syntD2,.,0.8029143499718873,0.9574635401772943,0.9792466712680812,0.3763440860215054,0.6,0.6309297535714574,0.9219644886067483
MurB_C,.,0.814149018137898,0.8297111810122949,0.8335603871999734,0.532608695652174,0.5846153846153846,0.7324867603589637,0.9158994330855363
L15,.,0.8584837883426002,0.6540606233914779,0.5750967736263056,0.5869565217391305,0.765625,0.8856218745807111,0.915504593280667
TPK_B1_binding,.,0.9416973823952021,0.6502716614240778,0.6276081866811577,0.5357142857142857,0.8333333333333334,0.7324867603589637,0.914052386355312
Bac_DNA_binding,.,0.8581506007788259,0.6671432656562768,0.6840874253935754,0.5972222222222222,0.8793103448275862,0.6309297535714574,0.9127428464379915
lipocalin,.,0.9498240353178817,0.7325564769802684,0.9133482086343282,0.5714285714285714,0.4153846153846154,0.7324867603589637,0.912185971207439
hip,.,0.9086701651360862,0.6660709179296529,0.7656303463626392,0.5365853658536586,0.9318181818181818,0.5,0.9102671654716753
Clp_N,.,0.7874419524791236,0.7663711752931072,0.9735074092316017,0.43023255813953487,0.5223880597014925,0.8154648767857288,0.9061652024501329
DUF50,.,0.9062597613544074,0.7048184157849589,0.9925897010448163,0.5581395348837209,0.4727272727272727,0.6309297535714574,0.8969782920425882
UCR_14kD,.,0.7587149372149684,0.8622390620531877,1.0,0.4523809523809524,0.6610169491525424,0.5,0.8874321028543845
parv,.,0.7703712958913809,0.8144123534458101,0.9205928777227274,0.43243243243243246,0.56,0.7324867603589637,0.8861875541123193
avi,.,0.88746590033527,0.5312410637689446,0.7179446967216447,0.5287356321839081,0.6176470588235294,0.9463946303571861,0.8859216149743234
GAF,.,0.8513098436100872,0.7079639691163855,0.9089471641797184,0.46236559139784944,0.4696969696969697,0.8154648767857288,0.8817240377060671
Ribosomal_L4,.,0.8214270839840903,0.7647983986273947,0.8487440607505242,0.4175824175824176,0.47540983606557374,0.8856218745807111,0.8810598344926267
Orbi_VP7,.,0.8914277087107723,0.7260509007720901,0.819311929747515,0.6,0.5409836065573771,0.6309297535714574,0.8795625851177502
hexapep,.,0.8985287686637096,0.6498427223334288,0.7373252236692839,0.5222222222222223,0.44642857142857145,0.9463946303571861,0.8771196962609101
MBD,.,0.926875741862935,0.5241635687732347,0.4898876542712031,0.7763157894736842,0.7454545454545455,0.7324867603589637,0.8754143237282068
Ribosomal_L14,.,0.8959882134899314,0.5968687446382616,0.7503916578069016,0.6385542168674698,0.4107142857142857,0.8856218745807111,0.8701844246991134
cryst,.,0.9067803669228046,0.6451243923362874,0.8585543551906565,0.4835164835164835,0.39285714285714285,0.8856218745807111,0.8684403000669886
Ribosomal_L6_D,.,0.9766716644801233,0.6661424077780955,0.8546785851158307,0.6756756756756757,0.68,0.3154648767857287,0.8672677869193768
CAT_RBD,.,0.9754534474500739,0.3650986559908497,0.5184987321351466,0.7818181818181819,0.8809523809523809,0.6309297535714574,0.8623947313421055
DUF101,.,0.881223839570188,0.6487703746068053,0.811011877129425,0.45555555555555555,0.5373134328358209,0.8154648767857288,0.8613480820335543
dutpase,.,0.9191031007267655,0.5761366885902198,0.890152385228479,0.5111111111111111,0.6060606060606061,0.6309297535714574,0.856485994541543
UreE,.,0.8956185835363695,0.6211038032599369,0.8564966926224615,0.4444444444444444,0.49230769230769234,0.8154648767857288,0.8540137141522547
BIR,.,0.8894962620520189,0.846797254789819,0.9226683977483111,0.6853932584269663,0.7777777777777778,0.0,0.8530002185827549
Hpr_kinase,.,0.828627058995023,0.7072490706319703,0.7674642058622504,0.44086021505376344,0.48148148148148145,0.8856218745807111,0.8496775676731764
DMRL_synthase,.,0.7280096207909039,0.8090506148126951,0.9859489883209402,0.44086021505376344,0.5072463768115942,0.6309297535714574,0.8468368531903856
Amino_oxidase_D2,.,0.8641531829824453,0.6286817271947381,0.8313599429528318,0.5060240963855421,0.4393939393939394,0.8154648767857288,0.8416306607234206
gln-synt_N,.,0.9145946565044459,0.7859593937660834,0.8395753091136109,0.34408602150537637,0.4666666666666667,0.7324867603589637,0.8411063051087476
Mur_ligase_C,.,0.8244622144478458,0.9004146411209584,0.6284962637705536,0.5681818181818182,0.4230769230769231,0.7324867603589637,0.8391885745115192
ATP-synt_DE_N,.,0.9299837571062659,0.6389762653703167,0.603236617363611,0.5,0.7708333333333334,0.6309297535714574,0.8382193382111434
Recep_L_domain,.,0.8887882384789988,0.707392050328852,0.682632588477536,0.5227272727272727,0.44642857142857145,0.8154648767857288,0.8349896302256462
CH,.,0.7695591512046812,0.7896768658850426,0.938183564972921,0.4625,0.5869565217391305,0.5,0.8299093320064794
Frataxin_Cyay,.,0.9228618729305929,0.7723763225621955,0.758898786748554,0.4157303370786517,0.5423728813559322,0.6309297535714574,0.8287721825986257
PX,.,0.8019199933362487,0.6189591078066914,0.7381351646350836,0.550561797752809,0.5945945945945946,0.7324867603589637,0.8267739561164432
Ribosomal_S7,.,0.755122758793028,0.8066199599656837,0.7688178245263658,0.3717948717948718,0.5964912280701754,0.7324867603589637,0.8251404007545458
Fimbrial,.,0.9705701672185086,0.6479124964255065,0.7121591534582647,0.6086956521739131,0.45454545454545453,0.6309297535714574,0.823139661245051
STAS,.,0.8754399117052956,0.6944523877609379,0.7555783913965344,0.5764705882352941,0.4909090909090909,0.6309297535714574,0.8228228451151302
cat3,.,0.7704910351721121,0.6768658850443239,0.7527107098823764,0.4457831325301205,0.7419354838709677,0.6309297535714574,0.821269031659128
ngf,.,0.9086805772474542,0.6039462396339719,0.5791021857225671,0.4943820224719101,0.7,0.7324867603589637,0.8212327601320586
Peptidase_S11,.,0.7590481247787425,0.7137546468401488,0.863787759908006,0.6551724137931034,0.5166666666666667,0.5,0.8181128826835421
Ribosomal_S30AE,.,0.9030736552758168,0.7122533600228759,0.7310107409584462,0.4946236559139785,0.5333333333333333,0.6309297535714574,0.8171294652053521
C2,.,0.8646165219383187,0.48899056334000607,0.7082588976121723,0.6024096385542169,0.45454545454545453,0.8856218745807111,0.8168896644615725
Hint,.,0.9035734366214782,0.813054046325421,0.6718855573261276,0.5108695652173914,0.3684210526315789,0.7324867603589637,0.8156155525192873
CUB,.,0.9446856583578018,0.6515584786960245,0.7521309663585485,0.44565217391304346,0.47368421052631576,0.7324867603589637,0.8155872721256568
il8,.,0.9565242289831533,0.5289533886188162,0.6949369614696017,0.640625,0.8636363636363636,0.3154648767857287,0.8155696514035
lacI,.,0.8633826867412174,0.5915070060051477,0.6812766693986042,0.5517241379310345,0.8095238095238095,0.5,0.8147330825964952
