,benchmark,alignment,threading,modeller,secondary_structure,access_score,sum_scores
protg,Fold,0.9779317227815774,0.779153605015672,0.812052071932014,0.8571428571428571,0.9761904761904762,1.0
TPK_B1_binding,.,0.9506501893327853,0.9169278996865206,0.6701031708620516,0.6027397260273972,0.7272727272727273,0.8103671095917776
Sm,.,0.9943699181025626,0.8536050156739811,0.7721313874200052,0.5277777777777778,0.6949152542372882,0.8015395248967618
SUI1,.,0.9746969207737693,0.8829153605015663,0.6851171631231724,0.6388888888888888,0.6363636363636364,0.792739236174541
RNA_pol_K,.,0.93406522441072,0.520846394984324,0.6996079098599517,0.7714285714285715,0.8813559322033898,0.7889528206464055
UreE,.,0.8904218158335047,0.8893416927899681,0.8687625542965023,0.5753424657534246,0.5689655172413793,0.783821737313181
PAN,.,0.9540082778055009,0.8006269592476466,0.8174964775389278,0.5616438356164384,0.6481481481481481,0.7799529085006341
biotin_lipoyl,.,1.0,0.9525078369905938,0.18352743483147055,0.7123287671232876,0.92,0.7751446289532268
RuBisCO_small,.,0.9083688026535943,0.5653605015673966,0.7694684142011127,0.7272727272727273,0.7903225806451613,0.7724599343042483
cks,.,0.8655120791381689,0.6178683385579922,0.5254719325216624,0.7916666666666666,0.9206349206349206,0.7584038423131113
SpoU_methylase_N,.,0.9157659905480376,0.8764890282131653,0.6659258067475148,0.6805555555555556,0.5818181818181818,0.7581913029918284
Propep_M14,.,0.9393548008336513,0.7266457680250761,0.8197959170453465,0.47058823529411764,0.76,0.7567126696516983
Ribosomal_L12,.,0.9581119558517041,0.559404388714732,0.6693975204110073,0.6833333333333333,0.8444444444444444,0.7561123009991715
hemopexin,.,0.8227786420876507,0.9032915360501546,0.8239497002948343,0.6301369863013698,0.5344827586206896,0.756093854826446
HSP20,.,0.9134822555552294,0.5664576802507822,0.8017650443942381,0.6027397260273972,0.8285714285714286,0.7555181628727867
STAS,.,0.8883318167141221,0.7360501567398096,0.9673377831720317,0.4857142857142857,0.6290322580645161,0.7531955798489978
msb,.,0.8952710834531952,0.8625391849529763,0.7063949821805645,0.5833333333333334,0.6363636363636364,0.745194316567882
cytb,.,0.8958405495053865,0.8937304075235117,0.6535485435895966,0.5352112676056338,0.6949152542372882,0.7414156097074943
IF3,.,0.9433586755511199,0.6374608150470203,0.7540206172496718,0.578125,0.7450980392156863,0.7360317348598893
HIT,.,0.895547010303226,0.6995297805642612,0.9639423605425214,0.4583333333333333,0.6379310344827587,0.7350460738432996
Ribosomal_L30,.,0.9447441805853172,0.5362068965517232,0.6868263597063161,0.5666666666666667,0.8666666666666667,0.7158363198679272
toxin,.,0.9582117591804385,0.3369905956112839,0.7001968766422946,0.639344262295082,0.9622641509433962,0.7143813442049093
S-AdoMet_syntD2,.,0.9368597176152875,0.4003134796238233,0.724724582778553,0.75,0.78,0.712569377033422
Colicin_Pyocin,.,0.8627528106378606,0.5843260188087754,0.8372746090635884,0.6388888888888888,0.6666666666666666,0.7118641499678631
Peptidase_S24,.,0.921871605952975,0.7327586206896545,0.7283696296712532,0.4305555555555556,0.7735849056603774,0.7108823723024035
RNA_pol_H,.,0.9731705169225351,0.7004702194357346,0.5190739444743591,0.5797101449275363,0.8113207547169812,0.7096785924548389
myb_DNA-binding,.,0.9301200575336837,0.5322884012539172,0.5193100582889855,0.7636363636363637,0.8260869565217391,0.7053156630334766
cryst,.,0.8829306953943699,0.9418495297805631,0.5295568873874011,0.547945205479452,0.6666666666666666,0.7044316930565753
VPR,.,0.8852555258754806,0.41238244514106465,0.6237743169174771,0.6444444444444445,1.0,0.7033351748342007
Arch_histone,.,0.8586432618076144,0.37366771159874457,0.8215371281205686,0.6666666666666666,0.8363636363636363,0.7001514436855585
Desulfoferrodox,.,0.8996330759972995,0.7512539184952979,0.715561391526821,0.4931506849315068,0.696969696969697,0.7000416459788632
tcl1_mtcp1,.,0.9295564622655356,0.7742946708463939,0.5979402585996952,0.5342465753424658,0.7096774193548387,0.6961930174285506
CASc,.,0.7818945020107435,0.7432601880877726,0.8363282673358786,0.589041095890411,0.5789473684210527,0.6904328784243879
Ribosomal_L4,.,0.8166084480582382,0.7725705329153588,0.7485050251725041,0.5833333333333334,0.6065573770491803,0.6897603033524854
UcrQ,.,0.8112895177150908,0.268495297805642,0.9233271224571383,0.5217391304347826,1.0,0.6887944928455204
