,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
Bcl-2,.,0.8011926744362041,0.7833620054067331,0.902304986275807,0.6987951807228916,0.6379310344827587,0.647685462377997,1.0
NusB,.,0.7828848191312245,1.0,1.0,0.44086021505376344,0.5172413793103449,0.647685462377997,0.9723212998748272
Colicin_Pyocin,.,0.9151990313304071,0.8793929712460049,0.8930724989387592,0.675,0.5098039215686274,0.44211410869774026,0.9474943029039594
parv,.,0.9167670652338428,0.8112558368149432,0.8755388271651622,0.5164835164835165,0.7241379310344828,0.44211410869774026,0.9380160475069668
Clp_N,.,0.8824882700166491,0.6568567215532065,0.7486104351588329,0.5113636363636364,0.4857142857142857,1.0,0.937592508182963
RNA_pol_K,.,0.8947237778114121,0.5627918407471132,0.5928992111337925,0.782051282051282,0.7735849056603774,0.647685462377997,0.9271050719396398
Pro_CA,.,0.7549629181171484,0.8627426886212832,0.8044568911957012,0.6559139784946236,0.6949152542372882,0.44211410869774026,0.9141601227785723
Bacteriofer,.,0.8284062358105039,0.8556770705333012,0.8335344048245444,0.5930232558139535,0.45161290322580644,0.647685462377997,0.9124288502225556
Ribosomal_S15,.,0.8660329953080066,0.600577537478496,0.762760371127772,0.6081081081081081,0.7843137254901961,0.5578858913022596,0.90228862816937
Ribosomal_S7,.,0.8817072801574087,0.8067092651757176,0.8031285045356222,0.5652173913043478,0.453125,0.647685462377997,0.8948811017444922
zf-TAZ,.,0.8585439685182382,0.8920496436470884,0.7542125169608996,0.735632183908046,0.9122807017543859,0.0,0.8932545860413352
Dehydratase_SU,.,0.8494808536400787,0.6781150159744405,0.6172171702717109,0.6075949367088608,0.609375,0.783091851446946,0.8906260352964938
msb,.,0.9392886332677463,0.6537847136888657,0.5792573429074704,0.5824175824175825,0.5,0.8842282173954805,0.8886495293560862
cytb,.,1.0,0.7471737527648064,0.7564014643797298,0.5714285714285714,0.7777777777777778,0.2789429456511298,0.886219425135563
dCMP_cyt_deam,.,0.8875435144543665,0.6361513885475545,0.7394110574635373,0.45454545454545453,0.5714285714285714,0.8368288369533894,0.884270614746531
EF_TS,.,0.9103980626608142,0.715286311132956,0.708408255857279,0.5113636363636364,0.5492957746478874,0.7210570543488701,0.8808862424186866
tetR,.,0.9086120780989859,0.70656180879823,0.7809285187333381,0.7611940298507462,0.9565217391304348,0.0,0.8802190941892254
SNAP-25,.,0.8501831390948993,0.6771319734578519,0.803447134100297,0.7727272727272727,1.0,0.0,0.8767580095314133
Rop,.,0.8355501740578174,0.717006635536987,0.6286239057382995,0.7457627118644068,0.8888888888888888,0.2789429456511298,0.8738379020483061
SRP54M,.,0.8346359921295594,0.6505898255099535,0.7640159861584301,0.7222222222222222,0.6727272727272727,0.44211410869774026,0.8709996929989808
urease_gamma,.,0.8740003027092477,0.7914721061685902,0.6289398389836373,0.5909090909090909,0.7333333333333333,0.44211410869774026,0.8624424873697901
RGS,.,0.8303193582563947,0.7017080363725724,0.7756750449281458,0.5466666666666666,0.4727272727272727,0.7210570543488701,0.8582151426949128
Endonuclease_3,.,0.736533979113062,0.8922954042762378,0.6947818697226344,0.6702127659574468,0.48333333333333334,0.5578858913022596,0.8538219787203736
UcrQ,.,0.8503466020886938,0.48844925043008103,0.6442330723368697,0.7901234567901234,0.9620253164556962,0.2789429456511298,0.8468109121222287
Fz,.,0.8522899954593613,0.621528631113295,0.7526363008632556,0.4823529411764706,0.5166666666666667,0.783091851446946,0.8449497062488991
MutS_D2,.,0.9094596639927349,0.6886827230277707,0.7145265813380172,0.5425531914893617,0.4925373134328358,0.647685462377997,0.8405527686070012
fusion_gly,.,0.8306765551687603,0.6966699434750548,0.7154367775667159,0.75,1.0,0.0,0.8396608588206801
DNA_PPF,.,0.8976540033298017,0.5591668714671906,0.8325627441120322,0.4606741573033708,0.6842105263157895,0.5578858913022596,0.839450056220977
Bac_DNA_binding,.,0.8366520357196913,0.4227697222904887,0.5890262818218774,0.76,0.9,0.44211410869774026,0.8255127539631513
ech,.,0.7145512335401847,0.725362496927992,0.7443352323974307,0.48148148148148145,0.5625,0.7210570543488701,0.825085624691708
mdm2,.,0.8848736188890569,0.6104694028016716,0.6798728183859174,0.5641025641025641,0.6346153846153846,0.5578858913022596,0.8192322393666827
Syntaxin,.,0.7954351445436657,0.7623494716146468,0.8613751486654082,0.6428571428571429,0.5737704918032787,0.2789429456511298,0.8135056821602953
RNA_pol_H,.,0.9269925836234297,0.5241459818137129,0.49715111392707356,0.5915492957746479,0.8076923076923077,0.5578858913022596,0.810384881577078
tcl1_mtcp1,.,0.8334069925836235,0.6324649791103449,0.663363602997014,0.4673913043478261,0.6610169491525424,0.647685462377997,0.8103554322007062
tryp_alpha_amyl,.,0.8793219312850008,0.5576308675350209,0.5370298218862183,0.5666666666666667,0.47058823529411764,0.8842282173954805,0.8070502019876812
BAG,.,0.7159679128197366,0.7254239370852791,0.6185321333204664,0.6052631578947368,0.5806451612903226,0.647685462377997,0.8063974444714831
phoslip,.,0.872674436204026,0.6696977144261488,0.6296757022212177,0.4772727272727273,0.59375,0.647685462377997,0.8054720040902804
utg,.,0.8854911457545027,0.6964856230031949,0.6206307395451631,0.6805555555555556,0.7222222222222222,0.2789429456511298,0.8033180743925488
MoCF_biosynth,.,0.8457272589677615,0.6905873679036617,0.5411908514696687,0.3595505617977528,0.47368421052631576,0.9649840459813436,0.800434935488866
HIT,.,0.8633449371878311,0.6580240845416555,0.7037071506113389,0.5106382978723404,0.576271186440678,0.5578858913022596,0.7984737064377924
ISP,.,0.8842924171333435,0.6104694028016702,0.6694184055135846,0.34408602150537637,0.46938775510204084,0.8842282173954805,0.79579651936029
Ribosomal_L22,.,0.8323535644013924,0.7542393708527891,0.4937177426524682,0.7282608695652174,0.6111111111111112,0.44211410869774026,0.795767884732584
MurB_C,.,0.8663114878159528,0.705763086753501,0.5783993045119701,0.6,0.543859649122807,0.5578858913022596,0.7925585597332274
uce,.,0.8137369456636899,0.6175964610469405,0.7359688724138945,0.4588235294117647,0.5,0.7210570543488701,0.7908708328743357
Rhodanese,.,0.9202784925079461,0.696608503317768,0.46009081348490766,0.4782608695652174,0.4444444444444444,0.8368288369533894,0.7872950627003743
ngf,.,0.8361374299984865,0.5398132219218481,0.6481825133340602,0.44086021505376344,0.7230769230769231,0.647685462377997,0.7870416654128956
Skp1,.,0.8620675041622521,0.7774023101499136,0.6633206648363877,0.45054945054945056,0.5230769230769231,0.5578858913022596,0.7865547645577669
Frataxin_Cyay,.,0.8585379143332829,0.6459818137134427,0.6087625855597574,0.4318181818181818,0.5666666666666667,0.7210570543488701,0.7860593167762434
S-AdoMet_syntD2,.,0.8092568487967308,0.6945195379700174,0.7668435843553,0.45054945054945056,0.5517241379310345,0.5578858913022596,0.7853741252905311
Peptidase_S24,.,0.8657726653549265,0.5976898500860164,0.5793384354363508,0.391304347826087,0.6721311475409836,0.7210570543488701,0.7842059994434667
ENTH,.,0.6436264567882549,0.9227082821332037,0.9965029028124597,0.550561797752809,0.4305555555555556,0.2789429456511298,0.7827330676250536
PBD,.,0.9482609353715756,0.5096461046940285,0.6460457817337905,0.7714285714285715,0.9473684210526315,0.0,0.7826834311483465
RuBisCO_small,.,0.8607598002118965,0.7106782993364457,0.6036897071647888,0.2978723404255319,0.6818181818181818,0.647685462377997,0.7758990823798697
PX,.,0.8515211139700317,0.6067829933644635,0.6235706263957167,0.525,0.5423728813559322,0.647685462377997,0.774032361894099
Egg_lysin,.,0.7942303617375511,0.6256451216515113,0.9006731622159204,0.6538461538461539,0.5352112676056338,0.2789429456511298,0.7712229005220443
lh2,.,0.80570304222794,0.37730400589825486,0.5888431930410839,0.7735849056603774,0.9607843137254902,0.2789429456511298,0.7700880643261289
PTS_EIIA_2,.,0.8316391705766611,0.6331408208405019,0.7372643233883074,0.4024390243902439,0.3898305084745763,0.783091851446946,0.7674888276111265
Band_41_M,.,0.8964007870440442,0.6996805111821073,0.6897871845884417,0.6986301369863014,0.5102040816326531,0.2789429456511298,0.7662288515434884
GAF,.,0.8820342061449976,0.5777832391250918,0.5643017873103587,0.5,0.46153846153846156,0.783091851446946,0.7645881905406559
HMG_box,.,0.8815438171636143,0.5295527156549518,0.5925893953441552,0.7808219178082192,0.9811320754716981,0.0,0.7635461698609748
UCR_14kD,.,0.861565006810958,0.6641681002703365,0.7309099974838702,0.4588235294117647,0.7692307692307693,0.2789429456511298,0.762876122324587
Flavin_Reduct,.,0.8058301801120025,0.6114524453182593,0.5405206566546531,0.44680851063829785,0.5166666666666667,0.8368288369533894,0.7610220219849584
DUF50,.,0.9020493416073861,0.6416810027033659,0.6535004668618947,0.5340909090909091,0.5806451612903226,0.44211410869774026,0.7596728254120025
Mur_ligase_C,.,0.9219494475556228,0.6826615876136625,0.643751532897408,0.41935483870967744,0.52,0.5578858913022596,0.7568319899250809
DSBA,.,0.8133555320115029,0.8222536249692801,0.8346831528328741,0.5106382978723404,0.4675324675324675,0.2789429456511298,0.7507341663893906
STAS,.,0.902703193582564,0.7833005652494467,0.7530835999464042,0.26373626373626374,0.5576923076923077,0.44211410869774026,0.7424318492784442
B,.,0.8643680944452852,0.5071270582452689,0.5159888475013535,0.6470588235294118,0.8888888888888888,0.2789429456511298,0.7423462724045016
Arch_histone,.,0.9362191614953838,0.5145613172769719,0.6602521374600414,0.7538461538461538,0.8367346938775511,0.0,0.742091199708934
PH,.,0.9151324352958983,0.4916441386089953,0.6875624022158411,0.625,0.5294117647058824,0.44211410869774026,0.7384893886629713
dNK,.,0.7413652187074314,0.7082821332022609,0.8284082088891357,0.5806451612903226,0.38961038961038963,0.44211410869774026,0.7383420709732272
Hint,.,0.8021734523989708,0.7907348242811483,0.630970718305415,0.3191489361702128,0.36363636363636365,0.783091851446946,0.7381178673134009
PGM_PMM_III,.,0.924613288935977,0.5089702629638733,0.6414198835024788,0.49295774647887325,0.4,0.7210570543488701,0.737870597077952
transcript_fac2,.,0.7616104131981232,0.8502703366920605,0.601860587910397,0.6075949367088608,0.425531914893617,0.44211410869774026,0.7378585543768386
Histidine_kinase,.,0.7894657181776903,0.5746497911034657,0.5097350682147772,0.6129032258064516,0.5538461538461539,0.647685462377997,0.7376250335856318
PDZ,.,0.9294566369002573,0.802592774637503,0.5654716709831695,0.5978260869565217,0.5098039215686274,0.2789429456511298,0.7362205205604048
lipocalin,.,0.8740608445588012,0.6537847136888669,0.6628329499558637,0.38202247191011235,0.4603174603174603,0.647685462377997,0.7350845023542427
SCP2,.,0.8682912062963524,0.4950233472597688,0.4997942896798218,0.4675324675324675,0.5087719298245614,0.8368288369533894,0.7335893653188096
SUI1,.,0.9424125927047071,0.3910051609732123,0.5872712678602344,0.46153846153846156,0.5714285714285714,0.7210570543488701,0.7330770149726469
ACPS,.,0.8861631602845467,0.4421848119931179,0.31637196258720657,0.6056338028169014,0.7755102040816326,0.647685462377997,0.7326870628988337
kazal,.,0.9012380808233691,0.3296264438436959,0.4144760775372724,0.35714285714285715,0.9487179487179487,0.7210570543488701,0.7322544742891173
capsid_n,.,0.7689299228091419,0.6347997050872453,0.6827855970796948,0.5540540540540541,0.5882352941176471,0.44211410869774026,0.7318055200093452
VPR,.,0.8786559709399122,0.2629024330302286,0.44859640415084157,0.8666666666666667,0.9302325581395349,0.2789429456511298,0.7301562799788874
MBD,.,0.9452762221885878,0.42989678053575864,0.3951311894898284,0.5733333333333334,0.8793103448275862,0.44211410869774026,0.7298429659635614
Amino_oxidase_D2,.,0.9095262600272437,0.6020521012533787,0.6734149306247906,0.4148936170212766,0.5066666666666667,0.5578858913022596,0.7296343650084902
PAN,.,0.8759800211896472,0.5541287785696721,0.5964156174469083,0.5,0.6938775510204082,0.44211410869774026,0.7289898459136713
Sm,.,0.8946995610715908,0.6671786679773891,0.7277031170335814,0.4625,0.9038461538461539,0.0,0.7267820441964508
Bac_rhodopsin,.,0.6713122445890721,0.7122143032686162,0.6993941413938554,0.726027397260274,0.5660377358490566,0.2789429456511298,0.7261122783637246
