,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
RNA_pol_K,.,0.9629072735926615,0.7348105789849902,0.8999911191685455,0.8928571428571429,0.9433962264150944,0.5,1.0
Ribosomal_L22,.,0.9188048981004716,0.8216908181168359,0.8152186148867161,0.7745098039215687,0.6865671641791045,0.8154648767857288,0.9659874538393128
RuBisCO_small,.,0.8719170524858292,0.6675547468971345,0.7095685919732223,0.7303370786516854,0.6666666666666666,1.0,0.9037144777501734
KSI,.,0.9632804725022716,0.8511924101631027,0.5817101114016715,0.6428571428571429,0.5789473684210527,0.9463946303571861,0.8764050951097692
B_lectin,.,0.9486608108692829,0.7704204301773969,0.7629835325196721,0.6057692307692307,0.8166666666666667,0.6309297535714574,0.8667230722852403
aspg,.,0.907041019427978,0.896614464877509,0.7073732599232028,0.5145631067961165,0.5,1.0,0.8634328593773489
Desulfoferrodox,.,0.9126552291116784,0.6194034700110479,0.7260505140270302,0.5841584158415841,0.6607142857142857,0.9463946303571861,0.8379449588998379
SCP,.,0.8923185928778503,0.6022483592176232,0.6557637485408581,0.78125,0.5666666666666667,0.8856218745807111,0.8160380256020601
pot,.,0.9316613301025485,0.4347261030606284,0.6803994595616853,0.7941176470588235,0.9047619047619048,0.6309297535714574,0.8136057764185994
EF_TS,.,0.8307137293929298,1.0,0.8350484562589409,0.5480769230769231,0.5285714285714286,0.6309297535714574,0.8125169368635197
transketolase_C,.,0.7617097918739993,0.8012866333095078,0.8117989849292646,0.54,0.5538461538461539,0.8856218745807111,0.8061372614489021
transcript_fac2,.,0.7223940980485482,0.9552927415686514,0.8567498409690896,0.6326530612244898,0.5245901639344263,0.6309297535714574,0.7955516137973057
tRNA-synt_2d,.,0.6316148154558435,0.8528169471700566,0.8152037225979218,0.5384615384615384,0.484375,1.0,0.795505585729472
msb,.,0.8749945913201506,0.8701020209240355,0.66600260022208,0.66,0.6153846153846154,0.6309297535714574,0.7938139429374661
EFTU_C,.,0.8074293626411665,0.7390993566833447,0.6765891915894139,0.6021505376344086,0.8541666666666666,0.6309297535714574,0.7914567145055879
PAN,.,0.8650642551166111,0.7387094678016752,0.7440878739894201,0.5168539325842697,0.7843137254901961,0.6309297535714574,0.7812883955601271
Elicitin,.,0.7536941283371554,0.867502761712912,0.7875490268731115,0.5957446808510638,0.6206896551724138,0.6309297535714574,0.7733128192280933
SNAP-25,.,0.70374496992774,0.5895119890831114,0.7622512018468335,0.6896551724137931,1.0,0.5,0.7696520359412136
Ribosomal_S7,.,0.7515144303578383,0.7724348560660224,0.7240806768402974,0.6172839506172839,0.5573770491803278,0.8154648767857288,0.7673085920262046
UreE,.,0.8468478213837567,0.6000389888881669,0.8397145328463302,0.5346534653465347,0.5277777777777778,0.8856218745807111,0.7661376618701555
Ribosomal_L12,.,0.9053426939552593,0.6711937097927081,0.6826018109070602,0.6307692307692307,0.6923076923076923,0.6309297535714574,0.7589444378803456
GEL,.,0.8952446886763877,0.8083046331795436,0.9465173801665778,0.5257731958762887,0.4,0.6309297535714574,0.7568124320274962
aakinase,.,0.7636190558608454,0.8140879849242966,0.8639365085764051,0.5747126436781609,0.4528301886792453,0.7324867603589637,0.7551080588371636
dhfr,.,0.8833131409285621,0.6932874130872699,0.8476668727794217,0.5769230769230769,0.4533333333333333,0.7324867603589637,0.7502046149093351
hip,.,0.9573363333477565,0.6331795438300096,0.6315800469415377,0.573170731707317,0.8913043478260869,0.5,0.7500576060925235
RNA_pol_H,.,0.9171119813076023,0.5590356748326727,0.7360780754325256,0.6944444444444444,0.9555555555555556,0.3154648767857287,0.7470878268782037
CBM_20,.,1.0,0.8433296510494498,0.7479442653720493,0.6176470588235294,0.46153846153846156,0.5,0.7446695805809006
L15,.,0.7719484228289558,0.700955227760088,0.620532174042954,0.5833333333333334,0.7586206896551724,0.7324867603589637,0.7438058317226304
TPK_B1_binding,.,0.8744266799359611,0.6222626551432848,0.7193339732116656,0.5764705882352941,0.8653846153846154,0.5,0.7404622713400306
IF4E,.,0.7759021677988835,0.7477418935603346,0.7338999596271948,0.5961538461538461,0.5714285714285714,0.7324867603589637,0.7403735454493263
Ribosomal_L6_D,.,0.8525323439054995,0.5740463967769196,0.7644624695944163,0.5915492957746479,0.6382978723404256,0.7324867603589637,0.7389562545962141
GTP_cyclohydroI,.,0.6434922764051749,0.9122750016245363,0.797181966339396,0.47572815533980584,0.6774193548387096,0.6309297535714574,0.733488950289983
WD40,.,0.6639533122755397,0.7169406719085075,0.6761532364346485,0.5145631067961165,0.6181818181818182,0.9463946303571861,0.733208127303237
