,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
fusion_gly,.,0.7929745042492917,0.6779057432944382,0.7174173170121453,0.7843137254901961,1.0,0.8154648767857288,1.0
dsrm,.,0.8275148081380376,0.7984543112592815,0.5545781187498705,0.7941176470588235,0.9024390243902439,0.8154648767857288,0.9662115493944139
RNA_pol_K,.,0.7717125933556528,0.7720866797999703,0.7085065985430774,0.9866666666666667,0.6415094339622641,0.6309297535714574,0.9021220899081295
Skp1,.,0.7978264228689157,0.7719351416881344,0.7896191634248997,0.7464788732394366,0.5925925925925926,0.7324867603589637,0.8736525594932286
Propep_M14,.,0.8121967550862734,0.8170177299590857,0.8123428214449064,0.7272727272727273,0.5535714285714286,0.6309297535714574,0.8461966161022798
IF3,.,0.7862734998712335,0.9115017426882854,0.8993461856580296,0.7066666666666667,0.5384615384615384,0.5,0.8422761912806473
Rop,.,0.7754416688127735,0.8952113956660092,0.5527050918983182,0.847457627118644,0.9111111111111111,0.3154648767857287,0.8264064475421173
L15,.,0.7560082410507339,0.7409455978178519,0.5293032365610761,0.6233766233766234,0.8181818181818182,0.8154648767857288,0.8214141465973906
Colicin_Pyocin,.,0.8280453257790368,0.9375662979239281,0.7755828566966327,0.8051948051948052,0.6181818181818182,0.3154648767857287,0.8202663432021188
Ribosomal_S15,.,0.7537780066958537,0.9118805879678742,0.7064155910799745,0.6875,0.7142857142857143,0.5,0.8180813791603163
RNA_pol_H,.,0.804985835694051,0.6629034702227616,0.6946709652948986,0.746031746031746,0.6136363636363636,0.7324867603589637,0.8113083765535383
urease_gamma,.,0.7723100695338655,0.7341263827852702,0.6479194310001641,0.7313432835820896,0.723404255319149,0.6309297535714574,0.8061142139458389
protg,.,0.7927066701004377,0.48363388392180645,0.6082900203510192,0.8035714285714286,0.9,0.6309297535714574,0.7987197427598168
tetR,.,0.8204429564769508,0.5409910592514011,0.6312327426703661,0.6923076923076923,0.6808510638297872,0.8154648767857288,0.7853322841917871
zf-TAZ,.,0.7857172289466907,0.6855584179421131,0.6778286721477895,0.6323529411764706,0.66,0.7324867603589637,0.7827332967204081
HLH,.,0.8178161215554983,0.27602667070768266,0.43153257358319774,0.9411764705882353,0.8780487804878049,0.8154648767857288,0.7778233733489374
Elicitin,.,0.7736131856811743,0.913699045309895,0.8196287731857393,0.7402597402597403,0.5957446808510638,0.3154648767857287,0.7772378022597499
Ribosomal_L4,.,0.7897913984032964,0.8918775572056366,0.6032884187242126,0.7027027027027027,0.5333333333333333,0.6309297535714574,0.7749427927501591
SNAP-25,.,0.7905845995364408,0.7726928322473096,0.7592700406542287,0.8245614035087719,1.0,0.0,0.7732396015274868
transcript_fac2,.,0.7393716198815349,0.9107440521291086,0.6059446012427349,0.7466666666666667,0.5,0.6309297535714574,0.7684805096092939
PX,.,0.754880247231522,0.7815578117896657,0.6447395085475874,0.6623376623376623,0.5490196078431373,0.7324867603589637,0.7654255991673191
Band_41_M,.,0.7854854493947978,0.8558114865888767,0.7347927208053713,0.7402597402597403,0.4727272727272727,0.5,0.752709059044836
tryp_alpha_amyl,.,0.7846304403811485,0.6348689195332625,0.5584499439829033,0.7313432835820896,0.5510204081632653,0.8154648767857288,0.7480042314683821
utg,.,0.7645943857841875,0.5510683436884376,0.5881766156111601,0.8125,0.6666666666666666,0.6309297535714574,0.7261258282342893
mdm2,.,0.7820293587432396,0.6824518866494931,0.6064168660067858,0.6103896103896104,0.6792452830188679,0.6309297535714574,0.7181753632392502
sh2,.,0.7882668040175123,0.5057584482497348,0.5189127424153808,0.6060606060606061,0.5510204081632653,1.0,0.710589027330412
UcrQ,.,0.7797064125676023,0.5149265040157598,0.5156324194764195,0.696969696969697,0.9516129032258065,0.5,0.7066369428453254
Clp_N,.,0.7751789853206283,0.6814668889225648,0.6281084707730997,0.7402597402597403,0.47761194029850745,0.6309297535714574,0.6976891233451883
STAS,.,0.8095956734483646,0.7877708743749061,0.5778659000106775,0.5921052631578947,0.5306122448979592,0.6309297535714574,0.6960348307781957
ATP-synt_g,.,0.5908472830285861,1.0,1.0,0.7466666666666667,0.5866666666666667,0.0,0.6943723930238535
COX3,.,0.5958691733195982,0.6772238217911808,0.6814305316285437,0.9074074074074074,0.7333333333333333,0.3154648767857287,0.6896135524153915
Arch_histone,Superfamily,1.0,0.7843612668586148,0.6654002393675088,0.7428571428571429,0.7115384615384616,0.0,0.6872885087055245
Ribosomal_L30,.,0.7979603399433428,0.7230641006213053,0.6393491179896954,0.6896551724137931,0.5526315789473685,0.5,0.6867589729095427
cytc,.,0.8264022662889519,0.5332626155478107,0.3849081654281284,0.64,0.5510204081632653,0.9463946303571861,0.6794455860211165
DUF50,.,0.7760855009013649,0.5490225791786626,0.48999552181957556,0.6081081081081081,0.5106382978723404,0.9463946303571861,0.6788287918939492
NusB,.,0.7383981457635848,0.8445976663130773,0.7268360938154894,0.7123287671232876,0.5370370370370371,0.3154648767857287,0.6768539825432399
ptpase,.,0.6006850373422611,0.9550689498408845,0.6610550338094654,0.6753246753246753,0.46938775510204084,0.5,0.6722049323555906
RuBisCO_small,.,0.7532062838011846,0.5234884073344431,0.6085829347859,0.7466666666666667,0.7076923076923077,0.5,0.6644625441942555
Ribosomal_L12,.,0.7949317537986093,0.7077587513259588,0.3295069858020963,0.6666666666666666,0.7073170731707317,0.6309297535714574,0.6635690357637678
B,.,0.8252124645892351,0.6368389149871193,0.6020748477657705,0.8235294117647058,0.9411764705882353,0.0,0.6606401485349342
Ribosomal_L6_D,.,0.7977182590780325,0.47476890437945096,0.5958586552390727,0.7115384615384616,0.6046511627906976,0.6309297535714574,0.6559112230756637
ATP-synt_DE_N,.,0.724414112799382,0.5347779966661623,0.5365363744587537,0.5217391304347826,0.6086956521739131,0.8856218745807111,0.654609298843805
Rhodanese,.,0.7390986350759722,0.6779815123503555,0.5249106037256549,0.7083333333333334,0.5178571428571429,0.6309297535714574,0.6501254544135532
MIF,.,0.7573628637651301,0.5174268828610391,0.5047538514742138,0.6883116883116883,0.515625,0.8154648767857288,0.6500667916831534
Dehydratase_SU,.,0.7636981715168684,0.8311107743597508,0.6321338609405454,0.6507936507936508,0.6046511627906976,0.3154648767857287,0.6496802300231824
