,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
SNAP-25,.,0.9273504012321157,0.9458290228533814,0.9877877420393012,0.9411764705882353,1.0,0.8450980400142568,1.0
fusion_gly,.,0.9395248776135092,0.9566444089156401,0.9132545789048881,0.9615384615384616,1.0,0.47712125471966244,0.901244757727966
Arch_histone,.,0.9486618465844848,0.8134110787172011,0.7007102615622053,0.9,0.75,1.0,0.8677702436520536
utg,.,0.8968286466896058,0.8225336217436291,0.8553675742747753,0.8846153846153846,0.7083333333333334,0.9030899869919435,0.8573754503952468
tetR,.,0.977405100812243,0.7928148217812478,0.7397050771550141,0.8823529411764706,0.7209302325581395,0.7781512503836436,0.8129880467442273
Ribosomal_S15,.,0.8744965499538566,0.774663782563717,0.7625275474229422,0.9245283018867925,0.7674418604651163,0.6989700043360189,0.7910351194071783
Bac_DNA_binding,.,0.8976048306757689,0.549609705633406,0.6746737192424633,0.9347826086956522,0.8409090909090909,0.9030899869919435,0.790550667044234
UcrQ,.,0.8722413382145322,0.6958525345622125,0.7526926121573729,0.8301886792452831,0.9433962264150944,0.6989700043360189,0.7887375196597791
PAH,.,0.9170461004394301,0.6529671776544722,0.5775296776314676,0.8867924528301887,0.7954545454545454,0.7781512503836436,0.742867873117528
lh2,.,0.8959302290048342,0.671588451048623,0.8387262700418461,0.9019607843137255,0.9574468085106383,0.3010299956639812,0.7326601143658517
SAM_PNT,.,0.9288783224647204,0.7241606319947345,0.5941220308474882,0.75,0.5641025641025641,1.0,0.731319408526691
Colicin_Pyocin,.,0.9217582095207827,0.8410608483024564,0.517592990940251,0.7924528301886793,0.6666666666666666,0.7781512503836436,0.7205371447704468
NusB,.,0.876721203268529,0.9222232671870598,0.760021790688083,0.9433962264150944,0.5142857142857142,0.47712125471966244,0.7146207731394056
B,.,0.91923408364452,0.843223925514907,0.6519685227268139,0.8823529411764706,0.8947368421052632,0.3010299956639812,0.7143181560695813
HMG_box,.,0.9166060591244399,0.6096115865701122,0.6039816457731114,0.8490566037735849,0.7272727272727273,0.7781512503836436,0.7123719297655529
HLH,.,0.9438336154894541,0.413617981754914,0.4577784322726841,0.7659574468085106,0.9210526315789473,0.9542425094393249,0.7053956794069689
mdm2,.,0.8927521528410167,0.6763848396501467,0.5569109558318921,0.8679245283018868,0.5531914893617021,0.8450980400142568,0.689506932289185
KH,.,0.9828078302907327,0.5829022853380992,0.33666758262684404,0.7547169811320755,0.7222222222222222,0.9542425094393249,0.6749833912197437
BAG,.,0.8476295829997371,0.893256841907271,0.7807502553142589,0.9215686274509803,0.5813953488372093,0.3010299956639812,0.6730217461637081
RhoGEF,.,0.7941156697489931,0.8143515470704416,0.8330414192292569,0.8846153846153846,0.4888888888888889,0.47712125471966244,0.6647344188639434
urease_gamma,.,0.9225099467672242,0.6557885827141925,0.6011293757230085,0.8301886792452831,0.5641025641025641,0.6989700043360189,0.6599235511047072
SRF-TF,.,0.9060695143043986,0.579140411925139,0.531228979473827,0.7924528301886793,0.7555555555555555,0.6989700043360189,0.6576296116705013
PBD,.,0.9083002793040013,0.6545659738549805,0.6042072559743038,0.7446808510638298,0.7441860465116279,0.6020599913279624,0.6562894232689304
Syntaxin,.,0.869607202009522,0.8538512179065175,0.956092162742578,0.9411764705882353,0.6326530612244898,0.0,0.6551463242599456
VPR,.,0.9459543701603094,0.43035831844258543,0.5094826376550003,0.7368421052631579,0.9142857142857143,0.6989700043360189,0.6508198946563645
ATP-synt_g,.,0.6974410375196337,0.9073638672058691,1.0,0.9215686274509803,0.6862745098039216,0.0,0.6450688493518377
cat,.,0.46231229487657444,0.890059249506255,0.8067603940271049,0.7692307692307693,0.8,0.47712125471966244,0.6432963927053783
Elicitin,.,0.8896779753210161,0.7863255901438928,0.6837003502742414,0.8269230769230769,0.6666666666666666,0.3010299956639812,0.6306388802770164
protg,.,0.9769650594972528,0.37947898053230555,0.43086247291191815,0.775,0.7142857142857143,0.8450980400142568,0.6225650915861828
Rop,.,0.9327225722859535,1.0,0.6243190466682844,0.9019607843137255,0.65,0.0,0.6194260018465502
