,benchmark,alignment,threading,modeller,secondary_structure,access_score,sum_scores
BIR,.,0.9046040788665579,0.7758494511238907,0.9226683977483111,0.6853932584269663,0.8484848484848485,1.0
PAN,.,0.9667347889620703,0.8854155776267657,0.9677477943725089,0.5555555555555556,0.6229508196721312,0.9486348179549011
PDZ,.,0.9571358986848514,1.0,0.86288966236763,0.6263736263736264,0.5409836065573771,0.9445500258719955
tcl1_mtcp1,.,0.9159501471865139,0.8579194981704129,0.8396511838124722,0.5652173913043478,0.6973684210526315,0.9033097266437817
lipocalin,.,0.9659565005612147,0.8274960794563513,0.9133482086343282,0.5714285714285714,0.5789473684210527,0.8962940700069276
Ribosomal_L6_D,.,0.993260128338169,0.5306847882906428,0.8546785851158307,0.6756756756756757,0.8,0.8952276144815272
Orbi_VP7,.,0.9065683305449077,0.908938839519081,0.819311929747515,0.6,0.6086956521739131,0.8912307748881463
PH,.,0.9702185560897096,0.7089388395190817,0.6587166182638919,0.8414634146341463,0.6521739130434783,0.886782164586907
hip,.,0.9241036447192866,0.6315734448510202,0.7656303463626392,0.5365853658536586,0.9636363636363636,0.8830826483711671
CAT_RBD,.,0.9920212202715009,0.4932566649242028,0.5184987321351466,0.7818181818181819,1.0,0.8697649339733349
DHHA2,.,0.8997596306571508,0.9551489806586525,0.9434880096190091,0.44086021505376344,0.5454545454545454,0.869437528597333
SUI1,.,0.9953355640737839,0.7165708311552548,0.750786432383454,0.4883720930232558,0.8135593220338984,0.8619929899844793
DUF50,.,0.9216523009805375,0.6924202822791442,0.9925897010448163,0.5581395348837209,0.5909090909090909,0.8586896002258743
il8,.,0.9727704949278891,0.5404077365394669,0.6949369614696017,0.640625,0.8867924528301887,0.8512112893703413
S-AdoMet_syntD2,.,0.8165515999915288,0.8017773131207524,0.9792466712680812,0.3763440860215054,0.7575757575757576,0.8497150472195041
cryst,.,0.922181748872276,0.9092524830109762,0.8585543551906565,0.4835164835164835,0.5507246376811594,0.847022282883477
dutpase,.,0.9347137804697262,0.6895974908520661,0.890152385228479,0.5111111111111111,0.6933333333333334,0.8450500303241844
GAF,.,0.8657690760075393,0.8658651332984848,0.9089471641797184,0.46236559139784944,0.6075949367088608,0.8419494147912633
TPK_B1_binding,.,0.9576918189711768,0.7778358599059039,0.6276081866811577,0.5357142857142857,0.7894736842105263,0.8337151285188545
SRF-TF,.,0.8727683771363222,0.5385258755880817,0.9432212394804638,0.4166666666666667,0.9,0.8273622141061757
