,benchmark,alignment,threading,secondary_structure,sum scores
ghf28,.,0.7771084337349398,0.9906542056074766,0.4375,1.0
ghf5,.,0.9096385542168675,0.735981308411215,0.5075,0.9574037910515582
alpha-amylase,.,1.0,0.7172897196261683,0.4025,0.9301759020695605
IMPDH,.,0.8192771084337349,0.7242990654205608,0.485,0.8556622014296238
DAHP_synth_1,.,0.6144578313253012,0.6635514018691588,0.7325,0.8409030491961008
pec_lyase,.,0.9036144578313253,1.0,0.0725,0.8128054462216883
adh,.,0.7289156626506024,0.9602803738317757,0.2775,0.8051113978985206
Plectin,.,0.7349397590361446,0.6051401869158879,0.61,0.7915374666900918
Glyco_hydro_18,.,0.7590361445783133,0.8411214953271028,0.2875,0.7405437575139885
Pectinesterase,.,0.6927710843373494,0.764018691588785,0.415,0.7275810636910274
LRR,.,0.8373493975903614,0.897196261682243,0.1325,0.7237055243165775
phosphotriesterase,.,0.6927710843373494,0.6682242990654206,0.49,0.710593815510252
XPG_NC,.,0.7530120481927711,0.6378504672897196,0.4475,0.7002738380280717
Peptidase_M10A,.,0.7831325301204819,0.7289719626168224,0.325,0.6992461405579229
aldosered,.,0.7108433734939759,0.6728971962616822,0.4525,0.698540389039488
mle,.,0.8132530120481928,0.8598130841121495,0.14,0.6796088172717564
DHOdehase,.,0.6927710843373494,0.7289719626168224,0.385,0.6744434244379053
AP_endonuc_2,.,0.7048192771084337,0.6121495327102804,0.4875,0.6725855663351235
Peptidase_M17,.,0.5060240963855421,0.7289719626168224,0.5625,0.6668894226037331
oxidored_FMN,.,0.7349397590361446,0.8271028037383178,0.2325,0.6644766676570337
fer4,Family,0.6746987951807228,0.11682242990654206,1.0,0.6620084920143604
tRNA-synt_1d_M,.,0.6325301204819277,0.7172897196261683,0.4375,0.6585763182076994
Lyase_8,.,0.6385542168674698,0.6658878504672897,0.4575,0.6378448386084942
Glyco_hydro_20,.,0.8192771084337349,0.822429906542056,0.12,0.6376528208444366
ghf2,.,0.7168674698795181,0.6004672897196262,0.4425,0.6361233476124026
Ricin_B_lectin,.,0.6746987951807228,0.705607476635514,0.3775,0.6344662458066538
AlaDh_PNT,.,0.6686746987951807,0.7406542056074766,0.3475,0.633667819846404
tim,.,0.5963855421686747,0.6448598130841121,0.515,0.633191109876474
enolase,.,0.463855421686747,0.8130841121495327,0.4775,0.6317159075334432
TPK,.,0.7409638554216867,0.5677570093457944,0.445,0.6311288160943541
Orn_Arg_deC_N,.,0.608433734939759,0.5397196261682243,0.605,0.6306652139238863
OTCace,.,0.7771084337349398,0.6985981308411215,0.275,0.6286663894865328
ETF_alpha,.,0.5783132530120482,0.6682242990654206,0.5,0.6252606612401908
pnp,.,0.8012048192771084,0.764018691588785,0.18,0.6241872014526199
Seedstore_7s,.,0.5843373493975904,0.8247663551401869,0.335,0.6232724150269653
ghf17,.,0.6385542168674698,0.5654205607476636,0.535,0.6190825184268064
trp_syntA,.,0.6144578313253012,0.4649532710280374,0.655,0.6153543843059627
Lipoprotein_4,.,0.6566265060240963,0.6401869158878505,0.435,0.6132323005613818
Asp_Glu_race,.,0.6445783132530121,0.4929906542056075,0.5825,0.6036380812389216
Ferrochelatase,.,0.5963855421686747,0.572429906542056,0.5425,0.5964872017285736
URO-D,.,0.4759036144578313,0.7172897196261683,0.5125,0.5918944127659846
Glyco_hydro_18_D1,.,0.6987951807228916,0.6799065420560748,0.325,0.5902674359028606
F_bP_aldolase,.,0.6325301204819277,0.7429906542056075,0.3275,0.5897111592905784
Mur_ligase,.,0.6626506024096386,0.6098130841121495,0.42,0.5810869171283523
SRP54,.,0.5903614457831325,0.7032710280373832,0.3925,0.5759148554140732
aldose,.,0.5301204819277109,0.7336448598130841,0.4075,0.5637696743470706
Dala_Dala_ligas_C,.,0.6144578313253012,0.46261682242990654,0.59,0.5603462390733842
apbact,.,0.6506024096385542,0.4135514018691589,0.6,0.5579601596483983
EPSP_syntase,.,0.6566265060240963,0.7733644859813084,0.2275,0.5525172034118909
cpa,.,0.536144578313253,0.7079439252336449,0.41,0.5497376600416322
Transaldolase,.,0.5602409638554217,0.5700934579439252,0.52,0.5466708948901658
DeoC,.,0.6204819277108434,0.6214953271028038,0.4075,0.5459706624451887
igps,.,0.7168674698795181,0.42990654205607476,0.5025,0.545804630318662
ghf10,.,0.6325301204819277,0.7476635514018691,0.265,0.5424713399114557
OMPdecase,.,0.6686746987951807,0.4602803738317757,0.515,0.5414595097774986
AlaDh_PNT_D1,.,0.6144578313253012,0.4719626168224299,0.5575,0.5414312245260263
Cyclodex_gly_tran,.,0.6024096385542169,0.7850467289719626,0.255,0.5402351953154103
Arginosuc_synth,.,0.46987951807228917,0.7897196261682243,0.3775,0.5358588000246517
piplc,.,0.608433734939759,0.5841121495327103,0.44,0.532139174475389
QRPTase,.,0.6024096385542169,0.5864485981308412,0.4425,0.5311689673537605
FAD-oxidase_NC,.,0.7289156626506024,0.8481308411214953,0.0525,0.529688935821454
CPS,.,0.6144578313253012,0.37383177570093457,0.64,0.5286621581968817
ghf18,.,0.7168674698795181,0.6121495327102804,0.295,0.525171804157518
