,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
glnasn,.,1.0,0.8654317375562363,0.9114154727933406,0.6188925081433225,0.41379310344827586,0.7966397701969122,1.0
FAA_hydrolase,.,0.8239169034893125,0.7949383754525833,0.8246045695131783,0.5353535353535354,0.7703703703703704,0.7966397701969122,0.9783818783369478
Transpeptidase,.,0.7677978430690408,0.8469992319789436,0.9008433762247781,0.636963696369637,0.554140127388535,0.7966397701969122,0.9631792934825426
Glyco_transf_28,.,0.8547076125114645,0.9714186446256817,0.7467958789347198,0.6254071661237784,0.46099290780141844,0.7601875334318686,0.933134009803308
Fe-ADH,.,0.853813032850953,0.9393263358080735,0.8344499517458218,0.630718954248366,0.33116883116883117,0.8296148293891936,0.9329843433839775
subt,.,0.9680029638598853,0.8520827999853784,0.5786033718548816,0.7198443579766537,0.3949579831932773,0.8874115761940964,0.9264687586077615
fbpase,.,0.8168777362616509,0.8838276707018271,0.7955722328628327,0.5912162162162162,0.5165562913907285,0.7966397701969122,0.9263924096613091
biopterin_H,.,0.7101335995987945,0.8401601872508544,0.9716672990261487,0.6413043478260869,0.52,0.6199062332840658,0.8914596180711905
ATP-synt,.,0.6664708832392819,0.8949091175072289,1.0,0.6026058631921825,0.3742690058479532,0.7601875334318686,0.8897655107172219
arginase,.,0.807082540786959,1.0,0.7381621960467737,0.6131147540983607,0.328,0.7966397701969122,0.8842334994214326
ghf33,.,0.9057167254769961,0.7537943897889866,0.5632476802900696,0.7068403908794788,0.38064516129032255,0.9369210703447152,0.8713971722399663
Haloperoxidase,.,0.7539544487265794,0.830249058259894,0.8296663567495722,0.7582417582417582,0.5126050420168067,0.5568273036287807,0.869383467568193
DNA_ligase_N,.,0.7612466283834765,0.7791939436053181,0.9131177537799754,0.6006711409395973,0.5672514619883041,0.6199062332840658,0.8693272969662925
OMPdecase,.,0.8864787446969046,0.707859415572549,0.6622173539051294,0.6606334841628959,0.6083333333333333,0.6732387083908185,0.8540578533138652
Peptidase_M24,.,0.8806413865081122,0.7262004900705961,0.7866946159134717,0.639344262295082,0.4247787610619469,0.6732387083908185,0.8297481719346983
PA_phosphatase,.,0.8372045741032742,0.6878908678638138,0.7392196205238926,0.625,0.3904109589041096,0.8296148293891936,0.8220259329775281
p450,.,0.6255777493640804,0.8088907581465176,0.9172685900393956,0.5271317829457365,0.3987730061349693,0.8296148293891936,0.8212793584144158
Peptidase_M17,.,0.6923549583659011,0.9232893245071904,0.7369797800957756,0.5551724137931034,0.464,0.7194373997043944,0.8155396890591137
DAO,.,0.8364726452901284,0.820374501700623,0.8518222402605289,0.5667752442996743,0.44966442953020136,0.5568273036287807,0.8122091530994507
phosfruc,.,0.7950644503982687,0.906502578356438,0.8308041692302444,0.5993485342019544,0.39263803680981596,0.5568273036287807,0.8119400267601706
formyl_transf,.,0.8515359209878328,0.5456789671945416,0.5199126953493056,0.6979166666666666,0.5670103092783505,0.8874115761940964,0.8077420927366192
WD40,.,0.8793718062828407,0.7619683282741518,0.6353084590195281,0.5163636363636364,0.4426229508196721,0.8296148293891936,0.8062318007328477
fibrinogen_C,.,0.8538943582746359,0.5870789598800528,0.542645399531328,0.6762295081967213,0.6422018348623854,0.7601875334318686,0.8051526991427498
tyrosinase,.,0.8041006085852539,0.7962915554255259,0.8115676365571866,0.5806451612903226,0.5112781954887218,0.5568273036287807,0.8046056525592084
Isochorismatase,.,0.7655930204714164,0.6708298284753074,0.7155069684884291,0.625,0.6,0.6732387083908185,0.8008293417546927
NO_synthase,.,0.7099438402768679,0.741506052737457,0.7242199652786151,0.5292096219931272,0.4506172839506173,0.8874115761940964,0.7982286127461183
UPP_synthetase,.,0.7506698052256103,0.6546465274476192,0.6691618711487926,0.616822429906542,0.6186440677966102,0.7194373997043944,0.7933832705471704
tRNA-synt_2b,.,0.8496518820058463,0.609022418900645,0.7732149270898085,0.6653225806451613,0.5111111111111111,0.6199062332840658,0.7929702637646268
alpha-amylase,.,0.8526067057329905,0.7339172731595007,0.6496323349437964,0.7081967213114754,0.31351351351351353,0.7601875334318686,0.789325370318163
ATP-gua_Ptrans,.,0.7834349148116186,0.7949932341001426,0.752451531134072,0.5894039735099338,0.32903225806451614,0.7601875334318686,0.7862623783167425
ricin,.,0.7217495809481641,0.5545843543137293,0.6860801539978625,0.5540540540540541,0.49193548387096775,1.0,0.7858684037725492
CASc,.,0.7882466690461882,0.6436565117214759,0.6381837717035818,0.670995670995671,0.5043478260869565,0.7601875334318686,0.784870535910828
ldh,.,0.8374124057415748,0.87960355484037,0.8369679278824352,0.5331125827814569,0.4277456647398844,0.4796249331362629,0.780876077976352
sugbp,.,0.8263973289116398,0.7498262809494297,0.6637225655665979,0.6329113924050633,0.4418604651162791,0.6732387083908185,0.7785439614535984
peroxidase,.,0.7457541351718903,0.7137110046447058,0.671535182797999,0.6258503401360545,0.4594594594594595,0.7601875334318686,0.7744391108245939
