,benchmark,alignment,threading,secondary_structure,sum scores
apbact,.,0.9583333333333334,0.9375,0.6089108910891089,1.0
igps,.,0.8571428571428571,0.8229166666666666,0.6732673267326733,0.9113887487767128
PGM_PMM,.,0.875,0.5989583333333334,0.8613861386138614,0.9008652465758739
PMSR,.,0.7202380952380952,0.765625,0.7871287128712872,0.864375724811064
ENTH,.,0.8392857142857143,0.8802083333333334,0.5346534653465347,0.8533478187767561
piplc,.,0.8273809523809523,0.6510416666666666,0.7524752475247525,0.8397418487047168
MCR_beta_N,.,0.8154761904761905,0.7604166666666666,0.6336633663366337,0.8272524648965109
MAAL_C,.,0.8154761904761905,0.7239583333333334,0.6633663366336634,0.8232991459623981
Bet_v_I,.,0.9583333333333334,0.7291666666666666,0.504950495049505,0.8172419888168927
ppase,.,0.9166666666666666,0.5989583333333334,0.6732673267326733,0.8151597063248791
CYCc,.,0.8214285714285714,0.7708333333333334,0.5891089108910891,0.8107580284276826
RuvA,.,0.9761904761904762,0.5520833333333334,0.6435643564356436,0.8051794082523914
ACT,.,0.9523809523809523,0.375,0.8415841584158416,0.8034980621408278
DHDPS,.,0.7916666666666666,0.7447916666666666,0.6237623762376238,0.7983807343602476
tRNA-synt_1d_N,Fold,0.9940476190476191,0.4895833333333333,0.6683168316831684,0.7935393197877191
Propep_M14,.,1.0,0.359375,0.7821782178217822,0.7874562957789588
pnp,.,0.9107142857142857,0.84375,0.38613861386138615,0.78690015821898
XPG_NC,.,0.8333333333333334,0.5260416666666666,0.7673267326732673,0.778765029725337
DHOdehase,.,0.8095238095238095,0.7239583333333334,0.5891089108910891,0.776359411442638
cpn60_TCP1,.,0.8333333333333334,0.671875,0.6138613861386139,0.7742986846700035
Ribosomal_L7Ae,.,0.8630952380952381,0.546875,0.7079207920792079,0.7736089016498747
SRP54,.,0.7857142857142857,0.6510416666666666,0.6782178217821783,0.7719016886750559
OTCace,.,0.8273809523809523,0.7916666666666666,0.49504950495049505,0.7713886625538353
sodfe,.,0.7976190476190477,0.6666666666666666,0.6485148514851485,0.7706299012316938
Methyltransf_2,.,0.7023809523809523,0.796875,0.6089108910891089,0.7679181917338125
Colicin,.,0.8333333333333334,0.859375,0.41089108910891087,0.7652452825308138
mcp2,.,0.8392857142857143,0.5833333333333334,0.6782178217821783,0.763628603577387
rnh,.,0.8630952380952381,0.7447916666666666,0.4900990099009901,0.7619601908974506
igvar-h,.,0.7559523809523809,0.5260416666666666,0.8118811881188119,0.7595545726147516
RNase_HII,.,0.9166666666666666,0.5989583333333334,0.5643564356435643,0.7514237552649844
Ribosomal_L18p,.,0.8690476190476191,0.7083333333333334,0.5,0.7499019214768254
mmo,.,0.7023809523809523,0.6979166666666666,0.6732673267326733,0.7476687489491587
IF3,.,0.8035714285714286,0.4166666666666667,0.8514851485148515,0.7465909629802074
UPF0076,.,0.7916666666666666,0.6458333333333334,0.6336633663366337,0.7462633160456463
reductases,.,0.7559523809523809,0.65625,0.6584158415841584,0.7459442913988368
flav,.,0.9226190476190477,0.90625,0.2376237623762376,0.7435300508283862
NADHdh_2,.,0.8095238095238095,0.6770833333333334,0.5792079207920792,0.7431334255918122
Dehydratase_MU,.,0.7976190476190477,0.5885416666666666,0.6782178217821783,0.7422927525360304
fkbp,.,0.8214285714285714,0.4583333333333333,0.7821782178217822,0.7408657639131391
internalin,.,0.9047619047619048,0.8072916666666666,0.3465346534653465,0.7389041934496479
TIR,.,0.8571428571428571,0.6145833333333334,0.5841584158415841,0.7373220036472276
P-II,.,0.8690476190476191,0.2864583333333333,0.8960396039603961,0.7347827399043788
BAG,.,0.8035714285714286,0.24479166666666666,1.0,0.7329203257500312
MutS_D2,.,0.8928571428571429,0.6302083333333334,0.5247524752475248,0.7326013011032216
Lipoprotein_6,.,0.875,0.6510416666666666,0.5198019801980198,0.7314459145445059
Syntaxin,.,0.8869047619047619,0.3177083333333333,0.8316831683168316,0.7258586720814633
Orn_Arg_deC_N,.,0.7916666666666666,0.90625,0.33663366336633666,0.7248369309828974
HGTP_anticodon,.,0.8630952380952381,0.3645833333333333,0.801980198019802,0.7219743314493634
DUF153,.,0.8511904761904762,0.53125,0.6386138613861386,0.7169389154024237
svmp,.,0.8273809523809523,0.5885416666666666,0.6039603960396039,0.7162534435261707
tRNA-synt_1c,.,0.7738095238095238,0.546875,0.698019801980198,0.715563660506042
DeoC,.,0.8095238095238095,0.8177083333333334,0.3910891089108911,0.7153394810245001
DHPS,.,0.8154761904761905,0.734375,0.46534653465346537,0.7135115560211591
response_reg,.,0.9583333333333334,0.484375,0.5643564356435643,0.7087520531822709
Plectin,.,0.8571428571428571,0.7760416666666666,0.3712871287128713,0.7072345305379875
AlaDh_PNT_D1,.,0.9166666666666666,0.7395833333333334,0.3465346534653465,0.7062472785904282
TIG,.,0.7738095238095238,0.5052083333333334,0.7178217821782178,0.7027681854826541
SpoU_methylase_N,.,0.8035714285714286,0.3072916666666667,0.8811881188118812,0.699965941963381
CBM_20,.,0.7261904761904762,0.4114583333333333,0.8465346534653465,0.6953616403040218
Arginosuc_synth,.,0.75,0.6145833333333334,0.6188118811881188,0.6949003479093108
Dehydratase_SU,.,0.8273809523809523,0.3333333333333333,0.8217821782178217,0.6943743883564624
hom,.,0.8809523809523809,0.25,0.8465346534653465,0.6914428105209153
Peripla_BP_2,.,0.8095238095238095,0.75,0.4158415841584158,0.6902012010846836
mmp,.,0.8214285714285714,0.484375,0.6683168316831684,0.6894726177696726
TMV_coat,.,0.875,0.6822916666666666,0.4158415841584158,0.6888949244903148
VHS,.,0.8630952380952381,0.578125,0.5297029702970297,0.6876015813275735
FTR,.,0.8035714285714286,0.484375,0.6782178217821783,0.6848165823838037
myb_DNA-binding,.,0.8333333333333334,0.21875,0.9108910891089109,0.6829498570855804
adh,.,0.5952380952380952,0.7916666666666666,0.5742574257425742,0.6818893156921325
EFTU_2,.,0.8035714285714286,0.640625,0.5148514851485149,0.6806520173997767
Colicin_Pyocin,.,0.8333333333333334,0.3125,0.8118811881188119,0.6798717003582561
GAF,.,0.9285714285714286,0.6302083333333334,0.39603960396039606,0.6781774208150647
START,.,0.7619047619047619,0.6510416666666666,0.5396039603960396,0.6768495885013168
RuBisCO_large_N,.,0.7559523809523809,0.6197916666666666,0.5693069306930693,0.6724608440357478
EF1BD,.,0.8273809523809523,0.328125,0.7871287128712872,0.671046788844484
DNA_ligase_N,.,0.6904761904761905,0.5572916666666666,0.693069306930693,0.6699948697387877
Cucumo_coat,.,0.6964285714285714,0.4322916666666667,0.8118811881188119,0.669856913134762
GAD,.,0.8630952380952381,0.4635416666666667,0.6138613861386139,0.6697965571205007
MSP_domain,.,0.7380952380952381,0.4635416666666667,0.7376237623762376,0.6690722849493655
Arg_repressor_C,.,0.8809523809523809,0.359375,0.698019801980198,0.6685377031087657
AP_endonuc_2,.,0.8273809523809523,0.78125,0.32673267326732675,0.6667916898390649
biotin_lipoyl,.,0.8333333333333334,0.4270833333333333,0.6732673267326733,0.6658087490353815
HTH_AraC_2,.,0.8333333333333334,0.4895833333333333,0.6089108910891089,0.6647223407786786
phosphotriesterase,.,0.8095238095238095,0.8541666666666666,0.26732673267326734,0.6642481149523403
ltb,.,0.8154761904761905,0.4270833333333333,0.6881188118811881,0.6640498023340531
ligase-CoA,.,0.8154761904761905,0.8020833333333334,0.3118811881188119,0.663325530162918
EFG_IV,.,0.8392857142857143,0.5052083333333334,0.5841584158415841,0.6628642377682069
parv,.,0.8928571428571429,0.3385416666666667,0.693069306930693,0.6604155080467499
Pertussis_S2S3_NC,.,0.6964285714285714,0.5,0.7277227722772277,0.6602301288600904
bromodomain,.,0.875,0.4791666666666667,0.5693069306930693,0.6598335036235162
actin,.,0.6369047619047619,0.578125,0.7079207920792079,0.6595274124083341
Alpha_adaptinC12,.,0.6904761904761905,0.59375,0.6386138613861386,0.6594627452501971
RNA_pol_A_bac,.,0.6845238095238095,0.7916666666666666,0.44554455445544555,0.6588160736688264
Terpene_synth_N,.,0.9047619047619048,0.671875,0.3415841584158416,0.6567596580400676
pp-binding,.,0.8333333333333334,0.3125,0.7722772277227723,0.6566949908819307
HPPK,.,0.8452380952380952,0.65625,0.4158415841584158,0.6562380096310954
igI,.,0.7976190476190477,0.3697916666666667,0.7475247524752475,0.6548368878714589
igvar-l,.,0.7619047619047619,0.484375,0.6683168316831684,0.6546385752531719
Mur_ligase,.,0.8273809523809523,0.6458333333333334,0.4405940594059406,0.6541772828584607
cpn10,.,0.7380952380952381,0.3645833333333333,0.806930693069307,0.6517199308492522
trp_syntA,.,0.9047619047619048,0.671875,0.3316831683168317,0.6509654806709864
Glyco_hydro_47,.,0.5535714285714286,0.8229166666666666,0.5297029702970297,0.6497195600908788
MM_CoA_mutase,.,0.9345238095238095,0.515625,0.45544554455445546,0.6493703574369386
gpr,.,0.7380952380952381,0.7604166666666666,0.40594059405940597,0.6487021301361888
RNA_pol_A_CTD,.,0.8273809523809523,0.3020833333333333,0.7722772277227723,0.6471156291898927
UPF0033,.,0.8988095238095238,0.359375,0.6386138613861386,0.644222851649228
Usp,.,0.8571428571428571,0.5,0.5396039603960396,0.6441926736420974
Peptidase_C15,.,0.8392857142857143,0.7395833333333334,0.31683168316831684,0.6435804912117332
Glyco_hydro_20b,.,0.8988095238095238,0.625,0.3712871287128713,0.643226977413917
PyrI_NC,.,0.8214285714285714,0.671875,0.400990099009901,0.6427570627314545
Seedstore_7s,.,0.6726190476190477,0.546875,0.6732673267326733,0.6418603448052871
S_100,.,0.8988095238095238,0.2760416666666667,0.7178217821782178,0.6418086110787774
PAX,.,0.8333333333333334,0.3645833333333333,0.693069306930693,0.6408213591312182
RuBisCO_large,.,0.7202380952380952,0.7552083333333334,0.41089108910891087,0.6381010273455855
tbpc,.,0.8214285714285714,0.5,0.5643564356435643,0.6377776915549
