,benchmark,alignment,threading,modeller,secondary_structure,access_score,sum scores
SNAP-25,.,0.9304104945271375,0.3406573776348693,0.9473753034735822,0.9090909090909091,1.0,1.0
fusion_gly,.,0.9025687241128232,0.35834226509467626,0.9270516091806477,0.921875,1.0,0.9917774587839187
B,.,0.9636057629182233,0.4278313683458367,0.7152732313369982,0.9411764705882353,0.972972972972973,0.9504345871027955
lh2,.,0.9089308521431896,0.45712754555198226,0.7244415141427786,0.9272727272727272,1.0,0.9490001578134285
Ribosomal_S15,.,0.9065077527244947,0.5839585566273653,0.8466412960622514,0.9315068493150684,0.7333333333333333,0.9416472580629348
Syntaxin,.,0.8438652613485802,0.4519471239728461,1.0,0.9466666666666667,0.746268656716418,0.9355139390242567
phc,.,0.8976747794740799,0.6086102179349759,0.8154533625711814,0.9180327868852459,0.74,0.9313430460973285
VPR,.,0.9402401613808086,0.4982136477313321,0.5373389230866984,1.0,1.0,0.9294945052092856
tetR,.,1.0,0.4415862808145756,0.6694214417764465,0.9344262295081968,0.9183673469387755,0.9239227746679944
Bac_DNA_binding,.,0.9262745144848824,0.6370132190067871,0.6388937408076149,0.9545454545454546,0.7931034482758621,0.9174312893473486
protg,.,0.9736443176528164,0.6525544837441929,0.6138823927485152,0.86,0.8444444444444444,0.9149664819062169
lacI,.,0.9765448750850472,0.5573419078242223,0.4808607884049232,0.9473684210526315,0.9565217391304348,0.9029378577489695
RhoGEF,.,0.7696921589457727,0.7833154698106454,0.8469287811788656,0.8933333333333333,0.6190476190476191,0.9000011450536826
mdm2,.,0.904747126299581,0.8922829581993561,0.6921442848298952,0.8,0.6229508196721312,0.8999118531470722
Colicin_Pyocin,.,0.9358654523317855,0.6312968917470515,0.7308479047385568,0.8285714285714286,0.7586206896551724,0.8874023634686247
il8,.,0.9474736502858779,0.6802429439085376,0.49705813661911274,0.875,0.8823529411764706,0.8859737292005004
Sm,.,0.8636618642348138,0.998570918185067,0.5368027396205454,0.782608695652174,0.6923076923076923,0.8821749219882722
COX3,.,0.6075474175489692,0.6366559485530536,0.8931514031020096,0.821917808219178,0.9076923076923077,0.8789284526612882
Ribosomal_L30,.,0.9561574179070628,0.6766702393712025,0.4883166797475539,0.7833333333333333,0.9555555555555556,0.8757077085890052
SAM_PNT,.,0.998836196092006,0.6345123258306521,0.6024117708948845,0.8648648648648649,0.7547169811320755,0.8735280297368119
e3,.,0.9763717965551404,0.47642015005359,0.48518615604530924,0.972972972972973,0.9375,0.8703261483012416
BIR,.,0.9572018573116725,0.8193997856377285,0.5685151662404553,0.8939393939393939,0.5918367346938775,0.8621678897063025
Bcl-2,.,0.8158504124043591,0.7431225437656296,0.7856662116009934,0.8918918918918919,0.5862068965517241,0.8583787379441699
SRP54M,.,0.8850042374398701,0.6071811361200419,0.6937689844718307,0.8360655737704918,0.8,0.858045113222746
SpoU_methylase_N,.,0.9439285245353736,0.8894247945694881,0.5092124002523398,0.8253968253968254,0.6470588235294118,0.8547932825549852
UCR_14kD,.,0.9240065889205867,0.6602357984994637,0.7224512985263687,0.7808219178082192,0.7246376811594203,0.8534606488747739
Rop,.,0.9399178772216717,0.31636298678099256,0.7141880021753746,0.9152542372881356,0.9183673469387755,0.849714312579421
utg,.,0.917960776824188,0.4623079671311176,0.6550909175254134,0.9090909090909091,0.8333333333333334,0.837491170724411
Ribosomal_L12,.,0.9849839454742947,0.6527331189710601,0.4114388207062113,0.7464788732394366,0.9787234042553191,0.8358994254391479
GGL,.,0.955148787853468,0.3738835298320824,0.6080325079412119,0.8333333333333334,1.0,0.8340594390766992
UcrQ,.,0.8941833677500983,0.29528403001071785,0.6802110228790763,0.8955223880597015,1.0,0.8316445287993538
gag_p17,.,0.9074984781025819,0.561450518042157,0.6463957075139343,0.9090909090909091,0.7169811320754716,0.820593439800376
SUI1,.,0.9592549267698772,0.8361914969632025,0.4564981254444079,0.8260869565217391,0.660377358490566,0.8191958503567088
RGS,.,0.8935029900808098,0.6343336906037859,0.6316850329297365,0.9384615384615385,0.625,0.8120284540179716
