,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
mofe,.,0.894427118776835,0.9537772373058016,0.8619189737412875,0.676954732510288,0.39303482587064675,0.8566346820627894,1.0
PGI,.,0.6683638749222792,0.9392341291507453,0.9818802042265518,0.561122244488978,0.4444444444444444,0.8107144632819592,0.920152009244202
DNA_topoisoIV,.,0.7215126042191944,0.8788529309574694,0.7928257034538296,0.597979797979798,0.4918032786885246,0.8566346820627894,0.8972851556016856
ADP_PFK_GK,.,0.873698331024151,0.9750335037474599,0.9288583148656492,0.5720430107526882,0.34759358288770054,0.6274735630753034,0.8921315201710526
ATP-sulfurylase,.,0.8344095918377338,0.7971410135504061,0.7679143406795186,0.6145610278372591,0.4661016949152542,0.758654412959299,0.8624313133559816
Fe_hyd_lg_C,.,0.7083086503767314,0.6873107658708555,0.651644711967568,0.6085790884718498,0.5660377358490566,1.0,0.8565889319935942
ku,.,0.773510822150526,0.6795304511838064,0.8773860866591348,0.5107758620689655,0.6018808777429467,0.758654412959299,0.8496260945986183
Beta_elim_lyase,.,0.852323298589522,0.8456718121804807,0.7432893414902582,0.5419501133786848,0.45454545454545453,0.758654412959299,0.8477925806673341
6PGD,.,0.6106963286447955,0.9856057973891933,0.8628425832862033,0.5571428571428572,0.48559670781893005,0.6274735630753034,0.8246055469827205
ghf33,.,0.7507160097328366,0.6307887030327186,0.5249868017285212,0.7450980392156863,0.5673758865248227,0.8977117175026231,0.8202220903977935
CODH,.,0.6753452758045012,0.9728247381744166,0.559237996786881,0.6067864271457086,0.31746031746031744,0.9687936498860342,0.8146121361956435
ldh,.,0.866310579319191,0.6553084826525137,0.6950855610484561,0.5939226519337016,0.5174418604651163,0.758654412959299,0.8098677284770903
lyase_1,.,0.5328189486774014,0.7832555715491202,0.8630151124297585,0.5594059405940595,0.5314009661835749,0.8107144632819592,0.807754744052177
AFOR,.,0.8426883778768903,1.0,0.5121299768460368,0.5887265135699373,0.4175824175824176,0.6985554954587144,0.8005202777163211
ATP-gua_Ptrans,.,0.6996969504105123,0.662158137688001,0.701209324538381,0.6470588235294118,0.5269461077844312,0.8107144632819592,0.796407041049128
pgk,.,0.6909873345833926,0.8231498486127027,0.7241714332317792,0.6346153846153846,0.4523809523809524,0.6985554954587144,0.7881372159424469
Sec1,.,0.7406355718531066,0.8019308085571075,0.7686816075064473,0.5397489539748954,0.40476190476190477,0.758654412959299,0.7848715121114153
ghf15,.,0.6812887685611755,0.7779321983421882,0.8132904887220797,0.628498727735369,0.3468208092485549,0.758654412959299,0.7821310119919335
GATase_2,.,0.8193158618798866,0.7061597260138016,0.542676522661875,0.6077481840193705,0.4292929292929293,0.8977117175026231,0.7808933173385835
p450,.,0.7378351782313458,0.7605474760510306,0.828901691082484,0.5883905013192612,0.4583333333333333,0.6274735630753034,0.780401346241681
PK,.,0.8816442031362449,0.8424455253884021,0.6757572670763433,0.5432372505543237,0.4272300469483568,0.6274735630753034,0.7791244436306748
cat,.,0.5951815604850751,0.7377897453715251,0.8653855161254523,0.6544276457883369,0.5732758620689655,0.5404763088546395,0.7683215246093109
Bacterial_PQQ,.,0.7465839604028258,0.8767186181565405,0.54441898381053,0.5788423153692615,0.3045977011494253,0.8977117175026231,0.7622156614814071
Gly_radical,.,0.6066181330382803,0.9258078125775502,0.7436929432044233,0.5534979423868313,0.28342245989304815,0.8107144632819592,0.7535323396777484
alk_phosphatase,.,0.8224393778426199,0.7602372561671764,0.45858255811668974,0.589622641509434,0.5180722891566265,0.758654412959299,0.7479512614516409
Sec23_NC,.,0.6231757051165933,0.8455601330222854,0.8344146061009702,0.5843373493975904,0.308,0.6985554954587144,0.74326202778589
lipoxygenase,.,0.3977831849092075,0.8027994242318987,1.0,0.57421875,0.4148936170212766,0.6985554954587144,0.741259566981966
actin,.,0.6448640683061047,0.7531766516106684,0.5791475649668947,0.6276041666666666,0.5212121212121212,0.758654412959299,0.7400180623476069
DNA_photolyase,.,0.686081749952266,0.8509579590013433,0.7891812616634211,0.5227765726681128,0.4027777777777778,0.6274735630753034,0.7381478987505465
Peptidase_M16,.,0.6961866667972212,0.7907753015337297,0.7292759057359303,0.4942263279445728,0.43842364532019706,0.6985554954587144,0.7271533610888794
HMG-CoA_red,.,0.7164601457967168,0.6989253983223394,0.2452904167151771,0.6839378238341969,0.5664739884393064,0.9348704159880585,0.7266399732471277
AMP-binding,.,0.8618651992342979,0.941641435449446,0.8664464077376862,0.5896907216494846,0.31155778894472363,0.27023815442731974,0.7250780247752457
Amidase,.,0.8649691320248509,0.8692237057626501,0.146947277956609,0.7050359712230215,0.48936170212765956,0.758654412959299,0.7225727075388705
aldedh,.,0.6279001454050533,0.8547178239936501,0.3599116206036482,0.5825688073394495,0.43434343434343436,0.9687936498860342,0.7205135887528666
phosfruc,.,0.6713796834380218,0.6424529706656172,0.5471328574057785,0.5467836257309941,0.5,0.8977117175026231,0.712640857090958
alpha-amylase,.,1.0,0.6785873827368909,0.6997035331355325,0.7659033078880407,0.36538461538461536,0.27023815442731974,0.7037762886703958
Glyco_transf_28,.,0.7736968622862375,0.6567106765275319,0.5101115144501951,0.6565934065934066,0.4233128834355828,0.758654412959299,0.7035214405169471
ATP-synt,.,0.7831457428631577,0.6938502010224952,0.6292566541005671,0.5883838383838383,0.5333333333333333,0.5404763088546395,0.6998455914373017
thymid_phosphorylase,.,0.7176106571623004,0.7697299846131038,0.6259487235594691,0.5852417302798982,0.41509433962264153,0.6274735630753034,0.6903922543472232
urease,.,0.6141478627415462,0.9266019754802203,0.7067967803157332,0.5825242718446602,0.36764705882352944,0.5404763088546395,0.689388143907695
PEPCK_ATP,.,0.705997836059474,0.8810989229165566,0.9892983522994057,0.5714285714285714,0.3170731707317073,0.27023815442731974,0.6883306224795027
AP_endonucleas1,.,0.5856837219777046,0.5332431627537686,0.6557986101571068,0.5655430711610487,0.6048387096774194,0.758654412959299,0.6774854953525339
fbpase,.,0.6302305428944907,0.6575917009976754,0.6581926127536288,0.608955223880597,0.48484848484848486,0.6274735630753034,0.6648786999159907
WD40,.,0.7226533239986879,0.6071871742691298,0.5234898220947318,0.6413373860182371,0.5241379310344828,0.6274735630753034,0.6576149522153295
Fe-ADH,.,0.6654117117161225,0.7585496599990127,0.541905398322311,0.5271739130434783,0.4527027027027027,0.6985554954587144,0.6569303955741242
chorismate_bind,.,0.7881149728038697,0.6950042189904289,0.5369602940362533,0.5534441805225653,0.4028436018957346,0.6274735630753034,0.6429448592589861
RNA_dep_RNA_pol,.,0.6762167269665177,0.7769891298952742,0.6561576235634571,0.5575620767494357,0.39408866995073893,0.5404763088546395,0.6421324093027335
oxidored_q6,.,0.6361201819276696,0.44667940636323905,0.4668420221315711,0.6630824372759857,0.6212121212121212,0.758654412959299,0.6390558736896073
