,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
bv,.,1.0,0.6995193734053301,0.5670950004544221,0.6789473684210526,0.4148936170212766,,
int,.,0.9526206758291939,0.8553076603572086,0.678404313892318,0.5947368421052631,0.40476190476190477,,
DNA_polymeraseX,.,0.9509611743478938,0.7528036551355836,0.7652981390092133,0.6312849162011173,0.62,,
Rhodanese,.,0.9480709687479116,0.4814869756126477,0.2843624713367298,0.7703703703703704,0.7432432432432432,,
Isochorismatase,.,0.940274653063952,0.9145552720583874,0.5438731231812699,0.5076142131979695,0.4090909090909091,,
laminin_G,.,0.9389771233822644,0.7274669198362332,0.5658368730247203,0.6810810810810811,0.7674418604651163,,
blmb,.,0.9361815873298732,0.8846496172788241,0.7519596766428505,0.5699481865284974,0.4044943820224719,,
cryst,.,0.9322722918940591,0.5968373583338301,0.47575777865613217,0.632183908045977,0.6373626373626373,,
hexapep,.,0.9284019780366649,0.5567258054945723,0.46142416366279176,0.6125,0.5540540540540541,,
lipocalin,.,0.9234011984050966,0.7177950513261752,0.579131422503255,0.639751552795031,0.6538461538461539,,
hemopexin,.,0.9209175149800636,0.6923989794101946,0.5555580101932115,0.6378378378378379,0.48,,
Astacin,Superfamily,0.9133717951573741,0.7476413694891142,0.68296951471944,0.6102564102564103,0.3793103448275862,,
Histidine_kinase,.,0.9132826944067004,0.5048656025633395,0.4865550145737104,0.6708074534161491,0.7714285714285715,,
tRNA-synt_1_edit,.,0.9075078520036531,0.8612116537115061,0.4259772631262703,0.6414141414141414,0.6091954022988506,,
dhfr,.,0.8981299979952331,0.6258529638640007,0.6002930276853314,0.51875,0.43820224719101125,,
PBP,.,0.89788497093088,0.6061235388358172,0.26012856821869784,0.6071428571428571,0.5584415584415584,,
intb,.,0.8971331833470697,0.5005340295496342,0.5087454801628578,0.6984126984126984,0.4918032786885246,,
cyclo,.,0.8967767803443744,0.7838663739393635,0.642266481175304,0.6342857142857142,0.4588235294117647,,
pilin,.,0.8946829127035395,0.34118554560018816,0.330394832477479,0.6492537313432836,0.8048780487804879,,
sh2,.,0.8930345488160736,0.4012638699341338,0.34665931956893337,0.6190476190476191,0.8360655737704918,,
GAF,.,0.8899939856993294,0.5426630273541798,0.6246112195814525,0.6793893129770993,0.5405405405405406,,
eIF6,.,0.8861682222172722,0.8835222215629228,0.6834848726600423,0.5751295336787565,0.4625,,
dCMP_cyt_deam,.,0.8856280489163121,0.5958583041594949,0.3204498003671703,0.6412213740458015,0.9154929577464789,,
DAP_epimerase,.,0.8825763482057336,0.538539132498663,0.43152122655885666,0.6884057971014492,0.5,,
MurB_C,.,0.8823591651259662,0.6042247671037789,0.52820631136724,0.6344827586206897,0.6352941176470588,,
Flavin_Reduct,.,0.8811284610072839,0.6940307363674124,0.5922742869713694,0.6455696202531646,0.7023809523809523,,
TPK_B1_binding,.,0.8791125565232886,0.2751142229870033,0.01658577886636126,0.6888888888888889,0.7450980392156863,,
Fimbrial,.,0.876344864455483,0.6227377914911293,0.37515507282110233,0.5769230769230769,0.6219512195121951,,
VAT-N,.,0.8742899783930679,0.6482228683320498,0.4057088368052468,0.6666666666666666,0.6020408163265306,,
Hint,.,0.8742231528300626,0.6375126090310338,0.27014352851041584,0.6549295774647887,0.5135135135135135,,
biotin_lipoyl,.,0.8717895885772836,0.22586483118732467,0.07678971992337916,0.6,0.8863636363636364,,
PH,.,0.8716503686543559,0.359164540437902,0.39028045341738204,0.87,0.8421052631578947,,
CBM_20,.,0.8708930122736283,0.3611819854031897,0.23856434447748975,0.5408163265306123,0.6181818181818182,,
Amidase_2,.,0.8707983427260374,0.5511481635317133,0.508235263431834,0.6575342465753424,0.855072463768116,,
proteasome,.,0.8695676386073551,0.6561739749599499,0.6344992345178646,0.543010752688172,0.45689655172413796,,
Recep_L_domain,.,0.8693727307152563,0.496736486085562,0.4138221293885992,0.5683453237410072,0.6911764705882353,,
B_lectin,.,0.8689049517742187,0.36670029074941873,0.2137615549228872,0.6574074074074074,0.78125,,
Hpr_kinase,.,0.8678023299846301,0.6613065922981056,0.24583525180419613,0.618421052631579,0.6973684210526315,,
cah,.,0.8664435435368543,0.5591882750845538,0.3796487799105148,0.5536723163841808,0.3761467889908257,,
Ribosomal_S30AE,.,0.866382286770766,0.35768112502224947,0.20818498539797425,0.5784313725490197,0.6615384615384615,,
ghf6,.,0.866332167598512,0.7817005874325046,0.04563077662188987,0.46938775510204084,0.3118279569892473,,
Amino_oxidase_D2,.,0.8657251687345464,0.42051860202931013,0.40893133150674466,0.5535714285714286,0.8125,,
TNF,.,0.8638150713919764,0.5183943511540985,0.3547494380534716,0.678082191780822,0.7368421052631579,,
PARP,.,0.8615485710467109,0.5482703376253474,0.06671146936064502,0.4764705882352941,0.51,,
MoCF_biosynth,.,0.860718820306061,0.6164481101287616,0.6354374086266569,0.5416666666666666,0.5769230769230769,,
Cys-protease-3C,.,0.8600784086605929,0.682074408117252,0.45953517502767227,0.6242424242424243,0.6578947368421053,,
MIF,.,0.8585247143207182,0.4740402302260691,0.45257069152298474,0.5043478260869565,0.873015873015873,,
SCP2,.,0.8563918651014634,0.5222808995431069,0.3956436627447887,0.6260162601626016,0.8484848484848485,,
Cytidylyl_trans,.,0.855834985409752,0.7834806859312907,0.8021324703291204,0.5685279187817259,0.3893805309734513,,
OMPdecase,.,0.8556456463145701,0.9127158369429748,0.8347363979358836,0.5606060606060606,0.5625,,
DUF101,.,0.8523879001180584,0.5490713819497992,0.5141850345197192,0.6268656716417911,0.5205479452054794,,
CBD_6,.,0.8506170226984161,0.4716074289444016,0.28181755326753366,0.6381578947368421,0.8095238095238095,,
adeno_fiber,.,0.8502383445080525,0.5538479795882046,0.5426021233997665,0.5217391304347826,0.4845360824742268,,
RuBisCO_small,.,0.8501715189450471,0.42238770545303267,0.4313084655248726,0.6178861788617886,0.8888888888888888,,
mutT,.,0.8497204463947607,0.43823058209220794,0.21952458993429733,0.6413793103448275,0.5287356321839081,,
msb,.,0.8485231550575812,0.4856108704681639,0.3711459923819547,0.75,0.7580645161290323,,
CASc,.,0.8478604682244448,0.6829051207500161,0.46132369746960056,0.6243093922651933,0.3333333333333333,,
ISP,.,0.8466186265119283,0.4805969263632574,0.43079473112413724,0.5365853658536586,0.7761194029850746,,
SIS,.,0.8455438487069252,0.8568207440811744,0.7228699397336686,0.5561497326203209,0.6896551724137931,,
HIT,.,0.8448366114984519,0.4317628908799596,0.245088752038974,0.4830508474576271,0.6567164179104478,,
cat3,.,0.8408270777181296,0.6640064083545969,0.4781559016623642,0.6217616580310881,0.6564885496183206,,
Frataxin_Cyay,.,0.8398970886329717,0.5639352044146441,0.13430348441275372,0.6834532374100719,0.4861111111111111,,
MMOB,.,0.839718887131624,0.29463596985699714,0.07196153825357816,0.5638297872340425,0.9649122807017544,,
Cu_nir,.,0.8395963735994476,0.7355663680056999,0.5225788902543536,0.5252525252525253,0.43636363636363634,,
DHHA2,.,0.8395740984117792,0.5752981664985457,0.5146615821263607,0.6446280991735537,0.847457627118644,,
PAN,.,0.8389838059385649,0.3197946953064712,0.33411202364198755,0.5869565217391305,0.8163265306122449,,
RNA_pol_A_bac,.,0.8357037845543848,0.7023675310033849,0.5256228342262054,0.6262626262626263,0.5478260869565217,,
Binary_toxA,.,0.834539905998708,0.8068889811902934,0.8137217617674714,0.5497076023391813,0.494949494949495,,
Desulfoferrodox,.,0.8342169157775153,0.4162166973239151,0.44142872397367144,0.6333333333333333,0.7205882352941176,,
DNA_PPF,.,0.8340220078854164,0.35880852073814495,0.4309908702023412,0.6727272727272727,0.890625,,
GEL,.,0.8337881184148976,0.5010087224826425,0.5087090278272752,0.6,0.8115942028985508,,
KSI,.,0.8335486601474617,0.475345635791845,0.39562607439623076,0.44642857142857145,0.6417910447761194,,
PDZ,.,0.8325741206869668,0.2941019403073618,0.2838149905001899,0.632183908045977,0.7058823529411765,,
Ribosomal_L5_NC,.,0.8322455616688569,0.6713344805079218,0.5531336786148425,0.5163398692810458,0.5795454545454546,,
Dala_Dala_ligas_C,.,0.8318835898692445,0.7347356553729313,0.5956580146439334,0.5380434782608695,0.5142857142857142,,
Sua5_yciO_yrdC,.,0.8307921056734902,0.71367115647066,0.6492939734891112,0.5086705202312138,0.4418604651162791,,
ACPS,.,0.8289822466754282,0.31774758203287073,0.31341908030148496,0.5408163265306123,0.6617647058823529,,
Me-amine-deh_L,.,0.8262591049829594,0.33931644217646506,0.1520310708421039,0.576271186440678,0.5652173913043478,,
START,.,0.8248223553783441,0.6100397555331392,0.5642973706738033,0.521978021978022,0.6666666666666666,,
LysR_substrate,.,0.8242264941082127,0.7664214086512808,0.7311115692779271,0.5459183673469388,0.5319148936170213,,
CUB,.,0.8233020738199718,0.34872129591170486,0.3041732333659921,0.5779816513761468,0.7704918032786885,,
HSP20,.,0.8232686610384692,0.3869340770189255,0.4659074143823473,0.6956521739130435,0.9178082191780822,,
Phage_integrase,.,0.8219934065444501,0.6532071441286396,0.6688757584135762,0.6707317073170732,0.5806451612903226,,
Plectin,.,0.8212861693359765,0.8469708657212394,0.6538920316706821,0.6345177664974619,0.49122807017543857,,
TIMP,.,0.8196099614639253,0.6911825787693593,0.10993396739619803,0.6348314606741573,0.6509433962264151,,
TNFR_c6,.,0.8195542734947541,0.21901145196700808,0.06414655722886949,0.6888888888888889,0.8032786885245902,,
Ribosomal_L14,.,0.8194540351502461,0.45241203346584974,0.36611723226712617,0.5967741935483871,0.7101449275362319,,
IF4E,.,0.8182066246408125,0.7142348543286043,0.7291155429787267,0.6432748538011696,0.41304347826086957,,
subt,.,0.8175383690107588,0.7535453628434133,0.14812379988210878,0.58,0.34375,,
Peptidase_S21,.,0.8170705900697213,0.8228801993710331,0.6900692545573235,0.634020618556701,0.5445544554455446,,
ATP-synt_DE_N,.,0.8161071882030605,0.29953124072865256,0.3550393172311326,0.5054945054945055,0.6346153846153846,,
ghf33,.,0.814269485220413,0.7099626179315284,0.5454087599610754,0.581151832460733,0.36633663366336633,,
rnasemam,.,0.813835119060878,0.4887260428410354,0.4240917535051513,0.5,0.6515151515151515,,
pot,.,0.8135845231996078,0.13757194564765843,0.15302113057914193,0.6470588235294118,0.8863636363636364,,
hip,.,0.8134842848550999,0.29706877113866764,0.20904959768851217,0.5121951219512195,0.9555555555555556,,
SRP19,.,0.8119862784843962,0.3774995549753733,0.3071574349363137,0.7755102040816326,0.7361111111111112,,
SUI1,.,0.8111453901499119,0.32365157538716927,0.3188034922864389,0.5108695652173914,0.6727272727272727,,
Mur_ligase,.,0.809975942797318,0.8519551415178312,0.8200027736439118,0.533678756476684,0.3884297520661157,,
PA_phosphatase,.,0.8095749894192857,0.6729365691568312,0.5966728816835803,0.5223880597014925,0.308411214953271,,
LMWPc,.,0.8085670371772882,0.7282679641606833,0.5979455436606618,0.6363636363636364,0.7162162162162162,,
Ribosomal_S8,.,0.8080435702670795,0.5405269091556395,0.2934775266736607,0.6293706293706294,0.6081081081081081,,
UreE,.,0.807380883433943,0.4112324215273224,0.42529653605351253,0.5161290322580645,0.5,,
DUF50,.,0.8062504176597688,0.45039458850056135,0.41599860054729043,0.7264957264957265,0.6142857142857143,,
toxin,.,0.8060722161584211,0.07900670503767826,0.22982933276439857,0.639344262295082,0.92,,
TIL,.,0.8058327578909852,0.12641666172194788,0.10525512844232188,0.75,0.85,,
Extradiol_dioxy,.,0.8052758781992737,0.721177238473863,0.5273790018379293,0.5230769230769231,0.36792452830188677,,
cytc,.,0.8049807319626667,0.3651872070254532,0.3187979451918937,0.7019230769230769,0.8571428571428571,,
Jacalin,.,0.80489720000891,0.4755829822583491,0.43062959392624844,0.5488721804511278,0.8656716417910447,,
WD40,.,0.8048136680551533,0.8420755948495827,0.5457545352970106,0.4925373134328358,0.5360824742268041,,
PTS_EIIA_2,.,0.8044684026462922,0.6073992760932728,0.4801738070940565,0.5571428571428572,0.6142857142857143,,
SCP,.,0.8041732564096852,0.5427520322791197,0.5474723177875961,0.753731343283582,0.6805555555555556,,
Dwarfin,.,0.8037277526563161,0.6745979944223576,0.5070916342184587,0.5388888888888889,0.4845360824742268,,
UPP_synthetase,.,0.8034994319827145,0.9475167625941939,0.8258299674718472,0.576530612244898,0.5,,
SRF-TF,.,0.8029871026663399,0.31733222571648695,0.23862501461608676,0.5955056179775281,0.7878787878787878,,
avi,.,0.802641837257479,0.4419687889396522,0.40043113391082935,0.6218487394957983,0.6756756756756757,,
Ribosomal_L6_D,.,0.8010881429176041,0.2966534148222857,0.2999984552211445,0.68,0.8125,,
KH,.,0.8010157485576817,0.2678158191419913,0.22010919958136443,0.7349397590361446,0.6481481481481481,,
L15,.,0.8009879045730959,0.38358155817954964,0.2829604286945422,0.7101449275362319,0.7916666666666666,,
