,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
Peptidase_C15,.,0.9546182107253351,0.8243012118842896,0.8123828610530425,0.57847533632287,0.5242718446601942,0.792481250360578,1.0
pgk,.,0.7661084135441731,1.0,1.0,0.5126050420168067,0.4017857142857143,0.75,0.9823953169427553
blmb,.,0.961939240288759,0.7109558248631805,0.6931602826593788,0.7681159420289855,0.4827586206896552,0.792481250360578,0.9757696257731842
bv,.,0.9442516758336197,0.606504104769358,0.5854233781356848,0.6907216494845361,0.8478260869565217,0.646240625180289,0.9479813101817903
OMPdecase,Superfamily,0.9689165091096597,0.849809421422984,0.7077933041415904,0.6367713004484304,0.4392523364485981,0.701838730514401,0.942770141480277
fbpase,.,0.8053293657614299,0.7918295543393342,0.7470680939874549,0.4672489082969432,0.5677966101694916,0.8962406251802891,0.9336998970009862
Endonuclease_3,.,0.7590452045376418,0.8451426896012527,0.8639970625832432,0.43333333333333335,0.5,0.8648579046593242,0.9308291330836741
SIS,.,0.8706868769336541,0.7398358092259627,0.663824072717502,0.5970149253731343,0.6666666666666666,0.701838730514401,0.922500172385647
gluts,.,0.8112860948779649,0.8772967161845155,0.8247476886703087,0.5181818181818182,0.5446428571428571,0.646240625180289,0.9170108294246316
Bacteriofer,.,0.7074542368511516,0.7524433150899178,0.7777902561298955,0.6,0.6741573033707865,0.701838730514401,0.914273598746473
ech,.,0.7471210037813681,0.9134089132134505,0.591550304449622,0.5504201680672269,0.5757575757575758,0.8304820237218405,0.9127202779468464
SRP54,.,0.9530766586455826,0.8501514855355777,0.8214154935907193,0.602803738317757,0.4752475247524752,0.5,0.9108209574727704
Glyco_transf_28,.,0.8477623324166379,0.9203479280688079,0.7291212624089136,0.47478991596638653,0.43548387096774194,0.792481250360578,0.9099700175482672
TyrKc,.,0.7681602354761086,0.817801993745116,0.8291560941136319,0.5818965517241379,0.3939393939393939,0.792481250360578,0.9047698070730538
Topoisom_bac,.,0.7693902543829495,0.8738272087568396,0.7777535811762095,0.49137931034482757,0.5193798449612403,0.75,0.9042340086510424
Binary_toxA,.,0.7787845909247164,0.7005961688819453,0.8250932978517408,0.6387434554973822,0.5769230769230769,0.646240625180289,0.8994114751265788
RRF,.,0.7582341440357512,0.7436962470680254,0.7490321042663233,0.6275510204081632,0.6759259259259259,0.5804820237218407,0.8895270622785199
annexin,.,0.5554475335166723,0.8993109851446447,0.9287867412251373,0.5294117647058824,0.4580152671755725,0.75,0.885144338574183
aakinase,.,0.8999495101409418,0.8390344018764672,0.8184035392660487,0.47863247863247865,0.43609022556390975,0.646240625180289,0.8843206798288825
Heme_oxygenase,.,0.6921622550704709,0.7601153244722461,0.7676834084979858,0.5076923076923077,0.4824561403508772,0.8962406251802891,0.8805501455553238
COX3,.,0.4772580783774493,0.8675723221266642,0.9083260601009379,0.5859030837004405,0.6075949367088608,0.646240625180289,0.8763227015525953
Haloperoxidase,.,0.8844534204193881,0.7516125879593472,0.6737979023826748,0.5806451612903226,0.37168141592920356,0.8304820237218405,0.8762527640652674
Peptidase_S21,.,0.9115675489859056,0.758160672400318,0.6809653617414104,0.6318181818181818,0.46296296296296297,0.646240625180289,0.875952032147526
Dwarfin,.,0.8286513836369886,0.5883014073494964,0.6421905531780178,0.5112359550561798,0.6896551724137931,0.8304820237218405,0.8755753602146766
Rhodanese,.,0.8976344963905121,0.4092552775605947,0.5262244921421536,0.7058823529411765,0.8493150684931506,0.701838730514401,0.8754603415216381
Plectin,.,0.8439379941560674,0.7672498045347963,0.7279560250202995,0.5023474178403756,0.5948275862068966,0.646240625180289,0.8730753183287047
Flavin_Reduct,.,0.8842331986937091,0.5392152071931237,0.638363079951209,0.6729559748427673,0.8117647058823529,0.5,0.861755820423594
ldh,.,0.7782635785493296,0.7412284988272143,0.5723649805879281,0.5251141552511416,0.4262295081967213,1.0,0.8607091058303087
Spermine_synth,.,0.8455708576830526,0.8179241594996123,0.618839914207212,0.459915611814346,0.45,0.8304820237218405,0.8542781681956058
PTS_EIIA_2,.,0.8112108972155381,0.5473025801407381,0.6291361224160548,0.503448275862069,0.8787878787878788,0.646240625180289,0.8522025546512062
DUF28,.,0.8344684599518735,0.8206362392494132,0.7183164980093861,0.518348623853211,0.5433070866141733,0.5804820237218407,0.8520242667647853
Ala_racemase_N,.,1.0,0.7784646207974999,0.7554753995622189,0.5190476190476191,0.46236559139784944,0.5,0.8519596372107681
DNA_ligase_N,.,0.7839893434169818,0.6717406176700599,0.747927437558991,0.48878923766816146,0.5299145299145299,0.792481250360578,0.8517991432899563
sugbp,.,0.8654176693021657,0.881206020328383,0.6652547997157976,0.5067873303167421,0.5130434782608696,0.5804820237218407,0.8509661895296756
Ribosomal_L4,.,0.9337293743554487,0.5923573103987514,0.5097345873507134,0.8387096774193549,0.5510204081632653,0.5804820237218407,0.8490314117926192
hormone_rec,.,0.6824993554486077,0.7846950742767834,0.8210119265809233,0.6575342465753424,0.5575221238938053,0.5,0.8481608932917968
cat3,.,0.7686329064970779,0.6029857310398772,0.34717594899293047,0.5863636363636363,0.743801652892562,0.9518387305144009,0.8473866854798711
DNA_PPF,.,0.8082943021656926,0.28765148553557496,0.5298408943596011,0.7181818181818181,0.90625,0.75,0.8472044205921541
RhoGEF,.,0.6362903918872465,0.8721168881939036,0.8823951101075223,0.5406698564593302,0.48672566371681414,0.5804820237218407,0.8467210148702106
GAF,.,0.8574091182536955,0.49445367474589674,0.6584696719985969,0.6397058823529411,0.6428571428571429,0.701838730514401,0.8454813019012073
dhfr,.,0.883019293571674,0.5635017591868694,0.7173483172372093,0.5819209039548022,0.4431818181818182,0.792481250360578,0.8413085515105105
ribonuclease_T2,.,0.7444085166723959,0.6895035183737317,0.7443140044925868,0.5957446808510638,0.5578947368421052,0.646240625180289,0.8402568679871593
EF_TS,.,0.8172428239944998,0.5075254104769352,0.667483373229222,0.7443609022556391,0.5357142857142857,0.701838730514401,0.8390187753511037
phoslip,.,0.733440400481265,0.4619331508991412,0.5577782066023658,0.6585365853658537,0.90625,0.646240625180289,0.8358810752954092
eIF6,.,0.924098702303197,0.8006010555121211,0.5552179907940166,0.5687203791469194,0.4111111111111111,0.701838730514401,0.835067003174835
LMWPc,.,0.8467793915434857,0.5991252931978145,0.6130162926106429,0.6103896103896104,0.5897435897435898,0.701838730514401,0.8348486202031626
ADP_PFK_GK,.,0.6545902801650051,0.869942337763881,0.7243562738019024,0.5087719298245614,0.4098360655737705,0.792481250360578,0.8345612063035446
Peptidase_M24,.,0.7663716053626676,0.7764122361219712,0.7020848380990821,0.4818181818181818,0.3333333333333333,0.8962406251802891,0.8333932535453257
cryst,.,0.8909419044345136,0.45015637216575766,0.5975396521808201,0.5738636363636364,0.6091954022988506,0.8304820237218405,0.8321107741627766
Flavoprotein,.,0.8381853729804056,0.640319585613765,0.7158814141026029,0.572289156626506,0.6049382716049383,0.5804820237218407,0.8320846438795633
PH,.,0.8407796923341354,0.29955043002345616,0.5404715714951619,0.85,0.8333333333333334,0.5804820237218407,0.8297348703544536
SCP2,.,0.8456943966998969,0.4055170054730279,0.4707631140988213,0.5555555555555556,0.8333333333333334,0.8304820237218405,0.8287069517297376
transcript_fac2,.,0.7530616191130972,0.6747214620797556,0.7377396864994554,0.5406976744186046,0.5806451612903226,0.646240625180289,0.8261182579942675
formyl_transf,.,0.8866126675833619,0.6252931978107952,0.7105499589829598,0.6271186440677966,0.5,0.5804820237218407,0.825160054131832
GroEL,.,0.7106071674114816,0.922962275215012,0.8007758082884255,0.4595744680851064,0.3776223776223776,0.646240625180289,0.8213037293319146
MoCF_biosynth,.,0.9139309040907528,0.5545103596559852,0.6266339119424861,0.6052631578947368,0.569620253164557,0.646240625180289,0.8208062026374722
Ribosomal_L1,.,0.8392757390855964,0.6675869820172038,0.6518632396677819,0.5952380952380952,0.5803571428571429,0.5804820237218407,0.8203675934605851
Pep_deformylase,.,0.7831997679614988,0.5103352228303377,0.5529202716910974,0.5886075949367089,0.6785714285714286,0.792481250360578,0.8176379888735604
MutS_D2,.,0.8823586283946373,0.47871872556685124,0.578340242666577,0.6490066225165563,0.6707317073170732,0.646240625180289,0.8174120893753294
Phage_integrase,.,0.8488312134754211,0.4707290852228313,0.6822223102674478,0.6518987341772152,0.5959595959595959,0.646240625180289,0.8144225531011657
lipocalin,.,0.8872249914059814,0.4915461297889017,0.5622302704426286,0.6797385620915033,0.525,0.75,0.8143780601479579
Dala_Dala_ligas_C,.,0.9424845307665864,0.5951426896012553,0.5441195892329177,0.5360824742268041,0.5754716981132075,0.701838730514401,0.8141894689293188
PK,.,0.6007218975592987,0.8353205629397954,0.6717858156101144,0.5234042553191489,0.42962962962962964,0.8304820237218405,0.8129969431553266
GTP_cyclohydroI,.,0.7136365589549672,0.5903049257232257,0.6658582737270323,0.5595854922279793,0.6111111111111112,0.75,0.8127305636402463
RNA_pol_A_bac,.,0.8225496304572018,0.6661209929632583,0.7945737505764904,0.5,0.5213675213675214,0.5804820237218407,0.8110331574655968
aminotran_4,.,0.8642628480577518,0.7039190774042277,0.7839828125584922,0.5648148148148148,0.46774193548387094,0.5,0.8109161425662602
DMRL_synthase,.,0.8289038329322791,0.5939698983580949,0.6259868032875201,0.5935483870967742,0.5930232558139535,0.646240625180289,0.8099582688460039
CoA_trans,.,0.9770432279133723,0.7317240031274466,0.5208651270027043,0.5663716814159292,0.43859649122807015,0.646240625180289,0.8096969717800881
Clp_N,.,0.8649557408044,0.5650166145426148,0.6057151264421285,0.48226950354609927,0.654320987654321,0.701838730514401,0.8075842002642956
Fapy_DNA_glyco,.,0.8012310931591612,0.752443315089917,0.8559208767328204,0.4327731092436975,0.44360902255639095,0.5804820237218407,0.805178346779096
arginase,.,0.8313101581299416,0.6524384284597363,0.7178449493173042,0.4293193717277487,0.30851063829787234,0.925109929535273,0.8045732232912347
Pro_CA,.,0.7720705139223101,0.5594702892885094,0.7146489076279533,0.5625,0.6666666666666666,0.5804820237218407,0.80184129744966
