,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
Syntaxin,.,0.8390130723996131,1.0,1.0,0.9466666666666667,0.6721311475409836,0.8842282173954805,1.0
BAG,.,0.7685004420761558,0.800353958205705,0.8115801737481385,0.9253731343283582,0.6607142857142857,0.8842282173954805,0.8638008627007219
gag_p17,.,0.9022804008948334,0.7414063031788175,0.6463957075139343,0.9090909090909091,0.6875,0.8842282173954805,0.8416645583876573
Dehydratase_SU,.,0.8444663339722174,0.7722415084065083,0.624240517514369,0.8933333333333333,0.6607142857142857,0.8368288369533894,0.8031085684861042
Bcl-2,.,0.8111593076315992,0.766591790892383,0.7856662116009934,0.8918918918918919,0.4897959183673469,0.8842282173954805,0.8024178604832596
SNAP-25,.,0.925060674210642,0.8445987339187255,0.9473753034735822,0.9090909090909091,1.0,0.0,0.801528590836765
fusion_gly,.,0.8973789927784337,0.8789735212034576,0.9270516091806477,0.921875,1.0,0.0,0.8012939178465066
tetR,.,0.994250043020834,0.5880471036689139,0.6694214417764465,0.9344262295081968,0.8723404255319149,0.5578858913022596,0.7988243722343031
COX3,.,0.6040540460352593,0.8407868763188353,0.8931514031020096,0.821917808219178,0.8214285714285714,0.5578858913022596,0.7774371759518242
UcrQ,.,0.8890418518540495,0.5298482063848616,0.6802110228790763,0.8955223880597015,0.9545454545454546,0.5578858913022596,0.7685188052380992
EF_TS,.,0.8911899265975565,0.6757198284664084,0.5826204871475031,0.8493150684931506,0.5166666666666667,0.9266284080291267,0.7505226945025499
Ribosomal_S15,.,0.9012953721450484,0.7817711524062356,0.8466412960622514,0.9315068493150684,0.6851851851851852,0.2789429456511298,0.7458659302833088
SRP54M,.,0.8799155011482113,0.6729970730379146,0.6937689844718307,0.8360655737704918,0.6888888888888889,0.5578858913022596,0.7193016775616297
Rop,.,0.9345133898636981,0.8200939350622838,0.7141880021753746,0.9152542372881356,0.9090909090909091,0.0,0.7092157165318567
L15,.,0.8925606593758716,0.4250221223878574,0.46765786721543223,0.7866666666666666,0.8269230769230769,0.8842282173954805,0.7064207396168153
RNA_pol_K,.,0.895308058840633,0.4009938057314005,0.5325080126686671,0.896551724137931,0.7021276595744681,0.8368288369533894,0.7012253411178512
Elicitin,.,0.8583220094586496,0.608740044925465,0.6560264303377802,0.9090909090909091,0.6382978723404256,0.5578858913022596,0.6912576175533943
Ribosomal_L12,.,0.9793203301626483,0.7352801034647067,0.4114388207062113,0.7464788732394366,0.9047619047619048,0.44211410869774026,0.6887711532392681
Skp1,.,0.8677747251117057,0.6800081682662867,0.6845644015966428,0.7972972972972973,0.6181818181818182,0.5578858913022596,0.6849781615098365
parv,.,0.9368928870243232,0.5543530052413054,0.6776935701915721,0.7466666666666667,0.5636363636363636,0.7210570543488701,0.6834775932606371
lacI,.,0.9709297840650831,0.5548294874412917,0.4808607884049232,0.9473684210526315,0.95,0.2789429456511298,0.67866266041004
Colicin_Pyocin,.,0.9304842662425901,0.7681573752637675,0.7308479047385568,0.8285714285714286,0.6415094339622641,0.2789429456511298,0.6774378461931699
Ribosomal_L30,.,0.9506595538887868,0.6137090735824653,0.4883166797475539,0.7833333333333333,0.8974358974358975,0.44211410869774026,0.6766214901541464
protg,.,0.9680459047133033,0.3187665917908924,0.6138823927485152,0.86,0.7380952380952381,0.647685462377997,0.6685560742256791
B,.,0.958065071236567,0.5853924171261328,0.7152732313369982,0.9411764705882353,0.9411764705882353,0.0,0.6670612794748148
phc,.,0.8925131881108216,0.6731332108093389,0.8154533625711814,0.9180327868852459,0.5625,0.2789429456511298,0.6669204012921103
RhoGEF,.,0.7652664621446331,0.8253352392621331,0.8469287811788656,0.8933333333333333,0.5254237288135594,0.2789429456511298,0.6654386155317461
il8,.,0.9420257175578407,0.4318970798448034,0.49705813661911274,0.875,0.8297872340425532,0.5578858913022596,0.6650015843922242
BIR,.,0.9516979878117526,0.5438023279558922,0.5685151662404553,0.8939393939393939,0.45454545454545453,0.7210570543488701,0.6649747834873596
Band_41_M,.,0.8979723835915573,0.7026751072084965,0.6906844218023476,0.8028169014084507,0.4807692307692308,0.5578858913022596,0.6647659062409996
HMG_box,.,0.962521436243124,0.44469403035872346,0.592311776780069,0.9402985074626866,0.7454545454545455,0.44211410869774026,0.6632662316539533
NusB,.,0.8551236329759143,0.7666598597780956,0.6051369057117701,0.8840579710144928,0.5581395348837209,0.44211410869774026,0.6587855607661908
Arch_histone,.,0.9261347115823952,0.5859369682118324,0.6373398120096578,0.8888888888888888,0.7843137254901961,0.2789429456511298,0.656103388641742
WD40,.,0.5872788877482599,0.588047103668915,0.45365268590930485,0.7733333333333333,0.7619047619047619,0.9266284080291267,0.6531337558167938
zf-TAZ,.,0.8580431157764815,0.7262950105506774,0.633263857287106,0.875,0.5555555555555556,0.44211410869774026,0.6529747563692174
lh2,.,0.9037045388463295,0.5344088217275889,0.7244415141427786,0.9272727272727272,0.9807692307692307,0.0,0.6475203427134745
RRF,.,0.7990600689520125,0.9827785719147787,0.9401973791978708,0.7671232876712328,0.5789473684210527,0.0,0.6468300010712222
PH,.,0.9001085905188015,0.5263766932135326,0.565284374314997,0.84,0.5098039215686274,0.7210570543488701,0.645311887729532
mdm2,.,0.8995448692463344,0.6909672588659725,0.6921442848298952,0.8,0.5283018867924528,0.44211410869774026,0.6426620780322009
IF3,.,0.8834758460269518,0.4440814103873122,0.5764690831022634,0.8620689655172413,0.6341463414634146,0.647685462377997,0.6412356558771555
PAH,.,0.9057636049678679,0.5178680824994899,0.47861652946812483,0.890625,0.8113207547169812,0.44211410869774026,0.6407868155070282
SCP,.,0.8306699975670977,0.34898917704717247,0.4105299184171661,0.8615384615384616,0.5909090909090909,1.0,0.6397689902117517
ANATO,.,0.9042801279350593,0.5340684772990273,0.3087020605777273,0.7972972972972973,0.9302325581395349,0.5578858913022596,0.6369495148033189
