,benchmark,alignment,threading,modeller,secondary_structure,access_score,sum scores
BAG,Fold,0.8734323384942406,0.7085659973862414,0.9721047805111063,0.8613861386138614,0.8395061728395061,1.0
phc,.,0.8875190302473214,0.8851134608530355,0.7528034109233814,0.801980198019802,0.7948717948717948,0.9517272186242746
PAH,.,0.9059029672823371,0.5402162290602346,0.767086608896184,0.8235294117647058,0.9571428571428572,0.9050177435278899
SRP54M,.,1.0,0.6191041938933115,0.6464593245743177,0.8842105263157894,0.8378378378378378,0.9027383967050673
COX3,.,0.6783500416511073,0.7696328858263018,0.8759407468931523,0.8333333333333334,0.7857142857142857,0.8865002423553329
Band_41_M,.,0.9176054922011893,0.68836877747416,0.7119928502303341,0.8351648351648352,0.7704918032786885,0.8794625157852893
tetR,.,0.9497773820124666,0.43222050611856827,0.6975727343384545,0.8507462686567164,0.9807692307692307,0.8749019111975891
NusB,.,0.9944273690862608,0.5352263276701913,0.7892786940628135,0.8936170212765957,0.6666666666666666,0.8633090830391024
zf-TAZ,.,0.9329101197828398,0.4791493406201722,0.7025404130429644,0.8505747126436781,0.9090909090909091,0.8615082927323368
DHHA2,.,0.9074770918909604,0.996554591897349,0.734892809067584,0.6666666666666666,0.5454545454545454,0.8530620212107631
SNAP-25,.,0.9513170367391492,0.23892123084234204,0.7732563220810088,0.8787878787878788,1.0,0.8498743664359376
Bacteriofer,.,0.9279981616062964,0.6016395390281564,0.7658054180059438,0.8809523809523809,0.6619718309859155,0.8484502227542376
RhoGEF,.,0.8569787148479016,0.6717357728406789,0.8440813781735503,0.8712871287128713,0.5930232558139535,0.8479915008795063
Colicin_Pyocin,.,0.8692614827794215,0.5810858975882137,0.6931921165977697,0.735632183908046,0.9193548387096774,0.83395800278327
utg,.,0.9256484646540085,0.43768563621242657,0.617440235198442,0.8428571428571429,0.9642857142857143,0.8300988270352384
fusion_gly,.,0.9360124091574986,0.21634786741119114,0.7449116207584284,0.890625,1.0,0.8300914443450008
BIR,.,0.9141297791055065,0.7689200427705835,0.49106192598171955,0.7415730337078652,0.8709677419354839,0.8296387994624975
urease_gamma,.,0.8267199034843306,0.5402162290602359,0.6839074853319181,0.8235294117647058,0.90625,0.8274455521578182
SAM_PNT,.,0.9176571970241002,0.49376262326244397,0.602303295671932,0.8441558441558441,0.8928571428571429,0.8165740888333874
PBD,.,0.8495619452503375,0.46465486515385374,0.6428367380861987,0.7692307692307693,1.0,0.8076796752490425
CARD,.,0.9531267055410335,0.7017939883568967,0.46334393467196927,0.7835051546391752,0.8225806451612904,0.8069762169315314
HMG_box,.,0.9030247321402924,0.4528929547344648,0.5662794543846901,0.821917808219178,0.9649122807017544,0.8014023555246257
