,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
intb,.,0.9291475786412092,0.9002134218638869,0.7578674224234533,0.8372093023255814,0.8,0.6274735630753034,1.0
GEL,.,0.8900791761833847,0.8345743419492493,0.8325766087695067,0.752,0.7714285714285715,0.6985554954587144,0.9803164967020608
DHHA2,.,0.7702318512728019,0.9408584301636217,0.8615741592026279,0.71900826446281,0.859375,0.5404763088546395,0.9565734577971378
PH,.,0.8547446753689139,0.6157457908465707,0.7414684234049974,0.85,0.8103448275862069,0.758654412959299,0.9401746074596309
tcl1_mtcp1,.,0.8671342414065673,0.7044818591415646,0.7797953464635715,0.7477477477477478,0.8732394366197183,0.6274735630753034,0.9317577632656668
Pro_CA,.,0.6463623937148173,0.8698600901114519,0.8639126361584205,0.5673758865248227,0.6521739130434783,1.0,0.9317070566155005
hemopexin,.,0.904062747016154,0.8868864121413301,0.8130523162657866,0.6503496503496503,0.5238095238095238,0.8107144632819592,0.9287801877089613
eIF6,.,0.7322246629662464,1.0,0.8163783076683806,0.6619718309859155,0.4025974025974026,0.9687936498860342,0.9269094331972759
dutpase,.,0.9072944279706353,0.7096039838747897,0.6513423002211303,0.7739130434782608,0.7638888888888888,0.758654412959299,0.9222337247778032
aspg,.,0.8184406702680984,0.811619634811476,0.6445906499905472,0.6934306569343066,0.6794871794871795,0.8566346820627894,0.9058544504130474
GTP_cyclohydroI,.,0.67532524248525,0.8599952572919112,0.8948520657068951,0.624,0.6842105263157895,0.758654412959299,0.903914188958215
TNF,.,0.9679015472764353,0.6874081100308231,0.6814057686884261,0.8248175182481752,0.43529411764705883,0.8977117175026231,0.9032376327727758
EF_TS,.,0.7317137080045244,0.8354754564856487,0.646514863763544,0.7716535433070866,0.7261904761904762,0.758654412959299,0.8966483184117711
Rhodanese,.,0.9514156072721556,0.8199193739625278,0.5047335893263166,0.7481481481481481,0.7272727272727273,0.6985554954587144,0.8911904579630189
Frataxin_Cyay,.,0.7927924780442216,0.8424946644534005,0.7418561340515967,0.6638655462184874,0.859375,0.5404763088546395,0.8887035740580665
Hydrolase,.,0.6663988156326015,0.8377519563670833,0.8991307315755318,0.5669291338582677,0.5061728395061729,0.9348704159880585,0.8806873734014553
Isochorismatase,.,0.7013228056231249,0.8063078017548,0.8802793032385506,0.5957446808510638,0.48314606741573035,0.9348704159880585,0.8780927245780056
Flavin_Reduct,.,0.9213609743954791,0.9317524306378946,0.8449948537422788,0.6923076923076923,0.4666666666666667,0.5404763088546395,0.8769793171649457
PDZ,.,0.8854587458457615,0.6520749347877598,0.4806910311175823,0.78125,0.8363636363636363,0.758654412959299,0.8761491205839721
