,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
mofe,.,0.8993903632378267,0.9235169443241592,0.8694767404985387,0.6567505720823799,0.3910891089108911,0.7472217363092142,1.0
DNA_topoisoIV,.,0.7409435180836071,0.8464413500763533,1.0,0.6221719457013575,0.484251968503937,0.6711877414712397,0.9576594037102208
PGI,.,0.8120009394081729,0.8899587501994166,0.9145052075580072,0.5553097345132744,0.3643724696356275,0.7472217363092142,0.9294340481871943
Beta_elim_lyase,.,0.790516870205104,0.8921693748718086,0.6214885067019442,0.6034063260340633,0.5297619047619048,0.7472217363092142,0.8952693975893933
ATP-sulfurylase,.,0.8513777986535149,0.8409489733129754,0.8282779697089024,0.6291390728476821,0.43043478260869567,0.5781296526357758,0.886190392536371
Peptidase_M16,.,0.7864558869578832,0.8562524214316629,0.7918491333866687,0.5494252873563218,0.4719626168224299,0.6711877414712397,0.875410593654425
Sec1,.,0.6994725614529512,0.8395132067731688,0.7585039331471144,0.5765765765765766,0.41037735849056606,0.811507562957249,0.8646284691532888
AFOR,.,0.725957022076092,0.9596048223523702,0.681356712017339,0.5739514348785872,0.2708333333333333,0.8671944789536636,0.8587317179249518
annexin,.,0.6227689055894785,0.7247430433692711,0.8380875303248434,0.6253968253968254,0.7654320987654321,0.4581569099913263,0.8434092722290477
alpha-amylase,.,1.0,0.7697645798673632,0.7416648309632319,0.7383419689119171,0.49044585987261147,0.2890648263178879,0.8415755065892686
Amidase,.,0.6938165414122436,0.9128854349460979,0.7198010565695444,0.655940594059406,0.5793103448275863,0.4581569099913263,0.8383351231370001
serpin,.,0.705055190230155,0.7506893958385537,0.8682592220539082,0.5793650793650794,0.5058139534883721,0.5781296526357758,0.8270631988800146
PK,.,0.6422518396743384,0.9438455753321638,0.8959934217694423,0.5526315789473685,0.3165829145728643,0.5781296526357758,0.8070502180946806
Sec23_NC,.,0.6477415061844372,0.8069805601768545,0.7407201289033529,0.5523385300668151,0.3452914798206278,0.811507562957249,0.7984557410548583
thymid_phosphorylase,.,0.7897046735556599,0.9402561589826546,0.7927302254086522,0.6507177033492823,0.43452380952380953,0.2890648263178879,0.7958338963560257
Gly_radical,.,0.574227923907938,0.8980036008113205,0.6718399807688326,0.5682819383259912,0.2639593908629442,0.9163138199826526,0.7943225738370081
ghf15,.,0.6589556912478471,0.9156202283552461,0.6899980798671578,0.5566502463054187,0.3105590062111801,0.7472217363092142,0.7896124516497043
6PGD,.,0.4988648817911382,0.9369744068916775,0.8797689190277286,0.6190476190476191,0.47619047619047616,0.4581569099913263,0.7861540213255688
ghf6,.,0.6838744715829027,0.7086875270630593,0.6554050069192754,0.6092896174863388,0.453416149068323,0.7472217363092142,0.7823128352186671
chorismate_bind,.,0.5550434476279944,0.8826089929123262,0.8585659450511024,0.5482456140350878,0.423963133640553,0.5781296526357758,0.7783924588859198
GATase_2,.,0.6658789337717238,0.8375874564142284,0.6999597093924067,0.616822429906542,0.34615384615384615,0.6711877414712397,0.7752919494107919
ATP-gua_Ptrans,.,0.704668662909034,0.6950933248250946,0.5906589904640237,0.5909090909090909,0.4371584699453552,0.811507562957249,0.772666078385979
CODH,.,0.7420688507906685,0.8741767132341192,0.8798388528705611,0.5597345132743363,0.31555555555555553,0.4581569099913263,0.772505391479977
Arginosuc_synth,.,0.7211131986848285,0.7750974270152075,0.6789210799464368,0.6423173803526449,0.5228426395939086,0.4581569099913263,0.7617575435857987
Trypan_glycop,.,0.8233765852512916,0.7195697258369647,0.6219708270243726,0.6143250688705234,0.7150537634408602,0.2890648263178879,0.7565404458685824
RNA_dep_RNA_pol,.,0.6145001565680287,0.8938558308074429,0.7993525883363577,0.5055432372505543,0.3883495145631068,0.5781296526357758,0.7552853219244257
fbpase,.,0.7140480663848442,0.7048474213177162,0.6516189077046558,0.6757575757575758,0.5517241379310345,0.4581569099913263,0.7471324957853855
cytochr_c552,.,0.6255920228589321,0.8660520978144525,0.8040979715610638,0.5866666666666667,0.41379310344827586,0.4581569099913263,0.7465120781959154
ku,.,0.823254266478785,0.6933157091091499,0.8494685936664752,0.5626373626373626,0.5301587301587302,0.2890648263178879,0.7442785763658148
lyase_1,.,0.7671980194144356,1.0,0.9909545038158559,0.6049107142857143,0.38349514563106796,0.0,0.7438148467978007
pgk,.,0.6801461953968999,0.8446637343603999,0.9065939787864411,0.5984848484848485,0.4260355029585799,0.2890648263178879,0.7432722127560664
aldedh,.,0.6728364255519023,0.8692312951525735,0.6586596089283685,0.5601851851851852,0.39267015706806285,0.5781296526357758,0.7386813522415565
ghf33,.,0.7303017848755283,0.6436336288429612,0.5241929362647673,0.7023121387283237,0.5374149659863946,0.5781296526357758,0.7332431692289286
Fapy_DNA_glyco,.,0.7111809143572881,0.4752615146197587,0.537675474384661,0.696969696969697,0.6111111111111112,0.6711877414712397,0.7288867857931769
proteasome,.,0.6008689525598871,0.4052280134004965,0.4479578310000191,0.7058823529411765,0.8660714285714286,0.6711877414712397,0.7267463514392773
NO_synthase,.,0.5891752779082511,0.7360810410446971,0.7651773329005465,0.5362694300518135,0.3872549019607843,0.6711877414712397,0.722579477026625
ldh,.,0.805552293721622,0.6904897559196924,0.6797869204388663,0.5692771084337349,0.643312101910828,0.2890648263178879,0.7199298495945239
p450,.,0.7559838343510255,0.8781535586499241,0.919484348372266,0.6576354679802956,0.4463276836158192,0.0,0.7130494471043071
urease,.,0.44957530922185684,0.7334146174707779,0.6332670769821437,0.5286458333333334,0.29775280898876405,1.0,0.7078871875446013
hemocyan,.,0.6197843275403162,0.665090362132237,0.5198159704759188,0.5681293302540416,0.30638297872340425,0.9602525677891276,0.7067806485657593
Extradiol_dioxy,.,0.6943449585094722,0.5737938421568485,0.5143686449032084,0.5853658536585366,0.7906976744186046,0.4581569099913263,0.6989218432545738
HMG-CoA_red,.,0.5817529747925474,0.7971694888215378,0.5678384615822244,0.6024390243902439,0.4787234042553192,0.5781296526357758,0.6952306666820804
peroxidase,.,0.6429906450602787,0.6732605574420611,0.44076699520733215,0.6448863636363636,0.44881889763779526,0.7472217363092142,0.6924271344025735
NiFeSe_Hases,.,0.6978237043995615,0.9496228264089827,0.7555154517293102,0.5263157894736842,0.3681592039800995,0.2890648263178879,0.6884702191654126
AMP-binding,.,0.7635284562392359,0.8638300781695082,0.6410719914330636,0.5622222222222222,0.2885572139303483,0.4581569099913263,0.6853115279415084
