,benchmark,alignment,threading,modeller,secondary_structure,access_score,sum_scores
ptpase,.,0.7417678976112851,0.7986931101685312,0.9765214410928416,0.5543071161048689,0.6645962732919255,1.0
dNK,.,0.8263581119861779,0.6232947380488468,0.9531201504962222,0.6711111111111111,0.6453900709219859,0.9916205264884188
glnasn,.,0.8729549179600363,0.8059153960793396,0.8542479548718533,0.6064981949458483,0.5031055900621118,0.9530050780572322
Hydrolase,.,0.970864422525044,0.5833428866215842,0.6932645019453053,0.6712328767123288,0.7142857142857143,0.9480961081041807
Peptidase_S11,.,0.8879428175831199,0.7493694829760543,0.6242698900070491,0.6904761904761905,0.6744186046511628,0.9448105235042811
subt,.,0.9035224226788875,0.8409664106385545,0.43879578201357766,0.7509293680297398,0.6666666666666666,0.9318988775783368
ENTH,.,0.7511878487364131,0.719993121632478,0.9329520422791475,0.5916030534351145,0.5962732919254659,0.9274239018260864
mofe,Superfamily,0.8965758004295783,0.7245213802590948,0.8759497203448325,0.6209386281588448,0.4470588235294118,0.9138218532674118
Fapy_DNA_glyco,.,0.8399436696390006,0.7223718904046894,0.778864462318317,0.6150793650793651,0.6078431372549019,0.9133467637801179
Cytidylyl_trans,.,0.9962071679200963,0.655365126676615,0.6354686150367586,0.6090534979423868,0.6466666666666666,0.9025814239518348
Zn_dep_PLPC,.,0.7245788536298173,0.6562249226183788,0.8020591465175517,0.6907630522088354,0.6690140845070423,0.9025203800678623
Haloperoxidase,.,1.0,0.7312564484695766,0.7912905771942798,0.6218487394957983,0.39705882352941174,0.9019223890378684
ldh,.,0.8657479453027463,0.7458156597501027,0.8126474411023382,0.5776173285198556,0.5333333333333333,0.8987480500128204
oxidored_q6,.,0.8229439714087917,0.7436375100309651,0.6108178116837456,0.623574144486692,0.7051282051282052,0.8840891832810889
SRP54,.,0.7806784494949796,0.7512610340479309,0.8178168637440252,0.5954198473282443,0.5286624203821656,0.8678146353878023
Spermine_synth,.,0.7343183257101946,0.8411956895563572,0.7260809253894603,0.5708955223880597,0.5986394557823129,0.8664482786429709
hormone_rec,.,0.7675307538919428,0.5506706408345821,0.7980846847733514,0.7004608294930875,0.6521739130434783,0.8653339364988495
annexin,.,0.7027153364141465,0.6425541671443415,1.0,0.5543478260869565,0.5544041450777202,0.8578182084842684
TyrKc,.,0.7655248723395444,0.6724177461882515,0.800236974138426,0.6452830188679245,0.5696969696969697,0.8573834406432634
aminotran_4,.,0.9796689999585807,0.7219133325690815,0.6460368371274664,0.5970695970695971,0.5083798882681564,0.8573375744142545
Extradiol_dioxy,.,0.9193032076353675,0.8262065803049552,0.6933859081594904,0.5601503759398496,0.4358974358974359,0.8481946453562708
tRNA-synt_2b,.,0.8772921190748095,0.6416943712025781,0.7226237620343235,0.6101694915254238,0.5815602836879432,0.8473857963241586
CoA_trans,.,0.8621622101382816,0.7487103060873677,0.67452931080552,0.6264591439688716,0.5170068027210885,0.8451298422547677
Transpeptidase,.,0.683094382939948,0.7460449386678991,0.7726611983149465,0.6967509025270758,0.5263157894736842,0.8431118253749739
DNA_polymeraseX,.,0.8180564842044226,0.485125530207504,0.5204379537624703,0.7287234042553191,0.859504132231405,0.8365442505304899
DAO,.,0.8091098974574418,0.7553020749742174,0.725802014846739,0.6462093862815884,0.4745762711864407,0.8361165616942398
gluts,.,0.8142163156867039,0.6372807520348618,0.755721686020436,0.5555555555555556,0.6319444444444444,0.8279039369361569
formyl_transf,.,0.790447506848991,0.6124039894531761,0.6552906885642469,0.7032967032967034,0.625,0.8237272964176333
actin,.,0.6691182996751538,0.7282185028086835,0.9159970439475387,0.6036363636363636,0.4631578947368421,0.8205439266844213
OMPdecase,.,0.8699549712135288,0.6319213573312029,0.6915452280774911,0.6303317535545023,0.5511811023622047,0.8179240549786798
ATP-gua_Ptrans,.,0.7960687088394882,0.7474206121747207,0.7232696970521061,0.6137184115523465,0.49444444444444446,0.8179177301530329
AP_endonucleas1,.,0.8035123636858518,0.7328040811647527,0.7364303465030477,0.5673469387755102,0.5251798561151079,0.8130508117888882
MIP,.,0.7096087051709142,0.5176544766708772,0.6417159090271402,0.6901408450704225,0.7832167832167832,0.8014806905670421
GroEL,.,0.8133760939154928,0.6198842141465201,0.714487171517951,0.570281124497992,0.6206896551724138,0.799655418633205
Nitroreductase,.,0.837351999668645,0.48589934655508776,0.6268059848839012,0.6130653266331658,0.7651515151515151,0.7943870729280218
OTCace,.,0.8310858387129224,0.730769230769245,0.6571015296967154,0.5927272727272728,0.5146198830409356,0.793393128358507
rasgap,.,0.687798441447785,0.6226642210248856,0.9252892597480017,0.5234657039711191,0.5511363636363636,0.7853475345475921
Plectin,.,0.9119364745004528,0.6309469219305344,0.5940910030764874,0.583732057416268,0.5874125874125874,0.7842201534556028
Binary_toxA,.,0.8555706111725828,0.43035652871718694,0.5539186580523292,0.6836158192090396,0.7723577235772358,0.7780157724828215
tms,.,0.7879919291373527,0.6270778401926023,0.6739333951479818,0.6859504132231405,0.5055555555555555,0.770292792892845
WD40,.,0.6653846381425182,1.0,0.40583232215446496,0.6015037593984962,0.6068965517241379,0.7698429080185176
Mur_ligase,.,0.9209540659041556,0.6582597730138813,0.5689513913260063,0.6228813559322034,0.5069444444444444,0.7690225778876766
Ala_racemase_N,.,0.9085519191967008,0.5664622262982993,0.6690743947063869,0.5728155339805825,0.559322033898305,0.7681322920582595
blmb,.,0.8473991585948181,0.6411784936375199,0.48143582974726357,0.6866359447004609,0.6140350877192983,0.7653369272682898
PK,.,0.6285746406868519,0.6569987389659627,0.8241448254189432,0.6038461538461538,0.5534591194968553,0.7634901785394188
Peptidase_M24,.,0.8183050005029496,0.8097558179525484,0.4813238392594674,0.7037037037037037,0.4520547945205479,0.7625416811315262
Pro_CA,.,0.8800731347964239,0.5099449730597334,0.7051523826050471,0.5424528301886793,0.6223776223776224,0.7599477773299117
laminin_G,.,0.6389176523493667,0.6175341052390317,0.48055644406918235,0.6108108108108108,0.91,0.7588471387392268
uce,.,0.8470559694206613,0.40178264358592386,0.5138712804913056,0.6933333333333334,0.782608695652174,0.7491786188954187
arginase,.,0.7480399756217346,0.7363292445259823,0.6911688148551997,0.5869565217391305,0.4755244755244755,0.7488593679488428
Peptidase_C15,.,0.782571907007568,0.6474263441476644,0.6594284821352644,0.616822429906542,0.5241935483870968,0.7450376189552261
Astacin,.,0.7314367200582239,0.4983090679812052,0.6192424316984827,0.533678756476684,0.8461538461538461,0.7442194839081914
ricin,.,0.8297308331804761,0.6608678207038944,0.7311960120055098,0.5205479452054794,0.48412698412698413,0.7430334464691669
Heme_oxygenase,.,0.694200694662225,0.5791585463716702,0.8209668423981148,0.5190476190476191,0.6124031007751938,0.742683979080489
Glyco_transf_28,.,0.9499594681751212,0.6968072910695993,0.5191257414412396,0.555956678700361,0.5028571428571429,0.7421439927336388
Ribosomal_L4,.,0.8118672449601487,0.36011120027513494,0.5215116163624065,0.819672131147541,0.7105263157894737,0.7416305735318647
phosfruc,.,0.8988361153352309,0.713143413963097,0.5627632896098296,0.5637065637065637,0.48484848484848486,0.7414335211386975
cyclo,.,0.7924474713466626,0.5404390691276019,0.34763139713623786,0.7175141242937854,0.8252427184466019,0.7414218752287685
RNA_dep_RNA_pol,.,0.5493511949492023,0.6009113836982783,0.934232419193103,0.6102941176470589,0.5226130653266332,0.7384595400386617
ribonuclease_T2,.,0.8461861623758159,0.5165367419465845,0.49264906956435783,0.6490384615384616,0.7105263157894737,0.7372158950708688
GTP_cyclohydroI,.,0.9060667562114282,0.4626561962627568,0.5362536761801655,0.6146341463414634,0.6950354609929078,0.7370693494956437
DNA_topoisoIV,.,0.6371070336029538,0.5807348389315685,0.8141680944037455,0.6714801444043321,0.5023041474654378,0.7326041167923283
Recep_L_domain,.,0.7818855286592548,0.4756964347128328,0.5005197804716648,0.610738255033557,0.8350515463917526,0.7316443245847961
PA_phosphatase,.,0.8012520487801993,0.6668290725667884,0.745062436248248,0.5647058823529412,0.41040462427745666,0.723756257283295
Fe_hyd_lg_C,.,0.8376123500766259,0.5884730024074367,0.7449085471269786,0.5888888888888889,0.4256410256410256,0.722379028025075
Histidine_kinase,.,0.8053999041437135,0.3333715464863011,0.4599439351498725,0.8245614035087719,0.7615384615384615,0.7220216050429856
DSBA,.,0.8854872398714817,0.472543849593034,0.5818419254399654,0.6213592233009708,0.6159420289855072,0.7181672378975151
Sec1,.,0.5964095311917541,0.7114238220795729,0.8254627033635025,0.5776173285198556,0.46411483253588515,0.717084698910295
Fe-ADH,.,0.925243930581114,0.6553078069471627,0.6643488871420783,0.5018050541516246,0.42780748663101603,0.7168248893730369
ghf6,.,0.8024295426708402,0.589361458213925,0.7409563701678707,0.5807692307692308,0.4606741573033708,0.7166622568617826
Topoisom_bac,.,0.7429276403377456,0.5439928923535536,0.5558977951768171,0.6218487394957983,0.7088607594936709,0.7163278517022144
Endonuclease_3,.,0.7586729229658646,0.5207210821964988,0.6252366072218676,0.6105769230769231,0.6571428571428571,0.7157339145706841
serpin,.,0.557930924303119,0.7282185028086783,0.8417022144061801,0.5836431226765799,0.4574468085106383,0.7140143920525831
p450,.,0.6624320278338255,0.6257594864152347,0.8288730308991226,0.5094339622641509,0.5423728813559322,0.7139789889325763
IF4E,.,0.7091057555191329,0.5626791241545427,0.557681549233943,0.6470588235294118,0.6864406779661016,0.7110000786527797
GAF,.,0.8521742217593772,0.3395334174022709,0.49419473254588725,0.7352941176470589,0.7411764705882353,0.7107009645636452
MoCF_biosynth,.,0.753104974467909,0.41095380029806505,0.48027691300581066,0.7354838709677419,0.78,0.7094129437830953
pgk,.,0.7627734418915642,0.6893557262409815,0.6375399669257098,0.6245487364620939,0.4418604651162791,0.7075257465001336
biopterin_H,.,0.744199807104016,0.6682334059383357,0.6744219877121803,0.5612648221343873,0.5064102564102564,0.7067448547164442
ung,.,0.7711756596036758,0.47234323053995336,0.7048773570611797,0.6080402010050251,0.5877862595419847,0.7015453716376295
phc,.,0.7653059413146512,0.39195230998509795,0.6615079817301454,0.6045197740112994,0.71900826446281,0.7005726040373254
S_T_dehydratase,.,0.8500677502766225,0.7055772096755859,0.5414756002646979,0.5793357933579336,0.46285714285714286,0.6990690016148223
UPP_synthetase,.,0.7641521156429176,0.5051014559211345,0.6366589355189474,0.6341463414634146,0.5955882352941176,0.6972195407460218
icd,.,0.7579924616722781,0.5888455806488724,0.7285666771561635,0.5547445255474452,0.5,0.694446247370242
alpha-amylase,.,0.8871085128666356,0.5750601857159336,0.6146565682596457,0.6498194945848376,0.4031413612565445,0.6942630763430279
proteasome,.,0.9253681887303775,0.6156138943024277,0.25309465788915925,0.6696035242290749,0.6642335766423357,0.6933186353791431
NMT,.,0.6394916066578701,0.6616416370514816,0.6610605054038176,0.6483516483516484,0.5168539325842697,0.6930590984847365
FAA_hydrolase,.,0.723342189191908,0.7284477817264848,0.49504271448323256,0.6162790697674418,0.5576923076923077,0.6897322256141264
COX3,.,0.5267184606190424,0.5222973747563985,0.8346469485708169,0.5207373271889401,0.7133333333333334,0.6881833032222968
CASc,.,0.7030171062052154,0.59128166915053,0.6294697451397585,0.6086956521739131,0.5849056603773585,0.6879998854865096
